1079165164266475520 2018-12-29 18:59:59 -0400 <KayEllen48> @realDonaldTrump  https://t.co/V4LB9ymayk
1079165162102362116 2018-12-29 18:59:59 -0400 <shusenior2003> @realDonaldTrump @FoxNews Blah blah blah Democrat’s; blah blah blah LIES; blah blah blah bullshit!  #TrumpShutDown
1079165161850707971 2018-12-29 18:59:59 -0400 <meNabster> @inabster @POTUS @realDonaldTrump @RT_com @Ruptly @SputnikInt @Independent @KremlinRussia_E @guardian @Telegraph @AbbyMartin @Liz_Wheeler @OANN @mexieYT The other rare thing I approve of Trump, he is not @HillaryClinton nor @BillClinton 🤪🤣🙃
1079165160667914242 2018-12-29 18:59:58 -0400 <cpalimeno> @realDonaldTrump @FoxNews You said that Mexico was going to pay for the wall. That was one of your campaign promises! You are breaking that campaign promise. Now you've shut down the federal government because you are not getting your way for approval to charge American taxpayers for the wall. Disgrace!
1079165160131125249 2018-12-29 18:59:58 -0400 <cusmp8> @realDonaldTrump @FoxNews Yeah that pesky rule that requires compromise from the senate. Such a disgrace. Maybe, just maybe if you worked with a few dems instead of trying to shove a bad deal down their throats you wouldn’t be in this mess, master of negotiation.
1079165159497703425 2018-12-29 18:59:58 -0400 <SBP196245> @Trump8year @dexter3280 @realDonaldTrump If only misspeaking was the worst thing he’s done....
1079165159342522369 2018-12-29 18:59:58 -0400 <hdlichtner> @kayleighmcenany @realDonaldTrump yeah hes been real good at not vacationing up to now
1079165158985994240 2018-12-29 18:59:58 -0400 <Stu_Pidazzle> @johnrcurranjr @JamesBazan @timkaine @realDonaldTrump @SenSchumer Oh, and (SERIOUSLY)...thank you for your service. I mean that 100.  https://t.co/NFAW5GFL2Q
1079165158369476608 2018-12-29 18:59:58 -0400 <Lizardox65> @realDonaldTrump How can it possibly be the fault of the Democrats when you control the Presidency, the House and the Senate. Your Tweet is bizarre. Take responsibility for your nation.
1079165157182337024 2018-12-29 18:59:58 -0400 <mohttra> @realDonaldTrump what subjects, areas and points of dispute exactly and please, use bullets.
1079165156293312512 2018-12-29 18:59:57 -0400 <williesband> @realDonaldTrump  https://t.co/z7LQQ1snCg
1079165155399806976 2018-12-29 18:59:57 -0400 <jimsterdotcom> @realDonaldTrump @FoxNews  https://t.co/tgzwSt0VfS
1079165155362115586 2018-12-29 18:59:57 -0400 <MrBigMood> @realDonaldTrump People are dying, can we stop assigning blame and actually fix the problem. If both sides won't agree on the wall then think of something else. The point of democracy is to find middle ground that everyone agrees on. Can you try that now?
1079165153675890688 2018-12-29 18:59:57 -0400 <88SEATTLE61> @realDonaldTrump  https://t.co/pU3B8jWgBb
1079165153252388865 2018-12-29 18:59:57 -0400 <chuckvant63> @whdumpsterfire @d_butternubbs @realDonaldTrump @FoxNews Just as there is a hate tweet for everything there is also a solution. Lets not talk about solutions, lets just post hate tweets. That'll do alot good.  So, whats the solution?
1079165152791052289 2018-12-29 18:59:57 -0400 <michellepoe11> @realDonaldTrump  https://t.co/F2KnAZzsid
1079165152723955713 2018-12-29 18:59:56 -0400 <ChuckTakeheed> @realDonaldTrump In the middle of a partial shutdown of the federal government, President Donald Trump ordered a pay freeze for federal workers late Friday, blocking an automatic pay increase from going into effect Jan. 1.
1079165151243313152 2018-12-29 18:59:56 -0400 <_KillnMeSmalls> @TigheLikeTie @shurt1962 @CBarrett93 @IFeelYouCry @templeheart55 @vjn1 @realDonaldTrump Did you read your own source? It says between the wall and the immigration reform it is true. Nice try though.
1079165150282706944 2018-12-29 18:59:56 -0400 <LightningcreekE> @Mattison @realDonaldTrump @votevets #FAKEnews U can be ashamed now.
1079165148433170433 2018-12-29 18:59:55 -0400 <alf27900> @realDonaldTrump   https://t.co/XvnFxU3e5e
1079165148231692288 2018-12-29 18:59:55 -0400 <sharonvm56> @SteinNds1122 @realDonaldTrump No it doesn't sound familiar my ancestors stayed and fought
1079165147774636033 2018-12-29 18:59:55 -0400 <JerriHafizi> @realDonaldTrump You’ve tried to intervene in industries you have no experience, saddled them with trade wars, stretched credibility by promoting your vanity wall as the answer to every problem.  The real answer is to get rid of you.
1079165147577409536 2018-12-29 18:59:55 -0400 <lauraneff18> @realDonaldTrump @FoxNews Many naive people- like everyone who believed in what you said: “Mexico will pay for the wall”,  “Let’s make a deal, only to dupe and cheat people out of money after they had worked honestly for you- you walk  filed bankruptcy. To say nothing of  the 3 times you said “I Do”
1079165146671403008 2018-12-29 18:59:55 -0400 <bj2048> @realDonaldTrump @FoxNews Other presidents have achieved great things while dealing with the exact same Senate requirement for 60 votes. Perhaps you should go study their records to figure out how they did it. 🤔🤓👻
