873328857109090304 2017-06-09 19:59:59 -0400 <IronMamba> @972_834 @MarkDice @realDonaldTrump No Way Jose. This is Fake News!
873328856517812226 2017-06-09 19:59:59 -0400 <gcd_> @TheBrodyFile @PressSec @KellyannePolls @realDonaldTrump Suuurree delusion will do that to you...
873328855121055749 2017-06-09 19:59:59 -0400 <amonardo> @Melissa72272061 @MarkDice @townusa1 @realDonaldTrump @CNN @POTUS Good U say that bc ur Obama went through that &amp;did nothing on the contrary he agreed 2sell our Uranium to Russia. Prob U don't understand
873328853871202304 2017-06-09 19:59:59 -0400 <YourVoice2020> @CNNnewsroom @MSNBC @ABC @CBSNews @NBCNews @FoxNews @democracynow @OFDHILLARY2016 @POTUS @JamesBrienComey @SenatorBurr @MarkWarner @realDonaldTrump SHUT DOWN.
873328853640396802 2017-06-09 19:59:59 -0400 <1958_BestYear> @realDonaldTrump He was under oath...you are not..and even if you were....would it actually mean anything to you....I think not...
873328853384671232 2017-06-09 19:59:58 -0400 <ChristineStins6> @newfire24 @adamcbest @realDonaldTrump The United States was not founded on Christianity.  It was founded on the right to chose to worship or NOT!
873328853300764676 2017-06-09 19:59:58 -0400 <lori_mendicino> @trohar4 @GingerMcQueen @aseeger3 @TammyTinkerbell @MrHydro2 @realDonaldTrump Tell it while walking to your 29 followers, I'm sure you don't know a smart woman.#MAGA🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
873328850024968193 2017-06-09 19:59:58 -0400 <Y2ktagAdam> @DDHonee @YoRosesYo @MyTop5 @NancyPelosi @realDonaldTrump If u r embarrassed by POTUS n not BLOTUS then the problem is pigmentation  https://t.co/yzGPfH9VYU
873328845109252096 2017-06-09 19:59:56 -0400 <NoMorEvilEmpire> @realDonaldTrump @foxandfriends Why do you keep commending fox. It is the most biased reporting. They haven't told the truth in years. All they can say is yeah Trump
873328842064011264 2017-06-09 19:59:56 -0400 <FuzzbeeMorse> @realDonaldTrump @foxandfriends Yes, no greater source of hard news on Earth than Fox &amp; Friends. Universally respected. Actually, not respected AT ALL
873328841309028352 2017-06-09 19:59:56 -0400 <brendanking1994> @MarkDice @realDonaldTrump They hate that President Trump's winning so they go after and attack every single Trump supporter who dares to disagree with them
