845787379332005889 2017-03-25 19:59:59 -0400 <KristaDavila> @realDonaldTrump you haven't and you won't
845787375158550528 2017-03-25 19:59:58 -0400 <jeff_gringo> @realDonaldTrump God Bless America. We are the silent, peaceful,armed majority. America Strong 🇺🇸
845787373430550529 2017-03-25 19:59:58 -0400 <PtolemyVIPhilom> @jim_milewski @HiCaliberLilGal like the mindless multitude that attend @realDonaldTrump rallies, pepper spray folks and then run them out?
845787365859844096 2017-03-25 19:59:56 -0400 <AnneSheldon> Hey @POTUS @realDonaldTrump, what was the attendance? 1 million?  https://t.co/FjL8GsSZxp
845787351192358914 2017-03-25 19:59:53 -0400 <BinodKu63568570> @OpTic_Crimsix @BrienPyles @realDonaldTrump
845787349296517120 2017-03-25 19:59:52 -0400 <KenDerow> No better example of self-delusion than @realDonaldTrump who mistakes rally crowd noise w/real nat'l support- example of bubble mentality.
845787346813505536 2017-03-25 19:59:52 -0400 <jstfuckinround> @realDonaldTrump if you can't kill them with healthcare. Kill them with a pipe exploding in the back yard
845787345941090304 2017-03-25 19:59:51 -0400 <ApexFiend> Just as @realDonaldTrump is a trashy person's idea of wealth @SpeakerRyan is a trashy person's idea of intelligence &amp; competence. Very sad.  https://t.co/8Nc1kh4w5A
845787338118619136 2017-03-25 19:59:50 -0400 <kingtynk> @realDonaldTrump @latinaafortrump Yes we will.
845787336667549697 2017-03-25 19:59:49 -0400 <BASWellness> @realDonaldTrump Keep up the good work Pres. Trump.
845787335488876544 2017-03-25 19:59:49 -0400 <cyberbuff53> @realDonaldTrump @julieroginsky no worries donnie, it'll be All Over very soon - you Criminal  https://t.co/pqnJQqUwpK
845787334356324352 2017-03-25 19:59:49 -0400 <THannon1> @realDonaldTrump why wouldn't you work on a bipartisan solution?  Why wait? You've got 3+ years.
845787333634932737 2017-03-25 19:59:48 -0400 <CMeegan69> @realDonaldTrump oink
845787331793731584 2017-03-25 19:59:48 -0400 <MADWHITEGUY1> @DonaldJTrumpJr @DarLovesAmerica @realDonaldTrump Rachel is a JOKE! What an IDIOT!Right up there with Geraldos Al Capones vault! CLASSIC!
845787330266914816 2017-03-25 19:59:48 -0400 <redsoxyaz8> @diddliest @BenBerkon @realDonaldTrump You asked where the money will come from, I answered, from Trumps vacations!
845787328203382785 2017-03-25 19:59:47 -0400 <JD98__> @mitchellvii @realDonaldTrump one thing he knows for sure is how to feel up woman. He is a pro at that. That he know bud.
845787327804919808 2017-03-25 19:59:47 -0400 <superjosefa> @RogueCPI @realDonaldTrump  THE REST WERE WORKING DO NOT WANT A SMELLY CHECK FROM NAZI SOROS
845787324797652994 2017-03-25 19:59:46 -0400 <mkentvl> @politico @SpeakerRyan is as big a fraud as his boss @realDonaldTrump. All talk, no logic, very little action. @NancyPelosi owned you both!
845787321957990400 2017-03-25 19:59:46 -0400 <SEMinLF> @realDonaldTrump so you caught those while golfing?  Remember, don't drop the soap!
845787318845935616 2017-03-25 19:59:45 -0400 <lucygirl4trump> @realDonaldTrump the irony is on both sides the establishment &amp; freedom caucus- My advice is they better work together the repeal&amp; replace..
845787315666530304 2017-03-25 19:59:44 -0400 <PhillipRosas5> @bessbell @AmyPolitakis @realDonaldTrump at least he is American
845787314064318464 2017-03-25 19:59:44 -0400 <gagen_patricia> @seanspicer @jaketapper @realDonaldTrump @POTUS @ananavarro @charlesornstein Sean, it's not nice to talk about your boss this way!
845787308200607744 2017-03-25 19:59:42 -0400 <Angel4Nations> @MsLibertyBelle_ @realDonaldTrump Yes we do!!!   🇺🇸#MAGA 🇺🇸
845787307827433474 2017-03-25 19:59:42 -0400 <nolasharpe742> @realdonaldtrump @POTUS Pres. Trump, you may want these items:  https://t.co/IOuYPU9sKV
845787307667963905 2017-03-25 19:59:42 -0400 <ScottinMarin> @EliStokols @maggieNYT @politico @realDonaldTrump @elianayjohnson @anniekarni anyone with a hairline like that is not to be trusted
845787307269537792 2017-03-25 19:59:42 -0400 <boomer12k> @realDonaldTrump "I got the Grumpy Blues, Yeah, baby, I got the Grumpy Blues, anyway I choose, I always lose, I got the Gru-hum-py, BaLUES!"
845787303884865536 2017-03-25 19:59:41 -0400 <kerriakelly71> @realDonaldTrump WHEN ARE YOU GOING TO DRAIN THE SWAMP STARTING WITH FBI COMEY,OBAMA ,CLINTON AND THE PEDOPHILE DEMOCRATS? DRAIN THE SWAMP!
845787303616360452 2017-03-25 19:59:41 -0400 <Saintsdiva88> @williamlegate @realDonaldTrump He's a dick!
845787300210585600 2017-03-25 19:59:40 -0400 <PirroneAnthony> @KeithOlbermann @realDonaldTrump Picture is wrong Donald doesn't drive himself.
845787297060569088 2017-03-25 19:59:40 -0400 <cyndee_allen> @realDonaldTrump give it up loser.  You're going to be out pretty soon 👍
845787293315149824 2017-03-25 19:59:39 -0400 <TEXAS_AMERICA> What time is the @realDonaldTrump press conference to take credit?  https://t.co/hoUzxGtE5e
845787289502580736 2017-03-25 19:59:38 -0400 <masoneicher> @realDonaldTrump  i want to be a imagration officer work for border patrol or something like that PLEASE!!!
845787288386899968 2017-03-25 19:59:38 -0400 <DJSNJ01> @politico @NYCMayor Every person is responsible for thier own actions. For the mayor to blame @realDonaldTrump is cheap and irresponsible.
845787288206389248 2017-03-25 19:59:38 -0400 <goodoldcatchy> .@realDonaldTrump Hey, here's a picture of Hitler's bunker for perspective. It's not as nice as the place you've got now. I'm just saying.  https://t.co/jKBZusXDS6
845787286323286019 2017-03-25 19:59:37 -0400 <Scoper318> Not sure who's had the worse start to their presidency, William Henry Harrison or @realDonaldTrump.
