1039302499184730113 2018-09-10 19:59:59 -0400 <iamstpoodlenut> @realDonaldTrump Don’t forget to thank god you don’t live in Puerto Rico 🇵🇷💨💦
1039302498622873601 2018-09-10 19:59:59 -0400 <CarterSandee> @realDonaldTrump They should already be halfway there, staged and waiting. Just so you know.
1039302494185091072 2018-09-10 19:59:58 -0400 <gdalton64> @realDonaldTrump  https://t.co/FhE86j8EIh
1039302491421200385 2018-09-10 19:59:57 -0400 <Fight4Justice21> @WhiteHouse @realDonaldTrump #click #vote #retweet  https://t.co/GPfN7nuxJS
1039302491291217920 2018-09-10 19:59:57 -0400 <Florida4Trump69> @DonaldJTrumpJr @realDonaldTrump Obama doesn't have high IQ, only a smile. Trump didn't school Obama how he was going to get it done other than saying he would make a better deal, which is true and he did. Trump's music wand is his high IQ, plain and simple.  https://t.co/EVu8G3VTNZ
1039302491035369472 2018-09-10 19:59:57 -0400 <Sante1940> @realDonaldTrump trump lying again
1039302490456576000 2018-09-10 19:59:57 -0400 <DanHerr90313009> @realDonaldTrump President TRUMP, schooling all!! The swamp's creatures!!
1039302490351718400 2018-09-10 19:59:57 -0400 <CBarrett93> @Cryptounggoy @JByrdPhilly @mr_toadmeister @pandoerra @realDonaldTrump He claimed what, 64 Americans died? And it's not even close to that. I'm sure those paper towels were a huge help.
1039302490011754496 2018-09-10 19:59:57 -0400 <PixelDust7> @realDonaldTrump .@gop holds the house, senate and you are president. Stop your whining and be better
1039302489248550912 2018-09-10 19:59:57 -0400 <Spiffsin> @Lisamuse @LBell46 @katdd9999 @jenniferbhala @IndivisibleVV @realDonaldTrump Well I’m fairly certain nothing will convince the OP. However the hope is that some will take the time to read the information and it will be curious to learn more. Hope springs eternal lol
1039302488153677824 2018-09-10 19:59:57 -0400 <GodcallsBS> @realDonaldTrump  https://t.co/GKMe3rEq6S
1039302486975115266 2018-09-10 19:59:56 -0400 <gaialuv> @KellyScaletta @mslauraz So what do you thinks this means @realDonaldTrump? It’s people standing up, against YOU and your blatant racism. And, it’s paying off bigly for those who stand against your corruption/lying/ignorance. 😁
1039302485951881217 2018-09-10 19:59:56 -0400 <YerskyFler> @realDonaldTrump Is there nothing not about you?
1039302484483694593 2018-09-10 19:59:56 -0400 <ghost_kitty> @MichelleDUlisse @realDonaldTrump Do what we do:  https://t.co/Xe6d0FnWM2
1039302482227286016 2018-09-10 19:59:55 -0400 <pensandopr> @mr_toadmeister @swingjohnsons @pandoerra @realDonaldTrump No he could not, he HAD to do so much more &amp; he did shit!!
1039302480717205504 2018-09-10 19:59:55 -0400 <AlexandraBrooks> @thejtlewis @realDonaldTrump @SavannahGuthrie @TODAYshow No we are not. At least all of the sane people are not with Trump. 1/5 of the country voted for him. That’s it. And 1/3 of this country has always been useless as dust. Nothing new there. #IQ45
1039302480339714048 2018-09-10 19:59:55 -0400 <Vegasdiva726> @socialistal @realDonaldTrump 😂
1039302478720843776 2018-09-10 19:59:54 -0400 <dailytrumptoon> @realDonaldTrump @SavannahGuthrie @TODAYshow  https://t.co/ZaYYSephzj
1039302478259466241 2018-09-10 19:59:54 -0400 <ronaldvickers18> @realDonaldTrump God bless America and the folks on the east cost 🙏
1039302477219332097 2018-09-10 19:59:54 -0400 <SailorKees> @Tremac8 @EdKrassen @realDonaldTrump At a higher price so there is no competition on the international marked
1039302477009440769 2018-09-10 19:59:54 -0400 <caljustice1> @hartson1_bill @No_Liberal_Tex @JerriDougherty @GaetaSusan @EricTrump @POTUS @realDonaldTrump . more like the democrates can't even provide public restrooms in Califorina. Its not fake news I know what I can pay for and what I can't. Califorina is a bunch of taxes for a bunch of ppl that dont belong here. 25 billion on welfare every year. You should visit .ca. Gangs drugs
1039302476707635200 2018-09-10 19:59:54 -0400 <US_SEC_of_Logic> @realDonaldTrump Growth still slower than previous administration. Coal is still doomed, you just tricked many many people into thinking it was safe to bet the house on the mine... and it still isn't
1039302475604525056 2018-09-10 19:59:54 -0400 <charlesrice0302> @krassenstein @realDonaldTrump Trumpeters cannot comprehend a chart or common sense, you are wasting your time trying educate these people.
1039302474966814722 2018-09-10 19:59:53 -0400 <i_mnottellin> @RepMarkMeadows Weird how you're more concerned about leaks than you are about the fact that Putin said he helped put @realDonaldTrump in the @WhiteHouse. Resign, traitor @RepMarkMeadows  https://t.co/CIFyDh58Rt
1039302474404904960 2018-09-10 19:59:53 -0400 <tstcl2016> @realDonaldTrump Wow
