1212886278225715201 2020-01-02 18:59:57 -0400 <Patriotgirll37> @earlpatrickH @intheMatrixxx @martingeddes @SaRaAshcraft @Jordan_Sather_ @realDonaldTrump @DustinNemos @LisaMei62 @VincentCrypt46 😳🤫🤭😂😂😂😂😂
1212886277042909185 2020-01-02 18:59:57 -0400 <annmarierulelaw> @SenJoniErnst @realDonaldTrump @senjudiciary YOU ARE DONE. FINISHED. VOTED OUT IN 2020
1212886273028956163 2020-01-02 18:59:56 -0400 <Katheri09614285> @Playtheangel1 @VP @realDonaldTrump Trump needs to go. What a terrible man.
1212886265231753217 2020-01-02 18:59:54 -0400 <GitchiGamiFan> @wsmith6423 @realDonaldTrump  https://t.co/1Vjl4SXYGw
1212886264581623808 2020-01-02 18:59:54 -0400 <steeeeeve26> @parscale @realDonaldTrump Your candidate just lost the election based on a decision from the FDA, of which he supports. May want to look into them for corruption.  Flavored alcohol kills more each day then flavored nicotine products have in 10 years.  #iownasmallbusiness #outofbuisness #lostelection
1212886260961988609 2020-01-02 18:59:53 -0400 <ShariGoldfinge1> @SteveScalise @realDonaldTrump Mr Scalise: You survived a mass shooting and are so lucky to be alive. It’s hard to believe you took your second chance at life and spend every day lying to We, the people, for the likes of a corrupt criminal named Donald Trump. Sad!
1212886255341576192 2020-01-02 18:59:52 -0400 <MitchelComstein> @ChuckGrassley @realDonaldTrump I don’t think reading is in their wheelhouse.
1212886254238519298 2020-01-02 18:59:52 -0400 <CoilMagi> @A83Patriot @winnifr81594788 @ChristaWhitaker @TrumpNewsPolls @LindseyGrahamSC @realDonaldTrump You realize that is an artifact from the founding, when we were 13 distinct original colonies. The constitution is a living document and that’s why we have amendments to update as times change.
1212886253642944512 2020-01-02 18:59:51 -0400 <John88962453> @lauferlaw @realDonaldTrump all BS
1212886253575770112 2020-01-02 18:59:51 -0400 <Flagrouperking> @PhyllyGates @Jules_In_Love @woodsinkcom @Out5p0ken @DeanObeidallah @realDonaldTrump guaranteed job with fair pay, family and medical leave, paid vacations and retirement security  universal high-quality healthcare  free higher education  access to affordable, safe and adequate housing  stronger labor, workplace health and safety, anti-discrimination.. hogwash
1212886250551730176 2020-01-02 18:59:51 -0400 <gpotony1> @realDonaldTrump It did
1212886250253955072 2020-01-02 18:59:51 -0400 <CHHolte> @realDonaldTrump @FoxNews @cvpayne Independents want you impeached!
1212886250132320259 2020-01-02 18:59:51 -0400 <ELefebvre1970> @HuffPost Just like @realDonaldTrump, he'll say anything to get people to talk about him...
