1075541279742836736 2018-12-19 18:59:58 -0400 <forestryforum> @lynchzilla @realDonaldTrump Well it aint you.
1075541276441960448 2018-12-19 18:59:57 -0400 <pcolacars> @RJR555 @realDonaldTrump "Deep legal trouble"   He paid off a hooker.  Perspectiv, people... u got none.
1075541274919362560 2018-12-19 18:59:57 -0400 <Mrversatech> @USAarmyvet @Dale16826245 @NancyPelosi @realDonaldTrump And tell us a lil about goat pizza and your panama bank account
1075541274386665475 2018-12-19 18:59:57 -0400 <miners_coal> @RJR555 @realDonaldTrump Amazing how he thinks Mueller is just going to stop what he’s doing because Trump made another stupid decision 🙄
1075541273547685888 2018-12-19 18:59:56 -0400 <PayzleeRose> @JessieNOlson @realDonaldTrump I really don’t think Mexico can get much clearer! So if you want a fucking wall built then you’ll have to pay for it out of your own pocket! Not taxpayers money either! Go ahead spend the money! Build that wall! So we can tear it down when you’re gone! 👏🏼
1075541270964121600 2018-12-19 18:59:56 -0400 <63Sooners> @DiamondandSilk @POTUS @realDonaldTrump Don't you think it's time for a name change? Abolish Dems and just call them what they are. The American Communist Party. Doesn't that sound more accurate? American Socialist Party? American Marxist Party? Americans Against America, now that has the accurate ring to it. #traitors
1075541270326591488 2018-12-19 18:59:56 -0400 <HenriettaHumpl1> @realDonaldTrump Muther-trailertrashtrucker, did you just call somebody a SLEAZEBAG? You're a pissy one,Orange Grinch. But, please do keep on providing that you were haphazardly PLACED in the White House. You'll NEVER EVER measure up to the dignity that's required for that position. ILLEGIT🍄.👍
1075541270225932288 2018-12-19 18:59:56 -0400 <anthorelliBo> You can thank the Fake News Media for stories like this. Since they all bullied @kanyewest for visiting the white house and hugging @realDonaldTrump. The MSM teaches humanity well.   #Qanon #MAGA @StormIsUponUs @bigredwavenow  https://t.co/YIvhxwkk7b
1075541269097656327 2018-12-19 18:59:55 -0400 <UsecommonSentz> @realDonaldTrump @WhiteHouse @POTUS   #BuildTheWall   be a wall if you have to.    #Shutdown if you have too  Sweat them out  giving money to them anyway.  This country is being overrun by legal and illegal #Immigration   Census shows WE WILL BE A MINORITY IN OUR OWN COUNTRY SOON  https://t.co/gqGVnKYS3k
1075541263938539520 2018-12-19 18:59:54 -0400 <swedishmafia> @realDonaldTrump Was it the bone spurs?
1075541262936272897 2018-12-19 18:59:54 -0400 <jboldha> @kiwisquaw @lccstory @realDonaldTrump Idiots.
1075541261929586689 2018-12-19 18:59:54 -0400 <Medeiros_____> @realDonaldTrump  https://t.co/6on9xKv0eM
1075541260641951744 2018-12-19 18:59:53 -0400 <CharSTEPHENS4> @realDonaldTrump No wall!
1075541259442446336 2018-12-19 18:59:53 -0400 <MoonshineRiot> @realDonaldTrump @POTUS We shouldn't have been there anyway. Good call.
1075541259203170305 2018-12-19 18:59:53 -0400 <signorex3> @realDonaldTrump #Resign  https://t.co/HjOIyOiuOG
1075541257856929792 2018-12-19 18:59:53 -0400 <meixey> @realDonaldTrump  https://t.co/6yTBN0MoMk
1075541253008240641 2018-12-19 18:59:51 -0400 <SDatLarge> @realDonaldTrump #decorum
1075541252765044737 2018-12-19 18:59:51 -0400 <CitizenBane99> @RWPUSA @realDonaldTrump The most logical immigration policy to date.
1075541252429504512 2018-12-19 18:59:51 -0400 <WilliamNakutis> @marthamaccallum @jetrotter @AnnCoulter I agree with @AnnCoulter. @realDonaldTrump campaigned on 3 major issues. 1) economy, issue addressed and handled. 2) American security, failure so far, 3) a honest investigation into @HillaryClinton, total failure. Shut down the government and protect our borders
1075541251456413696 2018-12-19 18:59:51 -0400 <SoCalGal013> @realDonaldTrump  https://t.co/55Ka2frTMU
1075541251397693440 2018-12-19 18:59:51 -0400 <OPlanksta> @realDonaldTrump FFS please,please stop with the lies  It's not just unpresidential its unamerican as well. Just build your stupid wall around Maralago and rename it turd town and resign and go stay there.
1075541248977457152 2018-12-19 18:59:51 -0400 <Cindereller2> @Rodriguezz59 @REALDaveofDaves @sherimapes @loudmouthpro @TheRealRaNon @realDonaldTrump You need to look harder... plenty happening!
1075541248927326208 2018-12-19 18:59:50 -0400 <LauraWalkerKC> @realDonaldTrump When ISIS comes back, it's on YOU Grandpa Ramblepants
1075541248520404992 2018-12-19 18:59:50 -0400 <24sales2U> @RJR555 @realDonaldTrump Trump is playing for sympathy because he thinks public opinion will save him from the law. He's so used to have a bunch of morons believe everything he says he can't help but try another con job.
1075541248465788928 2018-12-19 18:59:50 -0400 <SaidFrankieLee> @realDonaldTrump "Our boys, our young women, our men..." wtf don
1075541248172220418 2018-12-19 18:59:50 -0400 <johnklink17> @realDonaldTrump @MumbullsMa Please Mr. President, keep your promise #California
1075541247933276162 2018-12-19 18:59:50 -0400 <maryderrickart> @Ladanieladea @DonaldTrumpWall @Frierson38 @realDonaldTrump Donald projects his failings and crimes onto others every day
1075541246888812544 2018-12-19 18:59:50 -0400 <__JoeAdams__> @midgeunique @PoppaPeko @realDonaldTrump $3.5B worth of Patriot missiles going to Turkey. Good luck US as these will end up at the hands of Russia very soon.
1075541246767128576 2018-12-19 18:59:50 -0400 <RothArtist> @realDonaldTrump  https://t.co/r3CfCrFFWb
1075541245735436293 2018-12-19 18:59:50 -0400 <Captain54672005> @BurghBoy412 @MiaFarrow @realDonaldTrump And the rest of the world who had enough of American made wars and terrorism
1075541245131440129 2018-12-19 18:59:50 -0400 <mdsemtkg> @SenJeffMerkley @realDonaldTrump He’s the devil reincarnated...
1075541245018157056 2018-12-19 18:59:50 -0400 <Coleen_P> @realDonaldTrump Proud of you and American
1075541242333650944 2018-12-19 18:59:49 -0400 <UnityCo3> @realDonaldTrump o7  https://t.co/heEeOZ2hUk
1075541242296000512 2018-12-19 18:59:49 -0400 <CWill804> @realDonaldTrump
1075541240786157574 2018-12-19 18:59:49 -0400 <epwakefield3> @SpeakerRyan ...and WON'T!  He is not living up to his campaign toughness. I would have been fired Mueller's punk ass. I'm so disappointed that all @realDonaldTrump will do about this coup against him is complain and whine when he should declassify everything and BE THE POTUS!
1075541240165384193 2018-12-19 18:59:48 -0400 <seancwood> @realDonaldTrump You are now a swamp member, build the wall or shut down the bloated, gov. No backbone anymore
1075541239355850752 2018-12-19 18:59:48 -0400 <MaggieKMaggieK1> @JohnnyBlkshrt @realDonaldTrump He has nerve after all the women he groped moved on a bitch please Eric S never had a charity foundation taken away ban frim@having anything to do with for ten yrs or his spoiled adult kids same treatment WAIT.... Organization is next
1075541237745086464 2018-12-19 18:59:48 -0400 <emerdood> @realDonaldTrump Not according to the house, the senate, the military and all of our allies...so there’s that.
1075541236973486080 2018-12-19 18:59:48 -0400 <vtbirkenstock> @JohnCornyn @tedcruz @michaelcburgess - do not vote for a CR.  Fund the Wall.  TX must have a secure border.  @realDonaldTrump
1075541236562448386 2018-12-19 18:59:48 -0400 <richasis1> @5mww8 @realDonaldTrump  https://t.co/yfb1GEeFbG
1075541235832680448 2018-12-19 18:59:47 -0400 <Harriet35824> @realDonaldTrump “Most Beltway Repubs aren’t spoiling for a shutdown, but out in Trump Country, the idea of fighting to keep fentanyl out of the country &amp; the cartels at bay—well, Schumer And Pelosi can be against that for the next 23 straight months if they’d like.” -Hewitt WaPo
1075541234356125696 2018-12-19 18:59:47 -0400 <realident> @realDonaldTrump Donnie if your foundation was even remotely legit , you would have fought to keep it open for “ the win” . Stop Lying! #WednesdayMotivation #TrumpLies  https://t.co/4C6L0xD3G4
1075541230849806336 2018-12-19 18:59:46 -0400 <LackosleepTW> @DJShamrock @realDonaldTrump I love the fact that Putin even looks bored with his little wedgie puppet #Preznocchio
1075541230660988928 2018-12-19 18:59:46 -0400 <dontfukwitmeh> @jtkrpm @realDonaldTrump Jason, I watched him do it with my own eyes. I don't know how one can watch this, listen to his words, know WHO he's talking about &amp; not be offended highly! I just don't get it. This is why I think you're not firing on all cylinders.  Anyone with a 4th grade education can see it.
1075541230547861504 2018-12-19 18:59:46 -0400 <PRPatLaw> @Ocasio2018 Welcome to the swamp!....how did you get elected being so ignorant of reality? President @realDonaldTrump has been warning the World about it! How about joining his efforts to #DrainTheSwamp and do your share for a better Country? Thanks!
1075541229633363968 2018-12-19 18:59:46 -0400 <harrypowellSD> @realDonaldTrump Get over it, NO ONE competent in immigration and border matters believes a wall is effective or prudent. Not something that should get built ... or will get built, I’ll bet.
1075541228869931008 2018-12-19 18:59:46 -0400 <jolineborkowski> @seasbiscuit @MattJones1313 @MichaelFIynn @TheeSilverBug @realDonaldTrump Trump university has been talked about for Yrs  nothing new there ..you really seem hopeful and bitter..if you really want to get bitter about things..check out the left..there are some serious issues there ..Trump family will  look like Angeles, but ppl in power =corrupt
