929136587497021440 2017-11-10 18:59:59 -0400 <Vibrantankles> @realDonaldTrump Donald Dotard did not write this.
929136585890820097 2017-11-10 18:59:59 -0400 <ShaeMc1> @realDonaldTrump From these looks of things you have done the same as China.
929136582417825792 2017-11-10 18:59:58 -0400 <pattie_linda> @BJanineOfficial @realDonaldTrump Definitely. Every time @POTUS opens his mouth out comes illiteracy-followed by illiterate childish tweets in defense. #ImpeachTrump
929136581453275139 2017-11-10 18:59:58 -0400 <oldbeauty> @realDonaldTrump Alabama GOP Sticking by Roy Moore Despite Allegations  https://t.co/BUls5JTAhw via @msnbc. So Sad.
929136580530442242 2017-11-10 18:59:57 -0400 <BLT1022> @DcDeplorable Who gives a shit what they do? I kind of hope they stay and see @realDonaldTrump every day as a reminder they lost 😂😂😂
929136572880048129 2017-11-10 18:59:56 -0400 <Kelly3132> @ItsNorbitPeters @funder @realDonaldTrump @FoxNews @VP @JamesRosenTV @GOP @ScottPresler @seanhannity @LouDobbs @TuckerCarlson @IngrahamAngle You forgot Marxist!
929136569268793344 2017-11-10 18:59:55 -0400 <Vae_00> @MookieMoogle @KingPhilipVofFa @vairik @telikonol @Masterdoctorn7 @Luxe_Saga @Nobodydotobj @Azu_Rayn @Siggy_The_Furry @FurredIntellect @GWSSDelta @9th_prestige @TheQuQu @Templar_Gamer1 @PlaceboLizard @JimFear138 @FlawedIntellect @Anarchangel_ @Nielk1 @Nice_Weeb @yung_warspite @FamishedDragon @PolUnpurrect @MrShikaki @MSamenfink @realDonaldTrump @CatTheUndying @CatueOfLiberty @autopenetration @HopeStillFlies @overunderwriter @CoyoteKhan @DCSD_Bryce @E_Krenis @EscapeVelo @Punishedstitch @squeakesquirrel @ProjectNEIGH @TujoPanda @Z0ree @Lucius_Sulla @MMagazineComics @NICKIMINAJ @RxCastellanos @squam0 @TheEllenShow @washingtonpost @UnrealEngine I had Awaken as my alarm tone for a while, shit was so cash.
929136567918133248 2017-11-10 18:59:54 -0400 <Bohemianmoon> #RoyMoore @MooreSenate @SeanHannity @TedCruz @SpeakerRyan @SenateMajLdr @RealDonaldTrump @GOPChairwoman @ALGOP @ChairmanLathan @jimzeigler #Bannon #Alabama #MaryAndJoseph #RoyMooreChildMolester  https://t.co/0OHQ46KL1F
929136567691640833 2017-11-10 18:59:54 -0400 <a_dans_sexy> @deadputa @realDonaldTrump make mulheres great again
929136566106230784 2017-11-10 18:59:54 -0400 <forthemasses> @ariesjill @falseflaginfo @LIVE_COVERAGE @Patriciduluth @realDonaldTrump You are Jilly.. no one said they should continually check for mental illness.
929136561651937280 2017-11-10 18:59:53 -0400 <debbasue> @realDonaldTrump Finally made it to Vietnam?
929136560842436608 2017-11-10 18:59:53 -0400 <mec21blue> @realDonaldTrump   https://t.co/fyOnI3EmxL
929136560737538048 2017-11-10 18:59:53 -0400 <soupymoss> @ajknight51 @TheRynheart @realDonaldTrump Obscene
929136556442554368 2017-11-10 18:59:52 -0400 <polymernoyz> @NateSilver538 @GreatDismal Great. Now with 280 @realDonaldTrump can sound even more like my drunk uncle much later on Thanksgiving night.
929136555423420416 2017-11-10 18:59:51 -0400 <DebraBy29924209> @oneoledawg @Gaily39078 @DenMac79 @realDonaldTrump Far more civic minded then your guy
929136552533303296 2017-11-10 18:59:51 -0400 <rjsmith169> @dahlia201 @taxvictim @rr7lv @realDonaldTrump @Jaxgma3235 @judie352 @TeeCee_85 @tedcruz @MooreSenate No, it's not you. It's everyone who didn't have bone spurs.
929136547718250496 2017-11-10 18:59:50 -0400 <BryonnyM> @AngeloJohnGage @POTUS @realDonaldTrump @FLOTUS @GenFlynn @USMC @USArmy @USNavy @usairforce @DonaldJTrumpJr @DRUDGE_REPORT @PrisonPlanet @infowars @Snap_Politics @TheRebelTV @FoxNews @JessieJaneDuff @wikileaks @BreitbartNews Powerful Message.  @AngeloJohnGage
929136544635543552 2017-11-10 18:59:49 -0400 <ketchclark> @Juhkobee @Trump_Regrets @realDonaldTrump Bless you, son. Trump will profit in the billions from this tax cut. He doesn't care about you or me. He never has.
929136536490266624 2017-11-10 18:59:47 -0400 <Marie35396768> @nanamare53 @BarbraStreisand @realDonaldTrump @BarackObama You know I am a former liberal turned conservative - so why follow me - also at my age I owe no one an apology for my opinions
929136533482897408 2017-11-10 18:59:46 -0400 <ReallyNiceTry> @Bella_Rocks_Rio @EdKrassen @realDonaldTrump   https://t.co/DOiP9m8HfM
929136532417536000 2017-11-10 18:59:46 -0400 <DomesticEnginee> @realDonaldTrump All lies cause your doing 0!!! Making yourself look good! That’s all ...oh yeah talking about your golf courses you own!
929136529510993920 2017-11-10 18:59:45 -0400 <TxDreamGhoul> @realDonaldTrump Nobody likes you. In case you forgot I'll tell again. Nobody likes you.
929136522141372416 2017-11-10 18:59:44 -0400 <grailsnail> @DeplorableJon @cerspice @undercover0000 @JRKiefer1 @seancwylie @MooreSenate @realDonaldTrump You realize you've been selectively believing or disbelieving women based on the party of the accused?  You're calling them liars. What if they're not lying? Then you have given false witness. How much you wanna gamble on your websites being right?
929136521717960705 2017-11-10 18:59:43 -0400 <eireseeker> @LindberghLLC @kyungkarenmend1 @realDonaldTrump That's the claim, or 5, or 6,  but 2 are  very similar to her native language. She speaks broken English &amp; no one has heard her speak French.
