1219046873949863937 2020-01-19 18:59:58 -0400 <SteveMiskell> @secularcitizen2 @realDonaldTrump You must be a UU.
1219046868535205888 2020-01-19 18:59:56 -0400 <thor0202> @realDonaldTrump #ImpeachedForLife
1219046866941358080 2020-01-19 18:59:56 -0400 <Michael57302975> @IlhanMN @GOP @VP @realDonaldTrump @McConnellPress @senatemajldr @SenSchumer @SpeakerPelosi @TeamPelosi @timburchett @JeremyFaison4TN @aoc @GOPeSucks @RepJerryNadler @JerryNadler @RepAOC @JoeBiden @RepAdamSchiff  https://t.co/Hw1yMC1Mn3
1219046866039574529 2020-01-19 18:59:56 -0400 <ShellyLSpear> @real_defender @realDonaldTrump @paulkrugman @nytimes Bot
1219046863405379584 2020-01-19 18:59:55 -0400 <DDGWill> @w_terrence @realDonaldTrump @charliekirk11 Foster care should have given you morals but its clear you took the highest bid to be owned. A true house worker.
1219046862444851200 2020-01-19 18:59:55 -0400 <kk_nguyen> @FarmBureau @realDonaldTrump @NationalPork @NationalCorn @BiomassMagazine had details about trump ending farm to fleet biofuels program as one of his first changes in his presidency.  https://t.co/JDlA3Vnqq7
1219046860003926017 2020-01-19 18:59:54 -0400 <Stacey51883362> @Andy @HawleyMO @realDonaldTrump Just mesmerized by his brainwashing.
1219046859404185600 2020-01-19 18:59:54 -0400 <LoriHare8> @SandraJH13_USA2 @realDonaldTrump @cjm101560 @JBoy057 @class_axe65 @BluEyeViking @RedMagaHat So very sad for those that are in need. Sorry ass demonRats &amp; media. So scared they're lies have been exposed. #DemsSealedYourFate #4moreyears #trumplandslide #GodBlessAmerica #termlimits #nancypelosisham #adamschiffsham #jerrynadler "high pockets" sham
1219046858351431680 2020-01-19 18:59:54 -0400 <USA747> @BobEstesPGA @realDonaldTrump Awesome!
1219046852990889984 2020-01-19 18:59:53 -0400 <tracker20182> @AloneinMA @cav_chris @erikec @CarpeDonktum @realDonaldTrump I want a sustainable system. I also want a system where I can see more patients. Do some research on the NHS in the UK. Wait times are horrendous and terribly mismanaged. Democrats are the kids screaming because they can't eat cake for breakfast
1219046852236120064 2020-01-19 18:59:53 -0400 <WnukM> @PlaysTrumpCard @realDonaldTrump  https://t.co/HZHFTzNumC
1219046852059942912 2020-01-19 18:59:52 -0400 <WilheminaFoxx> @realDonaldTrump @Rasmussen_Poll G-d Bless the Pressident!!
1219046851875205120 2020-01-19 18:59:52 -0400 <dawnular> @sendavidperdue @realDonaldTrump -Trump University ordered to pay millions -Trump foundation shut down &amp; ordered to pay millions -Trump wrote $130K check to a porn star while in the whitehouse -Won’t release taxes -Trump new tax laws gave American workers a piddly pay increase &amp; million in tax cuts 2 big corps
1219046850843426816 2020-01-19 18:59:52 -0400 <kirbygriffin17> @realDonaldTrump @JudgeJeanine @FoxNews Yeah "What a disgrace...for our great country!" #grabthemby45
1219046850470326278 2020-01-19 18:59:52 -0400 <citylifelos> @realDonaldTrump u rolled back Obama school lunch Policy on her bday. U jus jealous bc they are better then u and your non speakin English wife u orange Fukk
1219046846452191237 2020-01-19 18:59:51 -0400 <Yanks23242> @realDonaldTrump Because everyone that wasn’t a boot licker left the party.
1219046844870922241 2020-01-19 18:59:51 -0400 <seppl56> @realDonaldTrump Are those the same farmers who were on the verge of bankruptcy due to the tariffs and the trade war you started. Do you even know what effect the Smoot-Hawley Tariff Act of 1930 had on the US and world economies. Learn from history !! Oh,sorry, I forgot,you don't read.
1219046843109335040 2020-01-19 18:59:50 -0400 <alljoy> @donwinslow @realDonaldTrump @PressSec Donald, there's Always a Photo🙄 Daggg, 25 Years Ago!! Really🥴 And You're Saying You Don't Know This guy...Stop Lying..its really making you look worse than you already do.
1219046842983485441 2020-01-19 18:59:50 -0400 <JenniferCusto13> @bobby_thoughts @realDonaldTrump Not to mention how much taxpayers pay for his staff and security when they stay at trump resorts
1219046842828193797 2020-01-19 18:59:50 -0400 <rsmack123> @TrustyTranslat1 @Craftmastah @realDonaldTrump @Lrihendry Two can play this game.  My turn.  All republicans are pedophiles. It’s in their blood. Even if they don’t come out and say it, eventually they come around to it.  OK now it's your turn
1219046841423101962 2020-01-19 18:59:50 -0400 <QuillnInk1776> @DavMicRot @realDonaldTrump You must have reading comprehension issues.
1219046840928047104 2020-01-19 18:59:50 -0400 <Mzlorraine627> @realDonaldTrump  https://t.co/3SqsDj9jv4
1219046838722027520 2020-01-19 18:59:49 -0400 <Patrici73458275> @GOP @TAmericanGirls @realDonaldTrump I heard there were over 100,000 tickets obtained for this rally! The overflow crowd will be insane! South Jersey welcomes our great President🇺🇸🇺🇸🇺🇸
1219046837186781186 2020-01-19 18:59:49 -0400 <CarlBotha2> @sscalise88 @realDonaldTrump She legally became a citizen and she is patriotic to the USA, these snakes u are holding against your bosom hate the USA and everything it stands for! And this after the USA extended its protection and support to their families, they don't show any gratitude only hate!
1219046837002240001 2020-01-19 18:59:49 -0400 <RonBeall1> @realDonaldTrump  https://t.co/D0zhxiT1Cw
1219046836750684160 2020-01-19 18:59:49 -0400 <Chcolme> @mfernandez1610 @jguaido @realDonaldTrump Si, esperar es lo que nos toca...siempre. Por lo menos a los que no pertenecemos a la política
1219046836712939521 2020-01-19 18:59:49 -0400 <nitrovanman67> @realDonaldTrump It makes more sense than some stupid boarder wall along the Mexican border
1219046836335497217 2020-01-19 18:59:49 -0400 <966_mbs> @realDonaldTrump The Nixon administration has generally adopted policies of transferring power from centralization to decentralization, that is, from Washington, DC to different states, which is known as the new federalism.
1219046835479875585 2020-01-19 18:59:49 -0400 <Sofakingdonew45> @xNeolitzx @PatriciaLavatai @dvillella @realDonaldTrump The prominent wonderful Lady never took a pic with the Lev. Hmmm  https://t.co/7Go7JgyU3X
1219046835169513473 2020-01-19 18:59:48 -0400 <BrezzyG5> @realDonaldTrump A “very stable genius” read it!
1219046830132121601 2020-01-19 18:59:47 -0400 <AimJE71> @MarketAphorist @davidhogg111 @realDonaldTrump "They" don't seem to mind sending kids that aren't theirs to die in their wars, as long as it lines their pockets.
1219046830119510017 2020-01-19 18:59:47 -0400 <WendyMarie0420> @realDonaldTrump &amp; Now with the new gun Laws in IL, Over 1,000 pple have ran out of IL due to all the new Taxes Gun Sellers are faced with! That's what you all want. Is to make it so they can't afford to sell them!! More buildings, employees, MONEY! RIDICULOUS!
1219046828831801344 2020-01-19 18:59:47 -0400 <jlswls2012> @seanhannity @realDonaldTrump  https://t.co/4sRdS9yHMa
1219046828622209024 2020-01-19 18:59:47 -0400 <SteveWCarlson> @dino4dino @Honeydog101 @LewisForMN @TinaSmithMN @POTUS @UMNews @realDonaldTrump @mndailynews @ThatSteveSack Well, the first time is because some professors approached me and raised a question whether U of M investments in South Africa were social responsibility. I raised the issue as local board chair. So it was my fault. Happy?
1219046823505035264 2020-01-19 18:59:46 -0400 <CathyMcGowan12> @realDonaldTrump Give their subsidies back to the taxpayers
1219046822036918272 2020-01-19 18:59:45 -0400 <doreen0578> @realDonaldTrump
