1037852948611514369 2018-09-06 19:59:59 -0400 <BarryPe91709054> @realDonaldTrump Your being taken down by your own personal
1037852947395342336 2018-09-06 19:59:59 -0400 <TomTrump2020> @realDonaldTrump Trump Train 🚂
1037852947089121280 2018-09-06 19:59:59 -0400 <Lavidatrump> @kristiericherso @Merri__Magic @realDonaldTrump Really? These are your questions?? The 3rd reinvention of your life isn't going too good huh?... its ok... try a 4th... you will get it eventually...
1037852946967552002 2018-09-06 19:59:59 -0400 <DiggingforTrut1> @servivigiledeus @GuitarSquatch1 @charliekirk11 @realDonaldTrump No, he said unemployment is at an all-time low. I said so are wages, at an all-time low.
1037852946787123200 2018-09-06 19:59:59 -0400 <TRUMPUSAMAGAKAG> What's funny is tonight the lib talking point (mainly with libs under 40 followers) is that @realDonaldTrump has to pay people to come to his rallies!  MAGA  😎
1037852945893666817 2018-09-06 19:59:59 -0400 <montoya23> @realDonaldTrump Pretty sure they know. Those that need to know anyhow.
1037852945411440642 2018-09-06 19:59:59 -0400 <jpholl10> @realDonaldTrump Yes. You are treasonous.
1037852945331707904 2018-09-06 19:59:59 -0400 <Notori0uslyDave> @NatashaBertrand What a sad, pathetic, simple minded man @realDonaldTrump  Of course, he’ll just dismiss it as “Fake News” against him. Thanks, as always, @NatashaBertrand for the great reporting. #FreePress
1037852944563982336 2018-09-06 19:59:59 -0400 <VaughanPappy> @SusanDelacourt @realDonaldTrump @TorontoStar The “everything is Trudeau’s fault” crowd seems a lot quieter these days.
1037852943079432192 2018-09-06 19:59:58 -0400 <Razorsmack1> @realDonaldTrump @mrspeacefulsoul That's all the liberals know how to do. They no longer live with honor or integrity.
1037852941330264065 2018-09-06 19:59:58 -0400 <BluePNW> Not one bit easier for that traitor!!  @realDonaldTrump @WhiteHouse @GOP @IvankaTrumpHQ @IvankaTrump @EricTrump @DonaldJTrumpJr @Potus #FLOTUS @MELANIATRUMP
1037852940164186117 2018-09-06 19:59:57 -0400 <yearbookceo> @SalimAyub4 @genealogist99 @funder @realDonaldTrump Because it ISN’T #FakeNews. The truth really burns, doesn’t it @realDonaldTrump?
1037852939069677569 2018-09-06 19:59:57 -0400 <6inchStilettos> @realDonaldTrump You might want to ask Pence about the letter. Seems his style.
1037852938163642369 2018-09-06 19:59:57 -0400 <ammweaver> @realDonaldTrump You're such a genius you probably already know this - editorial and news are two completely separate arms of any newspaper.  The NYT doesn't have to "investigate themselves." It's driving you mad, and we LOVE it.
1037852937991507969 2018-09-06 19:59:57 -0400 <LindsayMcPhee2> @realDonaldTrump Seriously Muriel! They’re anonymous
1037852927732277248 2018-09-06 19:59:55 -0400 <HRHBethany> More action here than at @realDonaldTrump  rally!!!!
1037852923592630274 2018-09-06 19:59:54 -0400 <AmazonAnne9> @realDonaldTrump  https://t.co/Zlw5p8o9J0
1037852923097751552 2018-09-06 19:59:53 -0400 <Barbara12689822> @realDonaldTrump STAY THERE IDIOT!
1037852923097636866 2018-09-06 19:59:53 -0400 <ColWerk34> @DebbieNutt5 @DianaKraft7 @sobereaglefan @brojor @realDonaldTrump 😂😂😂😂😂
1037852918324424704 2018-09-06 19:59:52 -0400 <Rickneyman1> @ginatognini @baseball_busy @GeraldoRivera @DavidPa86766073 @realDonaldTrump @POTUS Lmmfao. You must trust the integrity of The NY Times and their anonymous source. My anonymous source informs me that you’re a dumba$$. For verification please refer to your previous comment
1037852918240620544 2018-09-06 19:59:52 -0400 <CookSusantc53> @GOP @realDonaldTrump Agree
