1160340045909385217 2019-08-10 19:59:59 -0400 <AllisonHaskell1> @realDonaldTrump Agree
1160340044374257664 2019-08-10 19:59:59 -0400 <JoanieReb> @realDonaldTrump They made a deal, with Russia, to provide their soybeans and wheat. Then China announced it would no longer be buying produce from the USA. You lost your freakin' trade war.
1160340043854073856 2019-08-10 19:59:59 -0400 <greg_mulligan> @JamesHesch2 @littledeekay @realDonaldTrump I've had plenty of girlfriends....just no mail order brides.  Also, gentleman isn't just a word.  Maybe try acting the part too mmmmmmm-k bye bye.
1160340042075688960 2019-08-10 19:59:58 -0400 <SpinneyJr> @SteveRDaugh @Johnny_Congress @Hildolfr3 @Brickhouse0733 @POTUS @realDonaldTrump Who cares, he not gonna stay longer than 2 terms you know that......give it a break man.
1160340042063237121 2019-08-10 19:59:58 -0400 <Smitter11> @GOPChairwoman @realDonaldTrump The @GOPChairwoman still doesn’t know what doxxing means. Ronna, head out of ass for a change. 🙄🙄🙄
1160340041455083525 2019-08-10 19:59:58 -0400 <BornToTweet86> @walterowensgrpa @tonyposnanski @realDonaldTrump His parents are dead
1160340041094201344 2019-08-10 19:59:58 -0400 <CNinersfan> @realDonaldTrump Ha!! You’re one to talk, you’re the stupidest prez ever
1160340039798312965 2019-08-10 19:59:58 -0400 <cesttristeadire> @petluvers4Trump @bfraser747 @realDonaldTrump @POTUS @Cowboy25259 @DonnaWR8 @HDowning113 Easy, watch any mainstream media
1160340039466913792 2019-08-10 19:59:58 -0400 <bcfortenberry> Hope everyone is having a nice weekend except for @realDonaldTrump, who can eat my entire ass.
1160340037894070273 2019-08-10 19:59:57 -0400 <GabrielVisco1> @realDonaldTrump By having #Epstein killed?
1160340037826834432 2019-08-10 19:59:57 -0400 <HRHBethany> @realDonaldTrump TRUTH  https://t.co/cOmvmpwuk6
1160340037596266496 2019-08-10 19:59:57 -0400 <MaskartMike> @realDonaldTrump Means well, I thought they were part of the coup
1160340037419986944 2019-08-10 19:59:57 -0400 <TexasBr64310863> @Tomcam28503101 @ridetwolife @realDonaldTrump We paid for that too.
1160340037051064320 2019-08-10 19:59:57 -0400 <Alli48187> @LibsInAmerica @realDonaldTrump #ClintonBodyCount  https://t.co/VqVTCL5dmG
1160340034660249602 2019-08-10 19:59:56 -0400 <GuptillAnne> @gtconway3d @realDonaldTrump #NarcissistInChief poses w “thumbs” beside #OrphanedMexicanBaby .. this beyond DISGUSTING!! Trump’s #Racist words fueled #ElPasoShooting #WhiteSupremacistTerrorism  https://t.co/3IPBGeeaRa
1160340034479935488 2019-08-10 19:59:56 -0400 <arsene_ic> @lysiejackson @Pmbavenir53 @tprincedelamour @csaudiovisuel @realDonaldTrump @florenceforest2 @Flo_off @InstitutCSA  https://t.co/VYTfqzsK12
1160340034400202752 2019-08-10 19:59:56 -0400 <JJPowers10> @realDonaldTrump THIS IS UNACCEPTABLE! WE ARE IN A FIGHT FOR THE VERY SURVIVAL OF OUR REPUBLIC. WE ARE GOING TO FIGHT!
1160340033892696065 2019-08-10 19:59:56 -0400 <woderk> @realDonaldTrump Joe Biden was in the WH for 8 great years, he is way smarter than you for sure.  You don’t even know American History.
1160340032609247232 2019-08-10 19:59:56 -0400 <Contemplari> @realDonaldTrump listen to Niall Ferguson. The choice is clear. Make American #1.
1160340031208349696 2019-08-10 19:59:56 -0400 <JeffreyEmmette> @andylassner I want to why @goodhousemag wrote such a shitty article about @BH90210. That was some fake news!!! Only bad press!! Not all the good stuff @realDonaldTrump should talk about that!!!!
1160340030503751680 2019-08-10 19:59:56 -0400 <MikeWhyte5> @realDonaldTrump How about Trump University?  Lol!!  Trump Steaks??
1160340028813266944 2019-08-10 19:59:55 -0400 <Larry4Congress> @realDonaldTrump We certainly don’t believe you’re mentally qualified to be President. That’s the truth.
1160340028364664834 2019-08-10 19:59:55 -0400 <RealShawn7> @realDonaldTrump Oh, don't sweat it man.  https://t.co/41AvdvGWUI
1160340027106353158 2019-08-10 19:59:55 -0400 <Howard_2019> @Jesus38527894 @aaronmontes91 @elpasotimes @realDonaldTrump still gay all day
1160340026674298880 2019-08-10 19:59:55 -0400 <VotersDemand> @GOPChairwoman @realDonaldTrump You are destroying your family name.
1160340025860644864 2019-08-10 19:59:54 -0400 <realCalebLawson> This video made by my friend, @w_terrence is absolutely FANTASTIC! I’m extremely excited that @realDonaldTrump RT’d him! Very well deserved. 🇺🇸 Keep up the awesome work, Terrence! 👌🏼
1160340025688633345 2019-08-10 19:59:54 -0400 <GrouchyMarkx> @GOPChairwoman @realDonaldTrump #WhiteSupremacistInChief #ImpeachTrump  https://t.co/gf9QQdl5JD
1160340025093099521 2019-08-10 19:59:54 -0400 <BookReader93> @anylaurie16 @realDonaldTrump I watched an entire season of Grace and Frankie last night, by accident.
1160340024522678273 2019-08-10 19:59:54 -0400 <prcabulrid> @realDonaldTrump Lets do a trade embargo on china. Any farmer or rancher that can't hack it i'll offer $3/acre cash money
1160340023985618944 2019-08-10 19:59:54 -0400 <MattDannevik> @marcorubio Lol tell that to your boy @realDonaldTrump
1160340023788494848 2019-08-10 19:59:54 -0400 <Vincent_Josephz> @Bianca38819713 @GaleScheelar @realDonaldTrump I do not want to, but I'll answer your first with a question. What is the exact quote, or at least paraphrase, that Tucker said?  Domestic terrorism comes in many forms. Politicians, activism, physical violence... But is a committed crime domestic terrorism?
1160340021876015104 2019-08-10 19:59:53 -0400 <TWIT_ANTHONY> @sensisational @realDonaldTrump NO MAGA MAGA AMEN?
1160340021523767297 2019-08-10 19:59:53 -0400 <StrykrSeven> @mmpadellan @realDonaldTrump Brooklyn Dad, please take a look at the below tweet and please RT!  https://t.co/Rf4lKcpuTe
1160340020051501056 2019-08-10 19:59:53 -0400 <DavidBeckemeier> @realDonaldTrump 🗿
1160340019766267904 2019-08-10 19:59:53 -0400 <agenchange> @realDonaldTrump Mr. Cufefe: A. He said “we believe in truth not facts” B. You misspeak almost everyday; remember “...authority (you should’ve said authoritarian) powers ...” or “diversary” instead of “diversity” or “Tanzaynia” instead of “Tanzania” “Nambia” instead of “Namibia” and on and on.
1160340019560800256 2019-08-10 19:59:53 -0400 <judy101855> @realDonaldTrump Guess what Putz. Giliead is falling!
1160340019413946368 2019-08-10 19:59:53 -0400 <tehpeggy> @SaxeJeremy @mmpadellan @w_terrence @realDonaldTrump Was so.
1160340019212668933 2019-08-10 19:59:53 -0400 <zzazazz> @LizRNC @realDonaldTrump Trump is your president and you call out Biden's gaffs? That is varsity level hypocrisy.
1160340019061678081 2019-08-10 19:59:53 -0400 <SapienFlor1> @heyitsmenatalee @realDonaldTrump He will never have a tenth of what Obama has!
1160340018776485888 2019-08-10 19:59:53 -0400 <MaryannVallis> @heyitsmenatalee @realDonaldTrump Please stop ...this is too funny.
1160340018734518272 2019-08-10 19:59:53 -0400 <SandraJeanLeon1> @realDonaldTrump   DO any of you think that Trump practices what he preaches???? Think again, for 2 decades he employed undocumented immigrants for Mar Largo.  He is a LIAR and a CHEAT!!!  https://t.co/2GaqIDXhbW
1160340016406470656 2019-08-10 19:59:52 -0400 <SehzadeSoroush> @MAGAMichelle_ @kushkabelieber @Lex_491 @JeffreyGuterman @realDonaldTrump And your king is the one who defended white nationalists and racists, “very fine people on both sides”
1160340016368934913 2019-08-10 19:59:52 -0400 <dlpmas> @realDonaldTrump We should all make this our profile picture til he's OUT!  https://t.co/Se9NA7PO1L
1160340015672692738 2019-08-10 19:59:52 -0400 <Sigmondo77> @HelenKennedy @realDonaldTrump Trump admitted himself, 3 reallies ago,  "I have absolutely nothing to do" AND IT SHOWS!!
1160340015576166406 2019-08-10 19:59:52 -0400 <armydog3ez> @realDonaldTrump I believe that anyone is better fit than you.
1160340013256761344 2019-08-10 19:59:51 -0400 <cindy_paten> @tedlieu @realDonaldTrump Weren't you accused of rape in 2016, Mr. Trump?  Oh, that may be unclear given about 20 women have accused you of rape.  I refer to Jane Doe, who claimed you raped her at Epstein's house, but dropped the lawsuit due to threats. Did he have info on you?
1160340013198041094 2019-08-10 19:59:51 -0400 <chapmws> @GOPChairwoman @realDonaldTrump And stop lying- info available at  https://t.co/5xMpIB1jPS.  But I’m sure you knew that.  Time for you to  apologize for bullsh***ing the voters.  And BTW, I’m a Republican who is mortified by what you have done to the Republican Party
1160340012896067586 2019-08-10 19:59:51 -0400 <summer7570> @ErnestLamonica @BreakingNLive @realDonaldTrump Opps
1160340012082388992 2019-08-10 19:59:51 -0400 <mamatthews1> @realDonaldTrump Which companies? Name them, if you can. Your tariffs (taxes) are what are hurting America. #FakeTweet #RacistInChief
1160340011939704837 2019-08-10 19:59:51 -0400 <JulieHa33596753> @GOP @realDonaldTrump @kayleighmcenany Yep, you’re certainly amping up your fascism game.
1160340010635268100 2019-08-10 19:59:51 -0400 <JasioVelzquez1> @BolsonaroSP @realDonaldTrump Úia o filinho de papai, ganhou uma viagem à Disney! Não tá com vergonha Dudu... kkkkk
1160340010438184960 2019-08-10 19:59:51 -0400 <DPCmom> @PrussianBlueArt @realDonaldTrump GAG!
1160340010413019136 2019-08-10 19:59:51 -0400 <lizreichman> @realDonaldTrump How do you watch a show by accident? More lame lies.
1160340009477705728 2019-08-10 19:59:50 -0400 <leociraptor> @BcBrianQlf @stop_pedophilie @_stophomophobie @DonaldMustard @realDonaldTrump @Megatronche2 @Zack_Nani @YassEncore @melinejsp @scoobybaisetout @vald_ld @zjuxapoual @opiretgstp @maiian Tu sais plus qui mentionner ptdrr t a bout
1160340009414791168 2019-08-10 19:59:50 -0400 <ZeeTeeAy> @JohnSprecher1 @w_terrence @realDonaldTrump Sorry where are the underaged girls in these 25yo photos of Trump before they had a falling out &amp; Trump banned him from Mar-a-Lago for propositioning an underage girl there?
1160340009179897857 2019-08-10 19:59:50 -0400 <stolfatuous> @realDonaldTrump Yeah, you're #1 for the most corrupt and disgusting business there is. Congrats!
1160340008634482688 2019-08-10 19:59:50 -0400 <pat_pgsims> @realDonaldTrump @nytimes Game not up to par today ? Ya seem a bit cranky 🤷🏻‍♀️
1160340007036567552 2019-08-10 19:59:50 -0400 <PladVutin> @w_terrence @realDonaldTrump Trump likes the uneducated.
1160340007011282945 2019-08-10 19:59:50 -0400 <runningjl> @kylegriffin1 🤡@realDonaldTrump 🤡🎪@WhiteHouse  https://t.co/85gzTZ43dQ
1160340006453547014 2019-08-10 19:59:50 -0400 <trishtra3> @realDonaldTrump Poor baby. You're tile is coming to an end.
1160340006260674561 2019-08-10 19:59:50 -0400 <RebelScumUSA> @BreakingNLive @realDonaldTrump You know there's video of you "partying" and ogling/groping women with Epstein, right?
1160340006109683712 2019-08-10 19:59:50 -0400 <raulisodo> @hardburgers @DeanObeidallah @realDonaldTrump Hardy harr harr
1160340005576826880 2019-08-10 19:59:50 -0400 <MicheleDuffy18> @LetsGo2020vote @mmpadellan @realDonaldTrump ☕ https://t.co/6PgpItkr4g
1160340004687601664 2019-08-10 19:59:49 -0400 <GrammaYayam164> @Lightened1 @ffrwtu @real_defender @realDonaldTrump Wow. Democrats are really losing supporters. I've been attacked by about 10 fake leftist bot accounts in the last hour alone. Liberals don't have enough real supporters to spread their lies and hate.
1160340003643412481 2019-08-10 19:59:49 -0400 <social_seer> @realDonaldTrump You’re not even a legitimate president. Your time here is a hoax.
1160340002347376641 2019-08-10 19:59:49 -0400 <dennismosher3> @eugenegu @realDonaldTrump And Obama did not? I hope you don’t believe that BS.
1160340002137657345 2019-08-10 19:59:49 -0400 <maabenna42> @realDonaldTrump @POTUS @nytimes Lair
1160340001592348672 2019-08-10 19:59:49 -0400 <SaraWar08437877> @realDonaldTrump #DonnieDoughBoy  Can’t WAIT to see the LAST of YOU! YOU won’t look good in ORANGE 🍊!
