1193679730886754305 2019-11-10 18:59:59 -0400 <Momqueen95> @Lionnavy @realDonaldTrump  https://t.co/sOoeMk3vlo
1193679730635104257 2019-11-10 18:59:59 -0400 <ChadMHesting> @RepJimBanks @realDonaldTrump “Real?” Which part is fake, sir? Name it.
1193679729137717250 2019-11-10 18:59:59 -0400 <matt_wanning> @realDonaldTrump  https://t.co/reG18OskDu
1193679727715745793 2019-11-10 18:59:59 -0400 <Jeremia79006548> @realDonaldTrump Isaiah 66
1193679726151372801 2019-11-10 18:59:58 -0400 <Etm114E> @clockworkgarnet @MachinistPeter @mmpadellan @realDonaldTrump Here’s the full transcript:   https://t.co/lhZZSTtzuM
1193679725899612160 2019-11-10 18:59:58 -0400 <Lawrenc80119138> @superbigpiece @realDonaldTrump @VP @StateDept @SolomonYue HK police fire real shot to protesters today. At least 1 man died.
1193679725681684481 2019-11-10 18:59:58 -0400 <Trumpty_Dumptee> @Bravo3981 @SherryBegalske @TyKeller8 @ltnldy805 @realDonaldTrump He's not doing ANYTHING but golfing, going to sporting events and raking in millions at our expense.  Republicans really need to wake up.  You all just love corrupt politicians who only give a shit about the wealthy.
1193679725551636481 2019-11-10 18:59:58 -0400 <bucksbaum> @realDonaldTrump Except when bribed the Ukrainian president to get dirt on a political opponent.
1193679725002137601 2019-11-10 18:59:58 -0400 <nicepapi25> @realDonaldTrump @NikkiHaley  https://t.co/6qqK0VGV12
1193679724234641408 2019-11-10 18:59:58 -0400 <MelindaVarney1> @w_terrence @realDonaldTrump Agree what a waste of breath Hey Maxine work on your district they need you
1193679723949260801 2019-11-10 18:59:58 -0400 <treeesq> @BritishTrojan @Andres_DAguila @JoeMyGod @PeteButtigieg @realDonaldTrump He isn't talking about anything like universal public coverage, which the UK provides, and you know it. If he is he's lying about what it would cost.
1193679721411874816 2019-11-10 18:59:57 -0400 <Denise_D_W> @GOPLeader @realDonaldTrump I know you are the MINORITY and do not speak for me.
1193679721113894912 2019-11-10 18:59:57 -0400 <thetimnavigator> @boomermclovin @JeffreyGuterman @realDonaldTrump Who's the" Boomer" ? Your Dad?
1193679720338149379 2019-11-10 18:59:57 -0400 <jamestolson17> @dcexaminer @realDonaldTrump Disgrace
1193679720254246912 2019-11-10 18:59:57 -0400 <Atticus59914029> @VoteMarsha @realDonaldTrump This is an intentional twisting and misrepresentation of Scripture.  The lawyers He often tangled with in the NT were experts in the Hebraic religious law who failed to practice what they preached.  Not a lawyer or attorney as we think of today. Of course, you already know this.
1193679718718984192 2019-11-10 18:59:57 -0400 <_confer> @ChrisJZullo @realDonaldTrump  https://t.co/DYzFT3r9rZ
1193679715749548038 2019-11-10 18:59:56 -0400 <MarkusMcCode> @BadAsVlad @realDonaldTrump @NikkiHaley  https://t.co/xCzUYxBqol
1193679713711071232 2019-11-10 18:59:55 -0400 <joshnya73> @mmpadellan @realDonaldTrump They should also study the brains of a least some of the Americans who were &amp; continue to be duped by this narcissistic baby.
1193679711139794945 2019-11-10 18:59:55 -0400 <ChristineSegaer> @realDonaldTrump Presidential harassment. Yes. It is when the President harasses other people. Like you do.
1193679710548643842 2019-11-10 18:59:55 -0400 <syfyguy> @jacksonryder36 @mavwc @SexCounseling @realDonaldTrump @LindseyGrahamSC Bwahahaha! Yeah, that's what you folks said when Dems trounced the GOP in the midterms. There are far more Iefties than righties I this country. Sad thing is they're not good at voting unless it's an emergency. Trump created the emergency we needed.
