1028430862755549185 2018-08-11 19:59:59 -0400 <gwynnedm> @Christo06145132 @tkheller916 @realDonaldTrump You clearly have no idea what a good job is.
1028430862608560129 2018-08-11 19:59:59 -0400 <WhHousekeeping> @realDonaldTrump  https://t.co/VFPjCzA5d3
1028430857571393536 2018-08-11 19:59:58 -0400 <bobbie_kinard> @trubluone @SisterGlenda @realDonaldTrump @rick_nwcg It's not President Obama!! Nothing like trying to destroy us,
1028430856300331008 2018-08-11 19:59:58 -0400 <Divscotty> @realDonaldTrump Feeding time. Slurp it up maga. Why would a person who has recused themselves be scared stiff? Collusion?  https://t.co/OZe4CJDUg9
1028430856099180544 2018-08-11 19:59:58 -0400 <Macaneave> @realDonaldTrump Can anyone name anything (actual fact or data please) that Trump has done to lower unemployment?
1028430856061444102 2018-08-11 19:59:58 -0400 <njmomofboys> @maggieNYT @realDonaldTrump This makes NO sense -did he say it or not?!!
1028430855025254400 2018-08-11 19:59:57 -0400 <sognavel1> @realDonaldTrump #TheyAreTryingToHideBrennan #BrennanIllegalActs
1028430854719254528 2018-08-11 19:59:57 -0400 <lucyjbri> @realDonaldTrump Is this a real tweet from a real prez?? I swear I Tght it was from a faux account  omg we are so screwed with this insane man how is he still in office????#IMPEACHTRUMPNOW
1028430854693908481 2018-08-11 19:59:57 -0400 <vminggukies> @patmatt13 @shawnpuwo @TracyCovfefe @marisaronis @realDonaldTrump Except they're not. Vanadlism happens on both sides. Inciting violence happens on both sides. But only one sides favours white nationalism, murder of those they disagree with, homophobia, xenophobic and sexism. They are by no means the same.
1028430854098497538 2018-08-11 19:59:57 -0400 <DanSalmon> @maggieNYT @realDonaldTrump Dog whistle racism. Well, at least it makes a change from Trump’s usual dog bark variety.
1028430851657400320 2018-08-11 19:59:57 -0400 <6skylarking3> @AprilDRyan @realDonaldTrump Good for both of them Takes one low life to know another low life
1028430848167698432 2018-08-11 19:59:56 -0400 <HelenaZappolino> @realDonaldTrump And Russia had no place in our election but here we are
