1086412922090373120 2019-01-18 18:59:59 -0400 <DebHill20001> @realDonaldTrump Build the Wall.
1086412920211132416 2019-01-18 18:59:59 -0400 <bradwisebeats> @realDonaldTrump Yah, a caravan of crimes you have committed.
1086412919062085632 2019-01-18 18:59:59 -0400 <spetersen175> @WhiteHouse @realDonaldTrump Sure why not the first #summit was a failure so the second will be a #hugefialure just like @Potus a #failure and #LiarInChief oh my #investment were down on average #minus10percent last.  So much for #winning
1086412918789308417 2019-01-18 18:59:59 -0400 <alfstackhouse> @RudyGiuliani Your attempts to defend @realDonaldTrump should be treated with disdain as he has shown to no regard for what is best for American government workers with the shutdown. I hope neither of you are allowed to come to Australia to peddle your politics.
1086412918780944386 2019-01-18 18:59:59 -0400 <MAGAwoman1227> Ha Ha Ha, Pelosi is so confident that she shows up at the airport just KNOWING her transportation is there and ready. Thank you President @realDonaldTrump for not having her plane ready. Ha Ha Ha. #MAGA @#AngelMoms #Downsyndrome @dbongino #BuildTheWall #illegalsmustgo #FollowAPB
1086412918483111936 2019-01-18 18:59:58 -0400 <les_deplorable> @_mark @madriannorman @realDonaldTrump @WhiteHouse  https://t.co/2tuaejpAAq
1086412918428700673 2019-01-18 18:59:58 -0400 <VanSwanson> @realDonaldTrump @WhiteHouse  https://t.co/ectkPZI0KI
1086412917875109888 2019-01-18 18:59:58 -0400 <Emerson1jdmDme> @WhiteHouse @realDonaldTrump  https://t.co/INJHaD7Fgz
1086412917468286976 2019-01-18 18:59:58 -0400 <aoijh1532> @frfrankpavone @realDonaldTrump  https://t.co/lGC4vmSVxT
1086412916851728384 2019-01-18 18:59:58 -0400 <Colette_Saucier> @realDonaldTrump @WhiteHouse The only announcement we want to hear is your resignation. I even have a going away present for you. @fctry #MuellerActionFigure  #TrumpResignNow #TrumpTowerMoscow #TrumpRussia #TrumpMeltdown #ImpeachTrumpPence #EndTheShutdown #TrumpMcConnellShutdown #PresidentPelosi  https://t.co/TaALuTr5Vh
1086412915891146752 2019-01-18 18:59:58 -0400 <briody_tom> @realDonaldTrump Questions: how long is the wall? How long will it take to build the wall? Will sex trafficking end  when the wall is done?
1086412913575743488 2019-01-18 18:59:57 -0400 <Hokie4Life73> @WhiteHouse @realDonaldTrump Should be impeached by then
