1063220099174125568 2018-11-15 18:59:59 -0400 <LeimbachStephen> @realDonaldTrump  https://t.co/D68lGHjUaj
1063220099149111296 2018-11-15 18:59:59 -0400 <MSWarrior3311> @ProudResister @washingtonpost @realDonaldTrump Exactly...the Dems have to take the moral high ground, but they have to remind the country how the GOP and Fox News covered for Trump these past 2 years. I'm going to enjoy watching guys like Rubio defend a no vote in 2020.
1063220095449686017 2018-11-15 18:59:59 -0400 <chuckmatheson> 1/2 So I hear Donnie Douchebag @realDonaldTrump is coming to CA to survey the fire damage. Hey Donnie, we don’t want your sorry ass out here. There’s nothing you can say or do that can make things better. We have suffered enough without you fucking everything up.
1063220092568166400 2018-11-15 18:59:58 -0400 <tamelom> @ChuckGrassley @realDonaldTrump There are corn fields in Iowa that require your immediate attention.
1063220089678229504 2018-11-15 18:59:57 -0400 <IIIrdRealm> @realDonaldTrump It’s going to be really funny when the DEMs figure out Mueller is investigating them. Then see how fast his investigation ends! After all who do they think he works for anyway? Duuuuuuh...
1063220085970501632 2018-11-15 18:59:56 -0400 <TheCons00523506> @spayer @DebraDs0308 @LeistHarry @VBRef60 @havenowittyname @goodgoingrace @Alyssa_Milano @Acosta @CNN @realDonaldTrump Comparing the holding centers to concentration camps is disingenuous to Holocaust survivors. It’s disgusting. It’s a lie. It doesn’t fit the definition, which I already explained why. Your inability to accept that is fine. Doesn’t make it less true.
1063220084993400833 2018-11-15 18:59:56 -0400 <JBaldwinInNC> @realDonaldTrump It's Mueller time!  Get JR!!!!
1063220083634393093 2018-11-15 18:59:56 -0400 <cuervoconde_519> @ProudResister @Rosie @washingtonpost @realDonaldTrump We should start impeach him now
1063220082166439937 2018-11-15 18:59:55 -0400 <JohnRMoffitt> @cottage_orchard @JimBobCanuck @realDonaldTrump Tick tock indeed.  https://t.co/FVYlVMJPqH
1063220081143046144 2018-11-15 18:59:55 -0400 <Gmac47> @realDonaldTrump Link source
1063220080878612480 2018-11-15 18:59:55 -0400 <silverbackken> @realDonaldTrump Translation- “My friend Alex Jones says this stuff is true so...”
