1201289875129094144 2019-12-01 18:59:59 -0400 <cherrygunk> @realDonaldTrump buffalo cracker?
1201289873430237184 2019-12-01 18:59:59 -0400 <grogancali67> @VP @realDonaldTrump Your political career is over and done.
1201289873065304064 2019-12-01 18:59:59 -0400 <oddjob_bob> @AngelaBelcamino @realDonaldTrump The only bills the house donkeys have sent are bills they knew would never go anywhere. The House donkeys sent them in the hopes that marooons like you would tbink they are actually doing something. You people are so easily led by the rings in your noses.
1201289872348200960 2019-12-01 18:59:59 -0400 <backstrapfever3> @realDonaldTrump @MAGAPATRIOT_TGM Anybody ever notice at least 50% of the negative replies are from people with 2 followers since 2016,,, 22 followers since 2012 etc.....  Who is paying for that?
1201289871052001280 2019-12-01 18:59:58 -0400 <Purpurescens> @Charlie_C_28 @jennyjigsaw45 @jezusFchrist @kronn @realDonaldTrump Jenny Jigsaw is a QAnon cultist and Trump cultist (a member of an unorthodox cult who lives outside of conventional society under the direction of a charismatic leader.) Ergo, she enjoys being lied to and is proud of it.
1201289869001134082 2019-12-01 18:59:58 -0400 <jasonfrommaine> Sorry, I hope no one  minds me taking the liberty to answer this question on behalf of humanity... in song form!  Someone care to add the next verse? 😄 #WWG1WGA @realDonaldTrump
1201289859715018753 2019-12-01 18:59:56 -0400 <CheckEconomy> @Rich_Brule @adanac_dean @IngrahamAngle @realDonaldTrump I don't think this is cherry picking at all. Trump brags about the stock market all the time, but usually references the current VALUE, rather than how much he's grown it, which is the way any economist would judge a president's market performance.
1201289857080926208 2019-12-01 18:59:55 -0400 <JanZaxBee> @carlsonmargaret @glangendorf01 @realDonaldTrump Creepshow? Swamp People  https://t.co/Gm1d3GarBc
1201289850093219841 2019-12-01 18:59:53 -0400 <justletitgo> @realDonaldTrump @GreggJarrett He had a phone call ...The demo(Rats) tried to set you up but Americans do not want a rigged system against anybody!!!
1201289849095049216 2019-12-01 18:59:53 -0400 <ColDan11> @Arlette188 @derekmaltz_sr @realDonaldTrump Do you live in Mexico?
1201289849086468097 2019-12-01 18:59:53 -0400 <Anna_63> @realDonaldTrump That is why you cut funding to research.
1201289842660913155 2019-12-01 18:59:52 -0400 <GabrielVisco1> @RealCandaceO @JoeBiden If your really going to make the behavior of candidates children a measure of their fitness for office @realDonaldTrump has children who’s behavior has endangered national security  And defrauded children’s charities  But  None have knocked up a stripper That was their dads job  https://t.co/o2IQDyUt3l
1201289840316289025 2019-12-01 18:59:51 -0400 <siekoo96> @10_january_a @AmnestyAR @UNICEFinArabic @antonioguterres @hrw_ar @UNarabic @realDonaldTrump @dw_kultur شكراً من القلب ع هاي الوقفه..🙏🏻❤️
1201289837233549312 2019-12-01 18:59:50 -0400 <M_hilco> @MarkRuffalo Delusional, coastal elites and Hollywood live in an alternate universe. Life is exponentially better for the 'normals' under @realDonaldTrump.
1201289834314260486 2019-12-01 18:59:50 -0400 <maassac15> @RudyGiuliani @realDonaldTrump #GOPOCS GOP Organized Crime Syndicate
1201289832980348928 2019-12-01 18:59:49 -0400 <VetNationNRN> @Lastplace_champ @FreedomFritesUS @RealLonestarTX @Chibettor @GetRichOffThis @our_helping @mrmatt46 @abonnet91 @mt_ppr @Ingolenuru @NotMyDystopia @RyanAFournier @realDonaldTrump Again, the aid was held because of the Crowdstrike investigation which was a part of Mueller’s mandate. It was not about the Burisma investigation.  Withholding foreign aid over investigations concurrent with US investigations is normal and legal.
