1077353225261527040 2018-12-24 18:59:59 -0400 <Watergirllee> @realDonaldTrump Liar. Tik tok Bone Spurs
1077353224665935878 2018-12-24 18:59:59 -0400 <RAVJBA> @ash_trader @realDonaldTrump Fed. Is fractional reserves backed by birth-certificate bonds with human collateral via fed. Income tax.... Trump has legal power to change that. This tweet is just setting the stage IMO
1077353224661880833 2018-12-24 18:59:59 -0400 <ahwinges> @RottenPiePan @realDonaldTrump Yes, you told us all the companies would be coming back to the USA.  Neither you or your family have brought a single of your companies back.  All your products are still being made overseas.
1077353223869087745 2018-12-24 18:59:59 -0400 <Danny313> @realDonaldTrump You certainly are a wordmaster here! Love the "dem border shutdown"! LOL! golfer who can't putt! hahahahah
1077353223516839938 2018-12-24 18:59:59 -0400 <MTSmazz> @realDonaldTrump The thing is, you’re not now or ever will be respected.
1077353223084797953 2018-12-24 18:59:59 -0400 <dri46956090> @realDonaldTrump Good you got More too give out
1077353222363320321 2018-12-24 18:59:59 -0400 <Sapphire0720> @realDonaldTrump Stop blaming anyone but you for this shutdown.  It is ALL on you!
1077353220471746560 2018-12-24 18:59:58 -0400 <wordsanddeeds2> @Lakewayjay @realDonaldTrump Stand?  No Trump lies.  🤥🛌🏽
1077353218995302400 2018-12-24 18:59:58 -0400 <jdelknows> @realDonaldTrump Please seek some type of therapy for the country’s sake!
1077353217657171968 2018-12-24 18:59:58 -0400 <dirtybeardad> @realDonaldTrump @POTUS @WhiteHouse #TrumpResign #ResignTrump #TrumpResigns #TrumpShutdown #TrumpChristmasShutdown #TrumpShutdown2018 #TrumpResign #ResignTrump #TrumpResigns #TrumpShutdown #TrumpChristmasShutdown #TrumpShutdown2018 #TrumpResign #ResignTrump #TrumpResigns
1077353217233702912 2018-12-24 18:59:57 -0400 <dominikymd> @realDonaldTrump fab
1077353216596094976 2018-12-24 18:59:57 -0400 <the1RyanOhli> @realDonaldTrump #EndtheFed fiat currency will be the end of life as we know it. A worldwide fiat currency bubble will make the Great Depression look easy.
1077353216545865731 2018-12-24 18:59:57 -0400 <elchappo64> @realDonaldTrump  https://t.co/tBzEUc19lm
1077353216226914304 2018-12-24 18:59:57 -0400 <housesandme> @realDonaldTrump Are you sniffing glue? Let’s see the contract. Let’s see it. #TrumpChristmasShutdown2018
