1151280350078914560 2019-07-16 19:59:59 -0400 <CKThor> @GOP @realDonaldTrump @IvankaTrump Oh, please. Sit down and shut up.
1151280347465867264 2019-07-16 19:59:59 -0400 <LisaStrother2> @realDonaldTrump And certain people LIE. #RacistInChief #ToddlerInChief #LiarInChief #CaveMan #AgentOrange
1151280346974969857 2019-07-16 19:59:59 -0400 <Fireslyer1> @nosoupforgeorge @realDonaldTrump #racistcongress
1151280344450117632 2019-07-16 19:59:58 -0400 <ckhm1st> @hodgetwins @realDonaldTrump And while under the #CollusionIllusion conspiracy. Even with that handicap, @POTUS is #Trumping @BarackObama in every way. #KAG 🙌🏾👍🏿👌🏾🙏🏾
1151280343607128064 2019-07-16 19:59:58 -0400 <zylaBarr> @realDonaldTrump @WhiteHouse #RapingRacist #SexTraffickersBestBuddy #ChildRapist  https://t.co/6aQOx2CWXz  https://t.co/gyL3AJFrt7
1151280343300878338 2019-07-16 19:59:58 -0400 <SFRosie> @SteveScalise @realDonaldTrump What Donald Trump just said about the four congresswomen is disgraceful. You should have had the courage to tell him that instead of going after someone who had that courage
1151280343036628993 2019-07-16 19:59:58 -0400 <MaineRepunlican> @realDonaldTrump @GOPLeader Sick in the head
1151280342944423942 2019-07-16 19:59:58 -0400 <CMB515> @realDonaldTrump Call it what it is - klan rally.
1151280341031763969 2019-07-16 19:59:57 -0400 <abelmoore38> @KikiAdine @realDonaldTrump 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌 racist bigotry  billion-air-head.
1151280340146753536 2019-07-16 19:59:57 -0400 <uhh44214625> @realDonaldTrump @GOPLeader Quit while you are ahead
1151280339458895872 2019-07-16 19:59:57 -0400 <MagicalAaron> @SteveDaines @realDonaldTrump "Montanians are sick and tired of seeing all the diabetes and obesity killing our country.  I stand with Dunkin Donuts.  🍩"
1151280338972401664 2019-07-16 19:59:57 -0400 <YouTubeJEFF9K> @GOP @realDonaldTrump @IvankaTrump Empty words.
1151280338246799367 2019-07-16 19:59:57 -0400 <free_savage> @SenSchumer @realDonaldTrump Wells that’s lie... all Republicans votes Nay...  https://t.co/VeKrXNDQBH
1151280337357434880 2019-07-16 19:59:56 -0400 <rslugs202> @RepSwalwell @savetheturtles2 @realDonaldTrump @HouseFloor @RepDougCollins @HouseGOP They are either racists or cowards. It is sad these legislators are so attached to occupant of the White House.
1151280337286303744 2019-07-16 19:59:56 -0400 <wendimyb> @realDonaldTrump @GOPLeader Deciding to be a full blown racist to cover up being a child rapist. #WorstPresidentEver #TrumpIsARacist #TrumpisARapist
1151280336816541701 2019-07-16 19:59:56 -0400 <byLorenaBlas> .@realDonaldTrump legacy: layoffs across the nation  https://t.co/29QGXue1df
1151280335851851776 2019-07-16 19:59:56 -0400 <AZiggs88> @KellyannePolls @DonaldJTrumpJr @POTUS @realDonaldTrump Infuriating! She might not say America with any pride but most Americans do. I stand with @realDonaldTrump maybe she should live in a country she is proud of!
1151280335377915906 2019-07-16 19:59:56 -0400 <SaraKimbell> @KellyannePolls @realDonaldTrump @POTUS @whitehoim @whpresscorps #KellyanneConway  https://t.co/y4sUM8GJ9a
