933122852068384768 2017-11-21 18:59:59 -0400 <WildAtHeart45> @The_Trump_Train @RogerRatzazz13 @realDonaldTrump  https://t.co/GbZmtzZbWL
933122847056175104 2017-11-21 18:59:57 -0400 <DeliaMacD1> @Larsofhaus1 @sassy_since @allbaipage @debsdsu91 @ScottPresler @realDonaldTrump @MooreSenate Now do the one where he and Stern talk about how hot Ivanka is. Or the one where he says if Ivanka wasn’t his daughter he’d probably be dating her.
933122846972198912 2017-11-21 18:59:57 -0400 <CWitt59> @larryelder @realDonaldTrump LOL, so that makes us what? Better?! Hahahaha
933122846481530882 2017-11-21 18:59:57 -0400 <JackNel90207612> @realDonaldTrump Stop net neutrality repeal. We voted you into office to stop the swamp. Don't let this happen.
933122842778132482 2017-11-21 18:59:56 -0400 <rajavier0531> @barry_corindia As if the orange monkey @realDonaldTrump ever had any
933122841255534593 2017-11-21 18:59:56 -0400 <mb_farley> Of course a serial sexual assaulter @realDonaldTrump would believe the denials of another serial sexual assaulter @MooreSenate  https://t.co/oqdGWLkCmC
933122840576102402 2017-11-21 18:59:56 -0400 <TuffsNotEnuff> @Tina12312 @KeithOlbermann @realDonaldTrump Repeatedly in Atlantic City T bragged that he had scored 700 women. Also, no condoms ever. "My Vietnam" for surviving the results. Now he avoids any and all blood work -- no Walter Reed vists for this dude.
933122837090463744 2017-11-21 18:59:55 -0400 <OliveGreyFrost> @Scavino45 @POTUS @realDonaldTrump @PressSec @WhiteHouse Now save us! #NetNeutraility
933122834892840961 2017-11-21 18:59:55 -0400 <RobPowers9> @AmyMcGrathKY Its bad enough #dotard @realDonaldTrump supports a pedophile But whats more concerning is all these trumpettes gonna support him just because. The stupidity in this country is unimaginable. These knuckledraggers need to be in a zoo
933122833173098496 2017-11-21 18:59:54 -0400 <popovich_gary> @realDonaldTrump @FLOTUS Pardoning Turkey's is in Trump's blood look at what he did for Sheriff Joe
933122831591895040 2017-11-21 18:59:54 -0400 <jtaveras3> @AndrewSnyderLLC @realDonaldTrump Your op-ed is crap! The same way these other health professionals can’t diagnose him with being crazy, you also can’t diagnose him with NOT being crazy.  The knife cuts both ways Dr!  I’m no psychiatrist and I personally think he is nuts!  Be more responsible with your opinions!
933122828253179904 2017-11-21 18:59:53 -0400 <Tida391990> @TrumpsWolves @LubnaArikat @Scavino45 @realDonaldTrump @POTUS @WhiteHouse @PressSec @WHNSC @IvankaTrump Fantastic.
933122827841974273 2017-11-21 18:59:53 -0400 <angelgio2008> @skeetafly @DonnaWR8 @realDonaldTrump It is tragic that mr. 45 is in the office. I want to cry
933122820338606085 2017-11-21 18:59:51 -0400 <hebegebes86> @ErinBethBranch @TIME @realDonaldTrump @POTUS How it works in our house. We're smart  https://t.co/e96h8185g0
