1136060059732127753 2019-06-04 19:59:59 -0400 <Gunntwitt> @dougmillsnyt @FLOTUS @realDonaldTrump Great photo.
1136060057521516544 2019-06-04 19:59:59 -0400 <pimpest16> @realDonaldTrump Details?
1136060055604867072 2019-06-04 19:59:58 -0400 <CarlosL94361623> @reforma2006 @FelipeCalderon @realDonaldTrump Muy buen comentario 👏🏽👏🏽😂
1136060055122354176 2019-06-04 19:59:58 -0400 <joshvam> @DrDenaGrayson @nytimes @realDonaldTrump Makes me want to cancel my membership
1136060054300483584 2019-06-04 19:59:58 -0400 <drbruceherbert> @aliversluis I thought this was going to be a @realDonaldTrump tweet
1136060052211752960 2019-06-04 19:59:58 -0400 <JOHNCOSSEL> Come on @SenJoniErnst don’t hang w the Rino’s subverting #stablegenius @realDonaldTrump @POTUS doing what’s best 4 #WeThePeople putting #AmericaFirst 2b #winning #BuildTheWall #TradeWars #CrookedHillary #LockHerUp help #DrainTheSwamp @LouDobbs @FoxBusiness #KAG2020 #Q #Benghazi  https://t.co/V4647oSxBc
1136060046591348740 2019-06-04 19:59:56 -0400 <albertdcarter1> @realDonaldTrump @CNN @ATT The main reason you stop watching CNN is because of the bad press you get wherever you go. Even other countries protest your arrival and their news companies report the same if not worse about you. There no love got TRUMP.😭
1136060042401050626 2019-06-04 19:59:55 -0400 <lula_puch> @GOP @realDonaldTrump Yes GOP Why? As the gentleman below ask, why are you folks trying to destroy everything that taught us is right.
1136060040270532608 2019-06-04 19:59:55 -0400 <TheresaMcClosk1> @realDonaldTrump Just in case you didn't see this fake news.
1136060036571049984 2019-06-04 19:59:54 -0400 <chez1954> @thecryptovirus @funder @HillaryClinton @realDonaldTrump Ho hum
1136060035027623937 2019-06-04 19:59:53 -0400 <Stony1Curtis> @LouDobbs @EdRollins @realDonaldTrump @POTUS These tariffs are more about Congress not doing it's job, regarding immigration, than Trump. Congress could fix the problem in a day. But they won't, so Trump is forced into less ideal measures like tariffs. So, get off Trump's back and on Pelosi's!!
1136060032926326786 2019-06-04 19:59:53 -0400 <kayaeger1> @TiffanyATrump @realDonaldTrump @FLOTUS @IvankaTrump @EricTrump @DonaldJTrumpJr @LaraLeaTrump Do they realize the word "Trump" never got them anywhere?  Now we are paying for the Trumps and Staff to have a company vacation.  All on our dime.  Come on guys, do think they look like "we" matter to them.  We are even paying for their glamour shots.
1136060032125198343 2019-06-04 19:59:53 -0400 <DonnaResist> @RoyalFamily @realDonaldTrump @POTUS @FLOTUS @ClarenceHouse  https://t.co/VRbkLLBHVN
1136060032104259591 2019-06-04 19:59:53 -0400 <iamkiki207> @SharylAttkisson @almostjingo @TheJusticeDept @realDonaldTrump Not one leaker in that swamp with a conscience to do something good?   Shameful.  I'm gonna add you to my 3 o'clock prayers 🙏  Godspeed
1136060030309085184 2019-06-04 19:59:52 -0400 <filipe2747> @IARobbins @dougmillsnyt @realDonaldTrump Some of the money for big jacket was for the Wall and Melania forgot where she bought his Yellow Jacket.
1136060029700907011 2019-06-04 19:59:52 -0400 <apefaceoo1> @LouDobbs @EdRollins @realDonaldTrump @POTUS No, it’s time for Democrats AND Republicans to focus on the constitution and the rule of law.  Only cowards rally behind someone even when there wrong.
1136060029109526529 2019-06-04 19:59:52 -0400 <Jo_Josey> @msstate303 @JerryFalwellJr @realDonaldTrump I agree completely. I don’t expect the entire world to support Platt. But for a man who is the president of a Baptist university and is known to be connected to Trump, his comments are shameful.  Also - no idea why I wasn’t following you until now, bro!
1136060028505473024 2019-06-04 19:59:52 -0400 <utfootballgirl7> @Steph77753147 @wazzared @HuwSamuel @realDonaldTrump @SadiqKhan Bless it!! 🤦🏽‍♀️
