1046550251237191680 2018-09-30 19:59:58 -0400 <crickwater> @realDonaldTrump  https://t.co/UDV1ACnrMt
1046550248192192512 2018-09-30 19:59:57 -0400 <PoppaPeko> @laphew1 @realDonaldTrump 1 Timothy 6:10
1046550247588212736 2018-09-30 19:59:57 -0400 <denksmith> @realDonaldTrump  https://t.co/erksJlbOJ7
1046550247516844035 2018-09-30 19:59:57 -0400 <HankMcCoy17> @Neenaw70 @D_Dale_Perry @tarastrong @realDonaldTrump Kanye sadass west has sold his soul a long time ago . His last CD doesn't even get air play the devil has no more use for so he trying to put his stinky soul on Trump .
1046550241208545281 2018-09-30 19:59:56 -0400 <GenevieveLee19> @WaydeDe @RHONDA_USA @GiboneyDavid @SiestaKeySunnin @vanderfk @DxmJohansen @Stephan40279183 @janedoe43211 @annableigh @Mike17_D @virbow1 @judy_shwabe @_edwardmondini_ @ntvnyr173 @ratel12703224 @sbiv56 @harleyriderjeep @LivLively_24_7 @Idryvfast @rlittle600 @JoeMoor80940296 @rstephe364 @miriam__s9 @dustygirl68 @cwilliams1113wy @IrvingDavis @niteowlmom3 @CarlaJM @Pjj44138783 @kzevans1124 @WhoWolfe @BigBobDC68 @Adorable_Todd @LiberalJustin @BourgeLouis @poser_william @LouiseMagill1 @Legaleagle1953 @OpinionOnion7 @Mamma_Janet @HarrietNix @DevilDogNV @KonnieJean @DCLbeacher444 @JamesDoss50 @pfeifer_russel @realDonaldTrump @VP @POTUS Chelsea did not use Haitian aid for her wedding. Fact check it! Conspiracy theorist's fable!
1046550235567149056 2018-09-30 19:59:54 -0400 <TripJCrypto> @realDonaldTrump Your boy @kanyewest doing it!! Speaks #truth   #MAGA #TheGreatAwakening #StayTuned
1046550234849980417 2018-09-30 19:59:54 -0400 <ifudontlike2bad> @realDonaldTrump  https://t.co/8UZEMOrxIK
1046550233784745985 2018-09-30 19:59:54 -0400 <SaveTheGVMT> @Steel_Pulse1 @madisongesiotto @RyanAFournier @realDonaldTrump So, 2 celebs at a club standing near each other who happen, as all people do, to smile when the camera popped up means they are homies? I can show you hundreds of tabloid pics of exactly what I am describing.  You’re the one who’s mad because your narrative fell apart.
1046550231918075904 2018-09-30 19:59:53 -0400 <sofarsogood44> @MichaelAvenatti @LindseyGrahamSC @realDonaldTrump Everybody knows this is Grahams ploy, Sessions seat. They don't know we are paying attention. What a shame.
1046550228629950465 2018-09-30 19:59:53 -0400 <BrokenDownLucy> @realDonaldTrump No excuse to not get the timeline for the Potomac Safeway.
1046550226692059137 2018-09-30 19:59:52 -0400 <otiose94> #uspoli #Russia dogged @realdonaldtrump by @moir_alan  https://t.co/HRiWeULp3j  https://t.co/1d0spIbQsQ  #auspol #kavanaugh #creepycalendar
1046550225727508480 2018-09-30 19:59:52 -0400 <HarryKindred5> I stand with @realDonaldTrump and I #StandWithMarsha! We NEED @VoteMarsha in the U.S. Senate to represent our Tennessee values, defend the Republican Majority &amp; protect the president's agenda!
1046550216847966213 2018-09-30 19:59:50 -0400 <grandma420> @GOP @realDonaldTrump Just for criminal Republicans!
1046550213572399104 2018-09-30 19:59:49 -0400 <Mimmy29248999> @WeSupport45 @realDonaldTrump @blipbillboards No
1046550212657872896 2018-09-30 19:59:49 -0400 <Combatsailor> @Sundrop76Marie @EdanClay @realDonaldTrump There are times when I type faster than I’m thinking and some things come out the wrong way. I’ve been trying to work on that.
1046550201232572416 2018-09-30 19:59:46 -0400 <Mary761550791> @realDonaldTrump the DEMS asked for a week no longer PLEASE
1046550199760490496 2018-09-30 19:59:46 -0400 <idiotsroole> @WeSupport45 @realDonaldTrump @blipbillboards send us your money folks.  we need beer for kavanaugh!
1046550193808838658 2018-09-30 19:59:44 -0400 <TOLATO21> @realDonaldTrump @ernestomaciast @Karlaarcila @NTN24 @CNNEE @abc_es @RosLehtinen @marcorubio @AndresPastrana_ @bbcmundo @Univision @herbinhoyos @LuisAlfreRamos @HassNassar @mluciaramirez @A_OrdonezM @AlvaroUribeVel @IvanDuque @saludhernandez @NoticiasRCN @NoticiasCaracol @PGN_COL
1046550192697339905 2018-09-30 19:59:44 -0400 <dwford611> @EmmaWil72144961 @AwakeToday @POTUS @realDonaldTrump She want get to spend much perjury charges are coming
1046550190583361536 2018-09-30 19:59:44 -0400 <rarb221> @AndrewCMcCarthy @RealSaavedra @realDonaldTrump I say, the Democrats have caused major upheaval  in America. What ever mutual respect existed between parties, has been destroyed by their Trump hate .
1046550190000353296 2018-09-30 19:59:43 -0400 <NicoleG97829255> @realDonaldTrump 🤣🤣😂🤣🤣
1046550185558593543 2018-09-30 19:59:42 -0400 <EducatedFelica> @realDonaldTrump You do not support the “minority’s” in this country! You have no concept of the horrific police shootings on Blacks and Hispanics! You don’t understand the protests to stop brutality! You cage Hispanic children and still don’t see the issues with it! Open your eyes to the issues!
1046550184250023938 2018-09-30 19:59:42 -0400 <more_cowbell_15> @BrianPaulStuart @sundene @realDonaldTrump @mike_Zollo
1046550183050432512 2018-09-30 19:59:42 -0400 <lkdavolos> @realDonaldTrump      ummm  the nation has witnessed                                            the shameless behavior of its                                                                                          President!
1046550182723235840 2018-09-30 19:59:42 -0400 <gregwaldron1> @chbrkr @realDonaldTrump Best economy, best job market,  best foreign relations, America first. How boring...
1046550175429390339 2018-09-30 19:59:40 -0400 <ThankQ16> What was Brennan’s role  #ChristineBlaseyFord to fabricate accusations against Kavanaugh? ClownsInAmerica a common denominator ?@realDonaldTrump #GOP #dismantlethecia and start over
