960664333066813441 2018-02-05 18:59:59 -0400 <snowbird3955> @realDonaldTrump And your paycheck is going up the most..
960664332257415168 2018-02-05 18:59:59 -0400 <cate_catemc1> @realDonaldTrump you did it!!! You finally did it! You beat Obama! Yea. Biggest drop in the stock market on your watch. Just like when the increase was all you, so is the drop! So much winning!! #loserinchief #TrumpCrash
960664331867344896 2018-02-05 18:59:59 -0400 <DaddyJim52> @mielewealth @Lolibraun @SLStewart1724 @uofuutefootball @kellyz713 @_political_p @solomongrundy6 @waconia3 @just_old_joe @Trenaway11 @MimmyHayes @deaconcruise @JamieW1776 @JaybeeStewee @WakeThe_UP @CheriJacobus @icerinkmomma @Orangeblood2012 @suziferg0806 @StevePerkins14 @PenelopePratts @bigsexy_tote @Bruchell1 @rosscjr @jeebling @realDonaldTrump 👍🏼🧐
960664330516623361 2018-02-05 18:59:59 -0400 <CantLetItbe> @Miss_Fedelm Can't wait to see @realDonaldTrump excuse for not releasing it.
960664328725819392 2018-02-05 18:59:58 -0400 <MmeEmile> @realDonaldTrump Your wall idea is STUPID. #DumbAsABagOfHammers
960664328625012736 2018-02-05 18:59:58 -0400 <EdanClay> .@RepTimWalz, @realDonaldTrump doesn't deserve to shine your boots.  https://t.co/sUJgpVr4SA
960664327714844672 2018-02-05 18:59:58 -0400 <soliary25> @realDonaldTrump   https://t.co/6QfshNo3BG
960664325957603329 2018-02-05 18:59:58 -0400 <MTChorney> It's time again for America's allies to stand up for what's right and reiterate their opposition to Guantanamo. @JustinTrudeau must tell @realDonaldTrump to #ChargeOrRelease remaining detainees and close Guantanamo for good  https://t.co/7IwKqLzcEv
960664325118558208 2018-02-05 18:59:58 -0400 <Berpec> @RepSwalwell @realDonaldTrump @HouseDemocrats This is what Trump the dictator wants:  https://t.co/zFuBN1G7yh
960664324896419847 2018-02-05 18:59:57 -0400 <TabbyWesa> @tRump_is_lying @Inoalot2 @RoryGilligan1 @GuerroTaco @watchyourspeed1 @jake_snowflake @Seeds81Planting @OperationJust @andersons_dm @tenatioust0286 @RUSTIMCCOLLUM @cjdtwit @momof24u @BlazePlummer @HeavyMetalRulz @TechQn @uniquedeehan1 @bronson69 @bigjinks @basedinfidel8 @Timesupjokers @mcmahon_mona @Prospectiveusa1 @CAoutcast @EricS395311018 @unconcious0 @RealBiddle @billbenedict61 @SKSSKanz @TAGOS22 @Inclined2Chaos @WelllDoYou @ladydiblu1 @OdinMo @izonorion71 @NinaGrigsby @stand4honor @Alice00581238 @PIRATEDANTRAIN @name @realDonaldTrump @SenateDems But "it's a free country" lol.
960664324212748289 2018-02-05 18:59:57 -0400 <just4given> @Brocktactics @LindaNykolyn @JackPosobiec @realDonaldTrump @Comey This isn't a partisan issue. It's a civil rights issue and an equal justice issue. There are swamp critters on both sides of the aisle. The memo will reveal all. That's why the creatures are getting heaved and just up and leaving.
960664323390615557 2018-02-05 18:59:57 -0400 <squirreldude10> @realDonaldTrump Love to get little Adam on a hard core FBI lie detector test
960664323214532613 2018-02-05 18:59:57 -0400 <mregan_9> @realDonaldTrump @foxandfriends I'm hoping your arteries clog up pretty quickly so you'll just shut the fuck up!
960664322203574273 2018-02-05 18:59:57 -0400 <maribburns> @realDonaldTrump   https://t.co/ZMGydVYTv0
