869704977329029122 2017-05-30 19:59:59 -0400 <Libertycries17> MORE Red Light Therapy @realDonaldTrump   https://t.co/Dc2ztW4jkF
869704976389464064 2017-05-30 19:59:59 -0400 <Airheadrica> @realDonaldTrump You mean like this &gt;&gt;&gt;&gt; LOL  https://t.co/hagXqiOOBX
869704973017165824 2017-05-30 19:59:58 -0400 <stevenlouis209> @foxandfriends @realDonaldTrump Where's your source?
869704972891545601 2017-05-30 19:59:58 -0400 <whywinewhy> @realDonaldTrump STILL. NOTHING. Taliesin Myrddin Namkai-Meche &amp; Ricky John Best Taliesin Myrddin Namkai-Meche &amp; Ricky John Best #saytheirnames
869704972786700289 2017-05-30 19:59:58 -0400 <KWTuckFrump> @realDonaldTrump Your health care plan has as much chance of getting passed as you have of reaching the lowest end of the scale on an IQ test.
869704971029229568 2017-05-30 19:59:58 -0400 <Aoife_Clif> @kanakagirlie2 @thedebbiec @CNNPolitics @kathy_sherrill @AngelaMerkeICDU @realDonaldTrump @PressSec Oh yea. She is empty.
869704969594843136 2017-05-30 19:59:57 -0400 <charito_li> @th3j35t3r @rohanc @TheRickWilson @realDonaldTrump Daaaannnnng! 👀🙌😂
869704965081751553 2017-05-30 19:59:56 -0400 <cmmorgann> @realDonaldTrump You would know since you have been in collusion with Russia from the beginning &amp; you are the main source of FAKENEWS
869704962833567745 2017-05-30 19:59:56 -0400 <VoterMiles> @realDonaldTrump You need to read a book on diplomacy and don't flippantly use Twitter. Can't wait to vote you and you sorry party out.
869704960811728896 2017-05-30 19:59:55 -0400 <LivviAnn54> @realDonaldTrump And you're laughing with them, aren't you?! We all know you're tied in with them.
869704952679198721 2017-05-30 19:59:53 -0400 <KLpersist> @realDonaldTrump You're such an idiot, the most tremendous idiot, the ultimate poster boy for idiots. Eat more ice cream, tons and tons of ice cream, hurry!
869704949839544321 2017-05-30 19:59:53 -0400 <Bethzz4> @jerseymomma @ScottMonty @foxandfriends @realDonaldTrump That just totally made my day!!!!!! 😂😂😂😂😂
869704949147553792 2017-05-30 19:59:52 -0400 <Health4AllAmer> @realDonaldTrump aided and abetted these attacks. #ThisIsWhatRepublicansLookLike  https://t.co/bgmCAvxSf3
869704943120166912 2017-05-30 19:59:51 -0400 <bhuglamna> @realDonaldTrump Umm realize,there isn't enough votes for either of these bills right? love if @SenateMajLdr bring them up for vote,show how unpopular they r
869704942524571648 2017-05-30 19:59:51 -0400 <ElSanchi> When are people going to acknowledge that our president is literally stupid. Like 8th grade stupid. @realDonaldTrump #FakePresident  https://t.co/BrT52XuBGE
869704941438246912 2017-05-30 19:59:51 -0400 <RuthBriteme> @DearAuntCrabby @realDonaldTrump   https://t.co/jsoCK1eBp1
869704940448608256 2017-05-30 19:59:50 -0400 <BeccaISWoke> @realDonaldTrump THIS IS A FAKE ACCOUNT.  THOUSANDS MORE in Trumps followers list!  https://t.co/8Paq1BmEAe
869704939039109123 2017-05-30 19:59:50 -0400 <VanillaBear> @realDonaldTrump Who you killing, bro?  https://t.co/KIow8wywzz
869704934807056384 2017-05-30 19:59:49 -0400 <nellthebookwor1> @realDonaldTrump But they didn't.  They supported the Constitution.  Read a history book,  Read.
869704934626779136 2017-05-30 19:59:49 -0400 <Amara_Magick> @PurpleGimp @NYTBen @realDonaldTrump I need this video. I want to puke every time I hear his voice, see him, and have since b4 the election. He literally makes me ill.
869704933892800513 2017-05-30 19:59:49 -0400 <bmcircle> @GdeskAxis @TheDonzoni @MurrayFullerton @WillCubbedge @CatholicCrusad2 @MyFaith_1HCAC @ShamelessPapist @diogenes323bc @secretariagh @wendybabiak @annepaezNOLA @travelbond @akers_joe @Kc8wzm @Mistercorduroy @MrRomanCatholic @realDonaldTrump @Donzoni Fair point.  I missed the thrust of it before.
869704931086696448 2017-05-30 19:59:48 -0400 <meth_alia> @realDonaldTrump if you do not resign or congress does not impeach you by July 4th, the American people will come to arrest you ourselves
869704925730799616 2017-05-30 19:59:47 -0400 <DrEvans1784> @DearAuntCrabby @realDonaldTrump   https://t.co/vbS2ZbsKtX
869704922345766912 2017-05-30 19:59:46 -0400 <jebocanegra1> How convenient, @realDonaldTrump hires a lawyer who has ties to @PutinRF through a #Russian bank he represents. Attorney client privilege?
869704922190807040 2017-05-30 19:59:46 -0400 <PoINews2> Politico, CNN, MSNBC and Pigs like this are waging war on America. We demand the FERERAL GOVERNMENT make it STOP. @POTUS @realDonaldTrump  https://t.co/ctTV2LptPM
869704920726872065 2017-05-30 19:59:46 -0400 <davi_lona> @sammypolsen12 @realDonaldTrump sencership sucks
869704916075397120 2017-05-30 19:59:44 -0400 <mblctz> @FoxNews @GreggJarrett .@realDonaldTrump wasn't Pres yet, Kushner hadn't been appointed yet. Trying to do an end run around a sitting President. Not kosher.
869704910501068801 2017-05-30 19:59:43 -0400 <richardcircle> @realDonaldTrump @IvankaTrump @GOP @SpeakerRyan @SenateMajLdr    @KatyTurNBC @HallieJackson  @foxandfriends  @seanspicer   @seanhannity !  https://t.co/CI2gxddrHB
869704909624459265 2017-05-30 19:59:43 -0400 <UtahnSailor> Twitter bots! Maybe that's the backdoor comms the Kush was working on! It's ok, @realDonaldTrump, we understand you need (fake) reassurance.  https://t.co/DixPlhzJiC
869704909180063745 2017-05-30 19:59:43 -0400 <jacobtrainor67> @realDonaldTrump You literally posted a 'sources say' article after posting this... Maybe focus on working for the American people for a little bit.
