1032417130329923584 2018-08-22 19:59:59 -0400 <GregAsbury1> @realDonaldTrump Keep tweeting moron 😆  https://t.co/cotKqlg1cx
1032417129524539392 2018-08-22 19:59:59 -0400 <Francisco10821> @DonaldJTrumpJr @realDonaldTrump Had never supported Trump. Needs to be fired vote Republican. Gov Justice needs Repulicans to help his state  Do the right thing vote.
1032417129025417216 2018-08-22 19:59:59 -0400 <Bird00414864> @realDonaldTrump @WhiteHouse #ResignTrump #LockHimUp
1032417128853512197 2018-08-22 19:59:59 -0400 <LuvMultimedia> @ekcj1234 @tedlieu @PressSec @realDonaldTrump Chica looks like she is about to caw and fly away.
1032417126492106752 2018-08-22 19:59:58 -0400 <OneBotheredBee> @RepSwalwell @realDonaldTrump @HouseJudiciary @HillaryClinton It's time we stop this bullshit already. It's dragged on far long enough with no results other than nothing found. Let's put our foot down and stop a real "witch hunt" and a true waste of our hard earned money. It's bad enough we pay for  golf and executive time #NoMore
1032417124738719745 2018-08-22 19:59:58 -0400 <KalAbehra> @realDonaldTrump you got evidence?
1032417121966280704 2018-08-22 19:59:57 -0400 <ConnorAuld> @Cschliek @Smokeeater71 @Serial_Trader_ @realDonaldTrump Because the feds pay for portions of all states natural disaster response. And because this years fire season is significantly worse than “normal”. Brown raised gas taxes because it’s the most effective way to fund work on infrastructure.
1032417120150343680 2018-08-22 19:59:57 -0400 <halperinlegal> @realDonaldTrump You cray cray
1032417119063998464 2018-08-22 19:59:57 -0400 <HaroldLang16> @realDonaldTrump Socialism is one step from communism.. Socialism does not work with freedom...
1032417118497726464 2018-08-22 19:59:57 -0400 <gsynthchris> @realDonaldTrump Don’t forget, THIS IS ALL THANKS TO OBAMA!
1032417117554069504 2018-08-22 19:59:56 -0400 <billyapples> @realDonaldTrump Shut up.
1032417117264592896 2018-08-22 19:59:56 -0400 <briantx07> @realDonaldTrump You’re going to jail.
1032417116132188160 2018-08-22 19:59:56 -0400 <jaquelinehogreb> Wrong again @realDonaldTrump
1032417114261540864 2018-08-22 19:59:56 -0400 <pamelalynn1906> @realDonaldTrump Please stop talking.......
1032417113452019712 2018-08-22 19:59:55 -0400 <SG_Qwabe> @redeye80 @IBabbleOnAndOn @icer100 @massaro_sherry @realDonaldTrump  https://t.co/H6ONvvXGdN
1032417112432828416 2018-08-22 19:59:55 -0400 <porterburkett12> @howeasyweforget @realDonaldTrump Eric Holder was the first cabinet member in history to be held in criminal contempt of Congress.
1032417111375851520 2018-08-22 19:59:55 -0400 <JenniferMW> @EastSideTea @TxEx @AynRandPaulRyan @realDonaldTrump New promises aren't the problem. Funding wars with credit instead of taxes is wrong. Then threatening to cut needed services from the most vulnerable is how they claim to try and save money while footing the bill for DJT's endless golfing that profits his own business. Priorities
1032417110801219590 2018-08-22 19:59:55 -0400 <DadFailed> @wane15 @realDonaldTrump  https://t.co/7l1si4e18b
1032417109400158213 2018-08-22 19:59:54 -0400 <inthepinkgirl1> @thehill Please...@SenateMajLdr just remove @realDonaldTrump. The world can see donald is unhinged and can barely control his childish behaviors &amp; tantrums.
1032417109257723909 2018-08-22 19:59:54 -0400 <DWRoss10> @realDonaldTrump Thank you for working so hard for ordinary, hard working Americans. You are accomplishing so much for America amidst the vile, vicious, relentless attacks of the misguided and arrogant political and media elites. Press on sir, we appreciate you.
1032417108754345985 2018-08-22 19:59:54 -0400 <pouringyellowpp> @The_Trump_Train @realDonaldTrump  https://t.co/qfvQdccCKA
1032417108557213696 2018-08-22 19:59:54 -0400 <TrueRedefined> @realDonaldTrump @foxandfriends When can we deport you? Russia is calling .. maybe Putin will give you a job .. he seems to like has beens!!!
1032417108511129602 2018-08-22 19:59:54 -0400 <Accelerationis1> @LDaniel86768184 @tedlieu @Elmonndo @PressSec @realDonaldTrump She is not a great actress.
1032417105419886592 2018-08-22 19:59:53 -0400 <lastchance99> @realDonaldTrump You should thank Obama
1032417104400711680 2018-08-22 19:59:53 -0400 <GrampaT62> @realDonaldTrump We will never know Mr. President until you do #pullit
1032417103637303297 2018-08-22 19:59:53 -0400 <mjshort36> @realDonaldTrump Like you did, moron. Why would any person with a half of brain give a shit about your opinion?  Oops your entire constituency all have a half of brain or less.
1032417101838012416 2018-08-22 19:59:53 -0400 <trippy12345> @realDonaldTrump  https://t.co/oXGPqXzrfk
1032417101666050048 2018-08-22 19:59:53 -0400 <tony_trouble> @realDonaldTrump Shut up you dipshit
1032417101405769729 2018-08-22 19:59:53 -0400 <debbiedolan> @quasipundit @EdanClay @berriojo1 @realDonaldTrump Thx for the follow! Any1 w/a sense of humor like you do, is definitely worth following back 👍
1032417099086319617 2018-08-22 19:59:52 -0400 <DamnCuteBunnies> @rjoseph7777 @realDonaldTrump Party time! 🥳
1032417098771775490 2018-08-22 19:59:52 -0400 <Jethro_Aryeh> @realDonaldTrump OOPS! Cohen just made you an unindicted coconspirator! #maga #resistance #cohen #manafort  https://t.co/16Z3BAem0H
1032417096637050880 2018-08-22 19:59:51 -0400 <arv105> @WeSupport45 @realDonaldTrump @AVIACUSA Hundreds were murdered by white males with guns in mass shootings like Sandy Hook and Las Vegas. Let’s ban gun sales to all white men.
1032417096557309953 2018-08-22 19:59:51 -0400 <Meg65905715> @realDonaldTrump It is when HE put the money up and YOUR LOSER CAMPAIGN paid him back. We know what you did you pos
1032417095458250752 2018-08-22 19:59:51 -0400 <Josh_Stallings> @realDonaldTrump If anyone is looking for an honest president I strongly suggest you don’t call Trump. On second thought, please do, and take him off our hands.
1032417095315849216 2018-08-22 19:59:51 -0400 <NateGreene76> @realDonaldTrump If you think Obama’s “missing the 48 hour window to report donations greater than $1,000” compares to you ordering your attorney to pay hush money to a porn star in order to influence election results... you DO have mental sickness (as reported).
1032417088936263680 2018-08-22 19:59:50 -0400 <morgana_SSS> @ShawnQuinn83 @TrumpsareNazis @waltshaub @realDonaldTrump She had superdelegates pledges to her, more than Bernie, from the beginning. Like you said, those are DNC rules. That isn’t cheating. Fun fact, she also started out with more superdelegates when she was running against Obama. Many switched to him as he got more actual votes.
1032417086968975361 2018-08-22 19:59:49 -0400 <Michael88McC> @realDonaldTrump **WANTED ** Don the Con ** @FBI @FBIWFO @NewYorkFBI  ~ COLLUSION WITH VLADIMIR ~
1032417086679728129 2018-08-22 19:59:49 -0400 <prob_lee_wrong> @trumplove63 @officialhotrod @The_Trump_Train @realDonaldTrump Clueless is being a trump supporter at the same time as trying to pass off that you’re a patriotic American
1032417084943347713 2018-08-22 19:59:49 -0400 <Artie_B> @realDonaldTrump U.S. Public Law 810, Approved by 17th Congress 26 February 1929  (45 Stat 1307 – Currently on the books as 38 U.S. Code, Sec. 2306)  U.S. Public Law 85-425: Sec. 410 Approved 23 May 1958 Confederate soldiers, sailors, and Marines that fought in the Civil war were
1032417084091891712 2018-08-22 19:59:48 -0400 <FactsMatterJack> @LouDobbs @michellemalkin #BuildTheWall #PassKatesLaw #MollieTibbetts another victim of  #IllegalAlien #EnoughIsEnough #Rapists #MS13 #Murderers #DrugDealers #DrunkDrivers Times Up Congress @SenSchumer @NancyPelosi Democrat Obstruction @realDonaldTrump @tedcruz @GovAbbott @kelliwardaz #EndSanctuaryCities  https://t.co/oqjSkaIsMm
1032417082862972928 2018-08-22 19:59:48 -0400 <Zulubug> @SeddonTelli @WeAreOne_Q @realDonaldTrump @HillaryClinton I never thought that...just saying to be fair we have to look at where they real crime is
1032417081105547266 2018-08-22 19:59:48 -0400 <VoyageInfini> @Craig81948180 @CJGL1 @BBCWorld @realDonaldTrump "Trump just being Trump" only works with his base. It won't work as a defense in court. Good luck with your "case"...maybe write to Trump and see if he needs a replacement for Rudy...you seem like you'd fit right in!
1032417080790999041 2018-08-22 19:59:48 -0400 <Teamplayer4445> @grumpysusie @freedom_moates @realDonaldTrump @BarackObama @BernieSanders @HillaryClinton @JoeBiden @BillClinton rejects solid proof even though it is clearly presented. of you're blue.
1032417080673558528 2018-08-22 19:59:48 -0400 <sheila19801987> @realDonaldTrump Your hair looks blonder, new toupee, how much is that costing us.
1032417078156959744 2018-08-22 19:59:47 -0400 <DamienleeLee> @foxandfriends @realDonaldTrump @ainsleyearhardt What a crook and not even a good one at that
1032417076047015936 2018-08-22 19:59:46 -0400 <PoliticsRX> @rjoseph7777 @realDonaldTrump Well of course he did.
1032417075392925696 2018-08-22 19:59:46 -0400 <ReportGovtCrime> @realDonaldTrump Fake News &amp; DNC enemies of USA spend so much time on this,...but refuse to care about USA on illegal immigration.  People DEAD on illegal alien criminals matter,...but no death at all involved in this other political stuff.  https://t.co/JORS5yDo2W
1032417073329319936 2018-08-22 19:59:46 -0400 <0Grobnolet2> @tedlieu @AynRandPaulRyan @PressSec @realDonaldTrump Aider and abetter.
1032417071483613184 2018-08-22 19:59:45 -0400 <vevecurl> @elpasodemocrats @DNC @MailOnline @realDonaldTrump @FBI @gopelpaso @EP_Elections @elpgop I appreciate the help. I am just very wary of giving out my info, if that makes sense.
1032417071349387266 2018-08-22 19:59:45 -0400 <RGWG10> @IamStevenT you are to be commended for putting an end to @realDonaldTrump ‘s use of you music. the only music dt should have playing around him is prison harmonica. #shameontrump
1032417071072727040 2018-08-22 19:59:45 -0400 <covfefe1951> @WeSupport45 @realDonaldTrump @TheRedWave2018 No, they are all white!
1032417070850273280 2018-08-22 19:59:45 -0400 <JEA9999> @Julesitter @realDonaldTrump @GOP @RepDaveWilliams @RepDaveWilliams apparently doesn’t like that I called him on his shameful behavior. He replied to me it wasn’t his fault, it was “the Democrats”. Hmm. The democrats told him to use disrespect Mollie’s memory and family wishes? Maybe a Democrat is tweeting for him? Shameful man!
1032417070254878720 2018-08-22 19:59:45 -0400 <Kessey4> @icer100 @massaro_sherry @realDonaldTrump As usual, the only way his supporters know how to respond... lmao
1032417069726400512 2018-08-22 19:59:45 -0400 <LatinoVote1> @LannyDavis @MichaelCohen212 @realDonaldTrump JUST BREAKING NEWS!!! POTUS is caught red-handed here in campaign Finance law violations  https://t.co/USeU58Z6ib
1032417068975501312 2018-08-22 19:59:45 -0400 <mygardenkicks> @realDonaldTrump @foxandfriends You’re going back to Germany??? Awesome!!!
1032417067591524353 2018-08-22 19:59:44 -0400 <WettererPaula> @realDonaldTrump Really? You truly are a slob. Here you are condemning somebody for not perjuring himself for you. You committed those crimes with him, you both belong in jail! And you're not exactly loyal either!
1032417066782007296 2018-08-22 19:59:44 -0400 <Brooke13193272> @TheresaBBelen @realDonaldTrump lol
1032417066492547072 2018-08-22 19:59:44 -0400 <RonaldL32482952> @realDonaldTrump Thank you, Obama. Recovery started in 2009, after your election in 2008.
