895434516952743936 2017-08-09 19:59:59 -0400 <TaiAmeida> @FoxNews @realDonaldTrump @SenateMajLdr good.
895434515807711232 2017-08-09 19:59:59 -0400 <Skipandrews4> @SuzetteHenry @eugenegu @thekylestevens @realDonaldTrump Really! That's what I just asked! Doubt he's a dr, too whiney and fussy😃
895434515341901824 2017-08-09 19:59:59 -0400 <Destroyahweapon> @Thom2945 @realDonaldTrump Seems like you want yours and everyone else's families dead with that attitude
895434514968838144 2017-08-09 19:59:59 -0400 <patriot_20000> @eugenegu @thekylestevens @realDonaldTrump Does your pandering and bad judgment of the President make you fill bad?You are a weak person,  just like Obama and Hillary
895434514171691008 2017-08-09 19:59:59 -0400 <reedjasonf> @realDonaldTrump, please delete your account. You're an embarrassment. https://t.co/5VsZPhAw1F
895434506655604736 2017-08-09 19:59:57 -0400 <gf_caller> @realDonaldTrump You appear to have just tweeted your infringement of the Non-Proliferation Treaty. You are a very, very smart boy. None smarter, some say.
895434506131447809 2017-08-09 19:59:57 -0400 <AshLT271> @realDonaldTrump With everything going on the last 24 hours it's nice to see you had the time to tweet a 3 minute slideshow of yourself..😑
895434505334292480 2017-08-09 19:59:57 -0400 <AY_Taipei> @realDonaldTrump Haha, just Twitter la
895434504679997440 2017-08-09 19:59:56 -0400 <zbyte64> @peplamb @glynparson @realDonaldTrump Why doesn't this bot respond to Trump with this verse? This is what ppl been saying about Donnie's lack of filter, it defiles us all.
895434504487059456 2017-08-09 19:59:56 -0400 <danielleenjoy> @realDonaldTrump That would be sooooo true if you left the White House !
895434504176771072 2017-08-09 19:59:56 -0400 <SportsChatterer> @FoxNews @realDonaldTrump @SenateMajLdr 8 years of working against the last Prez so they forget what their job really is. Yet they keep getting voted in so...enjoy!
895434503484788736 2017-08-09 19:59:56 -0400 <ZiaErica> @RogerJStoneJr @realDonaldTrump Why are Trump supporters so defeatist? How can you 'take down' Trump? For what? Emotional breakdowns? I don't understand this attitude.
895434502725443585 2017-08-09 19:59:56 -0400 <TrumpResign> @New_Jersey87 @prevere76 @realDonaldTrump No. Never. All life is precious.
895434501861421057 2017-08-09 19:59:56 -0400 <lilykins55> @realDonaldTrump Political death knell for Luther Strange. #ETTD #WorstPresidentEver
895434499621871616 2017-08-09 19:59:55 -0400 <colum1948> @realDonaldTrump MORE LIES. it was OBAMA who did this
895434499235905536 2017-08-09 19:59:55 -0400 <darksideofthemo> @realDonaldTrump Oh boy..... Will this affect the war??
895434494907469824 2017-08-09 19:59:54 -0400 <JanFred1903> @kelliwardaz @realDonaldTrump Why would anyone believe lying DJT?
895434490692194304 2017-08-09 19:59:53 -0400 <evabai> @peplamb @POTUS @SecShulkin @WhiteHouse @realDonaldTrump Bot
