1108880969698701312 2019-03-21 19:59:59 -0400 <sorayamarty> @Judy55631468 @USMCLiberal @realDonaldTrump Care to share some of this evidence?
1108880967383560194 2019-03-21 19:59:59 -0400 <Phulminator> @Holly_in_CA @AgeloMike @AfBengalsnation @itsJeffTiedrich @realDonaldTrump @VP Is that why you put that trendy new hashtag at the end? Because you don't follow blindly?
1108880967110926336 2019-03-21 19:59:59 -0400 <oshaugnessy> @realDonaldTrump why isn’t anything your fault?  You’re a self-proclaimed billionaire so how do you justify always being a victim?
1108880967094161408 2019-03-21 19:59:59 -0400 <mmonkeyarms> @krassenstein @TomiLahren @realDonaldTrump @AOC I feel like you could start every response to a @tomilahren tweet with “That’s ignorant”.
1108880966624468992 2019-03-21 19:59:59 -0400 <SadDonDing> @realDonaldTrump hear you're promoting anarchy, calling folk to arms when you lose 2020...your idiot son and propaganda tv will spew you divisiveness. @FBI...see something, say something...shut this down before it spirals out of control at hand of white supremacist. Enough !
1108880963902201856 2019-03-21 19:59:58 -0400 <glacierwood> @JoeHowVen @eugenegu @realDonaldTrump Palestine refers to the West Bank of Israel and Gaza.
1108880961939345409 2019-03-21 19:59:57 -0400 <pmwilker> @CharlotteAlter @AOC This is one of the hottest, dumbest and most entitled takes on Twitter ever. And that's saying something considering @AOC and @realDonaldTrump both have Twitter accounts.
1108880961603862530 2019-03-21 19:59:57 -0400 <petro8972> @bridgieleela @realDonaldTrump PLEASE SPEAK OUT MORE....YOU RE HERE AND YOU HAVE FEEELINGS...WE WANT TO KNOW YOU MORE
1108880961096298496 2019-03-21 19:59:57 -0400 <magicmike118> @DonaldJTrumpJr @realDonaldTrump @TPUSA @charliekirk11 So you believe we need an executive order to buttress our constitution? Telling you now, I'm not visiting you when you are locked up and in jail.
1108880953689210886 2019-03-21 19:59:56 -0400 <Hipster_Trader> @realDonaldTrump is the DOW still rallying 2,000 on a trade deal? I’m confused. We’re up 250 the last week so is it more like 1,750 now? Thanks
1108880952392978433 2019-03-21 19:59:55 -0400 <JoyceBruns> @RepMarkMeadows @realDonaldTrump Great news! 🇺🇸🇮🇱 Israel is our only democratic ally and friend in the Middle East!  https://t.co/24oOCuAbPt
1108880951919198208 2019-03-21 19:59:55 -0400 <DMRSTL1969> @CristalHealer4U @smalltownandrew @realDonaldTrump @Ford Congratulations! Hillary won a game that nobodys playing.
1108880950845493248 2019-03-21 19:59:55 -0400 <PatriotLarryTx> @KamalaHarris That’s your state lady, full of leftist haters! @realDonaldTrump @RealJamesWoods @GOPChairwoman
1108880950795079680 2019-03-21 19:59:55 -0400 <GGMUTill_Dead> @tedlieu @realDonaldTrump ps @realDonaldTrump Maybe your cell will be just as lovely. Maybe Putin will put money on your books.
1108880950199353344 2019-03-21 19:59:55 -0400 <NormDePlume69> @VickieVaughan19 @GOP @realDonaldTrump You know you're just donating to the coffers ofa billionnaire and the legal funds for his billionnaire sons, right?   https://t.co/kTy5yD5tCs
1108880947410141186 2019-03-21 19:59:54 -0400 <giancarloqui1> @TomiLahren @realDonaldTrump Once again, a blow up doll is blowing air in an attempt to appear relevant.
1108880942192459776 2019-03-21 19:59:53 -0400 <IpsyRebel> @realDonaldTrump Asking, what kind of great healthcare are you speaking of, cause 2 years homie......NADA
1108880940174987264 2019-03-21 19:59:52 -0400 <67LuckyJim> @fingerflicka @Sunnistorm763 @burghertruth @mmpadellan @realDonaldTrump @seanhannity @FoxNews 🙌🙌🙌
1108880940024152064 2019-03-21 19:59:52 -0400 <LabelSoren> @HeyJudeMullen @realDonaldTrump Republicans think the first amendment protects them from consequences. It does not.
1108880939374051330 2019-03-21 19:59:52 -0400 <snork303> @straightleft @realDonaldTrump @VP Yup. I'm over here asking my MIL for a loan. Fun times.
1108880938652614656 2019-03-21 19:59:52 -0400 <gourmetusa> @Elegant01300503 @thehill @realDonaldTrump @POTUS I follow him and I’m DEFINITELY NOT a supporter. 🙄
1108880938241527808 2019-03-21 19:59:52 -0400 <Mclerk3> @realDonaldTrump  https://t.co/oK3r2TIJF0
1108880938170236928 2019-03-21 19:59:52 -0400 <ISpeak4Me_HBU> @DoctorFossor @j_gelling @RyanAFournier @DonaldJTrumpJr @realDonaldTrump @TPUSA @charliekirk11 Government funding means 1A applies to them
1108880937620856832 2019-03-21 19:59:52 -0400 <blackha46812341> @realDonaldTrump Pakistan has been doing USA dirty work. Only the reason that USA can not lose the Trust of Russia and  China
1108880937180385281 2019-03-21 19:59:52 -0400 <filmmusicgirl> @bpivr @RSmith1935 @realDonaldTrump 🙄
1108880934437183488 2019-03-21 19:59:51 -0400 <FarnhamRobert> @realDonaldTrump @WhiteHouse  https://t.co/vPWsI76B3F
1108880932415651840 2019-03-21 19:59:50 -0400 <garfield_paula> @krassenstein @TomiLahren @realDonaldTrump @AOC @realDonaldTrump only donated a quarter of his salary to #homeland security. So... $100,000?
1108880930461102080 2019-03-21 19:59:50 -0400 <FernandezTamey> @realDonaldTrump @KennedyNation Could you please stop calling people names! What's wrong with you?
