1162514374092869633 2019-08-16 19:59:59 -0400 <jmccoy11144> @realDonaldTrump @WhiteHouse I believe you mean Tim Apple.
1162514373186748417 2019-08-16 19:59:59 -0400 <Tbastis> @realDonaldTrump Yeah uh huh right gotcha
1162514373035749376 2019-08-16 19:59:59 -0400 <NastyWoman67> @realDonaldTrump If you were generous you would not be breaking the emoluments clause, so cut the bs. You have spent many times your salary in taxpayer money for golf weekends. You pocket that money spent by SS at your resorts. You also make lots from foreign diplomats staying at your hotels.
1162514372498903041 2019-08-16 19:59:59 -0400 <ArmyVetDS93> @gorskon @RudyGiuliani @realDonaldTrump 'When the debate is lost, slander becomes the tool of the losers.'
1162514371819368448 2019-08-16 19:59:59 -0400 <DigitalJeremiah> @1964Deplorable @GOP @realDonaldTrump Glutton for punishment.
1162514370997489665 2019-08-16 19:59:59 -0400 <Panosfrmgoranos> @GOP @realDonaldTrump Perfect  https://t.co/TNtHrGaekO
1162514369420451842 2019-08-16 19:59:58 -0400 <dgy51> @realDonaldTrump Well you should. It cost us more for your golf trips.
1162514369185370112 2019-08-16 19:59:58 -0400 <bruna_rett> @SenSchumer @realDonaldTrump Make America White Rich Again!
1162514368426381314 2019-08-16 19:59:58 -0400 <judds248> @parscale @TeamTrump @realDonaldTrump Thanks for this
1162514366119329793 2019-08-16 19:59:58 -0400 <k99nelson> @realDonaldTrump  https://t.co/RTYAnPyU2e
1162514365188333573 2019-08-16 19:59:57 -0400 <elgo610> @realDonaldTrump You mean Tim “ apple” ????
1162514364307521536 2019-08-16 19:59:57 -0400 <elusivecow> @cheesetreats @Airvooocht @realDonaldTrump Nah, he’s not smart enough for that role.  He’d screw that up, too.
1162514364286550016 2019-08-16 19:59:57 -0400 <Willdeblack> @realDonaldTrump So...they acted appropriately in lifting the ban and allowing her to visit her grandmother? Or they acted appropriately in banning her? Or maybe they realized they shouldn’t have read your tweet and acted on it?
1162514364160782337 2019-08-16 19:59:57 -0400 <HarmlessReply> @realDonaldTrump  https://t.co/jSYX1zrMSD
1162514364085211137 2019-08-16 19:59:57 -0400 <lchein1949> @realDonaldTrump you have to be kidding!!!
1162514362151477248 2019-08-16 19:59:57 -0400 <MartinW15209625> @realDonaldTrump You mean Tim Apple.....
1162514361639931904 2019-08-16 19:59:56 -0400 <seriouslysusan0> @frfrankpavone @realDonaldTrump You should inform yourself before speaking. You sound really ignorant. 💙
1162514360532721665 2019-08-16 19:59:56 -0400 <HassmoabHassan> @RudyGiuliani @realDonaldTrump  https://t.co/Nytaa4WsH2
1162514360255885312 2019-08-16 19:59:56 -0400 <cgsc519> @realDonaldTrump Your base doesn’t seem to travel internationally.  America has become a joke because of you. Less than 40% believe you. And that is dwindling. You’ve become boring.
1162514360041922561 2019-08-16 19:59:56 -0400 <JodyPearl1> @realDonaldTrump Us are looking forward to 2021 and a new POTUS, I mean, we are looking.
1162514359622492160 2019-08-16 19:59:56 -0400 <JimManu66055188> @Jenny12868 @realDonaldTrump Move to another country
1162514359437930498 2019-08-16 19:59:56 -0400 <JimClarey> @HeWobbles @BrianKarem @BoutrousTed @realDonaldTrump ...perhaps not using "tie him up" would #bebest. No need to provide a shiny object of distraction.
1162514358405959680 2019-08-16 19:59:56 -0400 <ALT_MyName> @realDonaldTrump No one cares but you and your rabid base.
1162514357340770304 2019-08-16 19:59:55 -0400 <lpipo2> @KFaulders Always degrading and putting people down. Is not like he @realDonaldTrump has a chiseled body. In fact,  he should lose a few. #trump
1162514357080776704 2019-08-16 19:59:55 -0400 <KimberleyInNash> @realDonaldTrump Tim Apple of Cook, you mean, amiright?
1162514356950712321 2019-08-16 19:59:55 -0400 <pushinon> @ginamarie4321 @RyanAFournier @realDonaldTrump 🤣
1162514354605944832 2019-08-16 19:59:55 -0400 <tennyson1842> @realDonaldTrump Being a dick isn't the same thing as "telling it like it is", Donny.
1162514354048290816 2019-08-16 19:59:55 -0400 <jewelstweeeets> @realDonaldTrump Please tell him we would like reasonably priced waterproof and shatterproof iPhones and iPads.  Thank you!   @Apple @POTUS @realDonaldTrump
1162514353213415424 2019-08-16 19:59:54 -0400 <Bettyco70087454> @joinjeremy @ericrchadwick @OkraskaRick @realDonaldTrump Plus he had Russain help
1162514353033285633 2019-08-16 19:59:54 -0400 <UBBULLS1> Question for @realDonaldTrump did these guys come in from Mexico or China?
1162514352231989249 2019-08-16 19:59:54 -0400 <StarrlynSnow> @realDonaldTrump You owe us 3x that much for your golf trips.
1162514352206991360 2019-08-16 19:59:54 -0400 <KyllonenRichard> @SenSchumer @realDonaldTrump Could you tell the truth for once
1162514351376523268 2019-08-16 19:59:54 -0400 <juway_riyyah> @Avi_Bueno @realDonaldTrump  https://t.co/IxNHLjeK0Y
1162514350806114304 2019-08-16 19:59:54 -0400 <ChrisZimmer1204> @realDonaldTrump You are a hateful excuse for a human being. Just stop !
1162514350650941442 2019-08-16 19:59:54 -0400 <JamieJaeTweets> @realDonaldTrump Laughable. That doesn’t even come close to the cost of 1 of your golf outings that taxpayers are footing the bill for. You do the math. How about keeping your salary and stop playing golf *every weekend* at one of your *own* clubs so Americans can then reimburse you? CON ARTIST.
1162514347014459394 2019-08-16 19:59:53 -0400 <LucyHarrizon> @GOP @realDonaldTrump I'm sorry, I don't like to watch Klan Rallies...
1162514345902792705 2019-08-16 19:59:53 -0400 <SeatacSoulMusic> @realDonaldTrump The market almost crashes, another shooter goes on a rampage. Instead of focusing on issues Americans are concerned about, you bully Women of Color. American is tired of a racist who used social media to spread hatred and continue attacks on POC. The Dems have diversity at least.
1162514345600925697 2019-08-16 19:59:53 -0400 <cathyAnnSmith2> @realDonaldTrump Your final nail for your election loss just happened with this BS.
1162514344984190977 2019-08-16 19:59:52 -0400 <KrisKoana> @realDonaldTrump Pat on the back, Mr. President. Except that we all know it is a drop in the bucket compared to all the $ you make by not keeping your business separate from your presidency.
1162514344795672577 2019-08-16 19:59:52 -0400 <StanBoyd9> @realDonaldTrump They are gorgeous people compared to you!
1162514343315030016 2019-08-16 19:59:52 -0400 <LLQuiz> @ClevelandVino23 @PaulaJo41820905 @realDonaldTrump I have never understood how any Jewish citizen could vote democrat. They have never treated Israel with respect...especially Obama!
1162514343310659586 2019-08-16 19:59:52 -0400 <_ChiefO_o> @McCubbinLaw @Sweven18Designs @chrgdup1973 @realDonaldTrump No way!?!😂 it still owes them too!?!😂😂😂that’s soo fucked😂😂😂
1162514342245490694 2019-08-16 19:59:52 -0400 <Bobsbaby4061> @Chrissttiiee @Frankystein702 @tonyposnanski @realDonaldTrump  https://t.co/ntvY3dbetX
1162514341645602816 2019-08-16 19:59:52 -0400 <Gunny_Says> @realDonaldTrump  https://t.co/3LYeiPsFrx
1162514341322788869 2019-08-16 19:59:52 -0400 <Bonnie48771718> @SenSchumer @realDonaldTrump BS
1162514341079506944 2019-08-16 19:59:52 -0400 <omg5657> @realDonaldTrump Yeah sure you do
1162514340836196352 2019-08-16 19:59:51 -0400 <IJefTomI> @realDonaldTrump They seem to also enjoy plenty of rent controlled space in your cerebral cortex.
1162514340089651201 2019-08-16 19:59:51 -0400 <PoliceClimate> @realDonaldTrump Mr trump can be the most beautiful person In the world, but if the president of the #1 carbón producer in the world doesn’t believe in what could cause the extinction of humans ,(climate change) then we are doomed
1162514339556986887 2019-08-16 19:59:51 -0400 <scrawfordpaul> @realDonaldTrump You got out-trumped.
1162514336662925313 2019-08-16 19:59:50 -0400 <CalceCalce> @zaswadosaze @realDonaldTrump Here's another one you can use. I love it. 😉  https://t.co/nPnB7imZHV
1162514336331571200 2019-08-16 19:59:50 -0400 <Steve76995229> @realDonaldTrump Was is Tim Apple cooking for dinner?
