1211436735437127680 2019-12-29 18:59:59 -0400 <ea_neil> @BCYOUNG67 @realDonaldTrump  https://t.co/269GORqXhB
1211436735063822336 2019-12-29 18:59:59 -0400 <L66Norm> @DaveFine4 @legiterati @marablackwolf @TheeWolfthing @DjibrilJibril @itsJeffTiedrich @realDonaldTrump Mr. Trump should have never been put in office
1211436732547239936 2019-12-29 18:59:59 -0400 <selosindis> @realDonaldTrump Impeached Donald Trump should spend less time whining on Twitter.
1211436730986815488 2019-12-29 18:59:58 -0400 <Wayne6052> @BluegrassPundit @RepSwalwell @realDonaldTrump @RudyGiuliani @jdforward Out of his lips again.
1211436728986341376 2019-12-29 18:59:58 -0400 <Al22838978> @DrekeLonghorn @itsJeffTiedrich @realDonaldTrump You sound like Putin
1211436728973713410 2019-12-29 18:59:58 -0400 <OttawaNewsToday> @CaslerNoel @realDonaldTrump America is part of Vladmir’s new “Soviet Union”.
1211436728478777351 2019-12-29 18:59:58 -0400 <TwistonPiper> They never really liked you buddy.... @realDonaldTrump  Christianity Today editor explains his decision to call for Trump's removal  https://t.co/EPHuvj1ypn
1211436727149031424 2019-12-29 18:59:57 -0400 <Lloydxkey> @realDonaldTrump  https://t.co/gXJF0q8Nd2
1211436723890270214 2019-12-29 18:59:57 -0400 <getthrutheday> @GOP @realDonaldTrump @senatemajldr  https://t.co/XZWVViwnmA
1211436723630161926 2019-12-29 18:59:56 -0400 <QuinnGaney> @AndrewFeinberg @inktomi544 @michaelcrowley @realDonaldTrump What about the church shooting in Texas, crickets
1211436721977667586 2019-12-29 18:59:56 -0400 <smdh_atloser45> @KathyWarnaar @RoLwillwin @GMSarli @realDonaldTrump He thinks her name is melanie.... so, I agree
1211436721780543488 2019-12-29 18:59:56 -0400 <ChuckAlexanderP> @mr_rocknroll66 @briantylercohen @realDonaldTrump LOL! You better either check who was in office, when your meds start to wear off! I can’t fix stupid like you are, but I will give you a quote: When they attack the person, as you did me, and cannot defend their  https://t.co/zOQrFtG12C is a sign of intellectual maturity! Bye!
1211436721612763136 2019-12-29 18:59:56 -0400 <trumpsanassh0le> @prettyboypete @realDonaldTrump Did you read the words “I got impeached”? So you’re saying that Trump’s an idiot because he doesn’t understand impeachment? Because that’s not what I’m saying. He knows he’s been impeached. How about @Jim_Jordan. Do you believe him?  https://t.co/yUIspmQY4n
1211436720106786818 2019-12-29 18:59:56 -0400 <peaty7523> @dvillella @realDonaldTrump He just wants votes, he’s not a Christian but hey pro baby, you think trump cares about babies?? More votes, I’ll bring coal!! Everyone cheering, then coal drains and no jobs... More votes- I’m gonna build a wall, bought by mexico, everyone’s hopping. Never happened. Even lies...
1211436715413397504 2019-12-29 18:59:55 -0400 <talosians_t> @Pravduh15 @realDonaldTrump It used to be “the art of the possible”, now it’s like recess with the knee-skin set. 😧
1211436715014946816 2019-12-29 18:59:54 -0400 <SandraPlanchar1> @farothaiwe @WhiteHouse @realDonaldTrump Guess you’re voting for our great President. The good he has done easily outweighs your debunked &amp; stupid stuff.
1211436710011256832 2019-12-29 18:59:53 -0400 <USABookClub> This is the rotten tree that is the #BidenCrimeFamily ...  As President @realDonaldTrump said, "#JoeBiden &amp; his son [#HunterBiden] are stone cold #crooked!"  And they've been that way for a long time.  #Corrupt #unAmerican #Democrat #Globalists   https://t.co/nqosWEmbQW
1211436709985964034 2019-12-29 18:59:53 -0400 <eldamon> @LindaWesson @DarleneATL @maualibar @PackersFavreFan @realDonaldTrump Oh no, we definitely need to get rid of trump. We need to vote the GOP out of the majority not out of existence.
1211436709101092864 2019-12-29 18:59:53 -0400 <plh_md> @realDonaldTrump He didn't write this, commas used correctly.
1211436708564217856 2019-12-29 18:59:53 -0400 <DMLNewsTeam> Hope @realDonaldTrump doesn’t promise these illegals amnesty! REPORT: Miami pastor hosting Trump pledges safety for his undocumented followers  https://t.co/zkxIwsHnkZ via @realden14435627
1211436704961314817 2019-12-29 18:59:52 -0400 <MagooActual> @MsPackyetti @realDonaldTrump You’re blaming Trump for a Black guy going to a Rabbi’s house and machete a bunch of people?
1211436704785207297 2019-12-29 18:59:52 -0400 <SarcasmChef> @Pablo_1791 @zhiraldo @cdheisel @warriordaisy @MattWesterhoff @rfr_hdb @Cordicon @realDonaldTrump That's the truth, the gave away a little more and a little more power and it trickeled into this phantom of independent states that it used to be.
1211436704210575363 2019-12-29 18:59:52 -0400 <Gemmaob040284> @realDonaldTrump @QAnon_Report @Qanon76 @Jordan_Sather_ @prayingmedic  https://t.co/LmQl0NMez4
1211436702549626881 2019-12-29 18:59:51 -0400 <inblue33> @realDonaldTrump This is why we need to keep our second amendment rights! No where is safe, not even a house of worship.
1211436701849128961 2019-12-29 18:59:51 -0400 <twinboy68042450> @steph93065 @Comey @realDonaldTrump The not-too-distant "history", too.
1211436701282910208 2019-12-29 18:59:51 -0400 <HelloDearVoid> @realDonaldTrump   Not my quote but wish it were:  ”No one would prevent a witness who could exonerate him from testifying.   Absolutely. No. One.”
1211436700024614912 2019-12-29 18:59:51 -0400 <TerriRoncone> @AlanStewart1969 @LizbethWheeler @sommermatter @JeffreyGuterman @itsJeffTiedrich @realDonaldTrump  https://t.co/SSUhYII1wU
1211436699877642240 2019-12-29 18:59:51 -0400 <shirleyann32> @SteveScalise @realDonaldTrump tratior  https://t.co/Okm4WFPUAZ
1211436699441610753 2019-12-29 18:59:51 -0400 <rebeccaj1111> @LindseyGrahamSC @SpeakerPelosi @realDonaldTrump Buh bye  https://t.co/fHty8qPX7o
1211436696044068867 2019-12-29 18:59:50 -0400 <2stopthelies> @Whizzygg @Tinapdx21 @Hoosiers1986 @Comey @realDonaldTrump But she won't listen for she is too brainwashed by the swamp and MSM. I just wonder...WHEN they DO finally see the truth, will they fall apart, or will they be mad as HELL for being lied to... as we are??? 🤔
1211436690751082497 2019-12-29 18:59:49 -0400 <chadewarner> @From_The_Porch @BarbMcQuade @EINS_Institute @realDonaldTrump WB's have no protection under the law from being outed. Only from being retaliated against.
1211436685034213378 2019-12-29 18:59:47 -0400 <OlifaNT> @WereldPijnCafe @Blanter23 @lepublicenemee @pufpufpafpaf @G_Pr_0D9 @buddendorf @shu_shushu17 @RogowskiBubba @Freeflipfr @Narada23S @BorealReee @HalcyonHomo @CZlice @bleyenhoeve @VonnyHoek @jvdzon @ManustheCaptain @pewe63 @semprescettica @azzkikr1975 @Lagendijk161 @Mooinique1 @FreeInHart @alleskannieuw @paulrikmans @cafeweltschmerz @VanLanschot @thierrybaudet @groenlinks @realDonaldTrump @ZyklonB @Buitenhoftv @ArnoWellens @the_lifeyouwant @Gem_Amersfoort @BAMGroep_NL @ABNAMRO @Het_OM @OmroepON @EWdeVlieger @Reedsverloren @Politie @PolitieUtrecht @PolitieDeBilt @POL_Akerboom @Boekhoorn @Glencore Ga zo snel mogelijk met je plasje naar de dokter vriend. Protip.
1211436682555396103 2019-12-29 18:59:47 -0400 <HotDealz2> @TheZytrate @colinmchardy1 @thelushlarry @realDonaldTrump Lol
1211436675596832768 2019-12-29 18:59:45 -0400 <DoctorOcto> @realDonaldTrump Who ghost-wrote this tweet for you?
1211436673617342469 2019-12-29 18:59:45 -0400 <the_thepianobar> @MatthewJshow @realDonaldTrump Don't forget the EU was in agreement on the Obama-Biden policy and action about Ukraine.  And they all were open about it. This one ... elections can be helped....
1211436673520807936 2019-12-29 18:59:45 -0400 <Alison_Armelin> @cafecomferri 52,55 @realDonaldTrump @Corinthians @SF_Moro
1211436673281798152 2019-12-29 18:59:44 -0400 <DaveFine4> @legiterati @L66Norm @marablackwolf @TheeWolfthing @DjibrilJibril @itsJeffTiedrich @realDonaldTrump I already said Trump was the solution and I don’t have time to sit here and go over everything that man has done but there’s many people on this site that you can look up easily and they will be more than happy to tell you everything
1211436672451112960 2019-12-29 18:59:44 -0400 <wopper999> @Room007ac @Rebecca_L_613 @RPM195 @mcmanusd @harris_rae @PT_OT_Subjectiv @RealBasedMAGA @realDonaldTrump Here is your quote “REally look at John McCain he was in on the Steele Dossier. Treason”  you say the documents are false then your excuse is false. You can’t say don’t believe this except for this one thing. This one thing is true but ignore the rest. the dossier is real right?
1211436669456531457 2019-12-29 18:59:44 -0400 <cljmo> @polipopmusic @realDonaldTrump #ImpeachedillegitimateTrump
1211436668550385666 2019-12-29 18:59:43 -0400 <WestTimor> 🇦🇺PM @ScottMorrisonMP 🇮🇩President @jokowi @Menlu_RI @MarisePayne @LuhutBinsar @LuhutPandjaitan @prabowo @lindareynoldswa "NTT People Demand Australia 15 Billion US Dollars in connection with this". (189) 🇦🇺🙏🏻 @realDonaldTrump   https://t.co/voqUSqeGSJ
1211436664809234432 2019-12-29 18:59:42 -0400 <Jayekanan> @realDonaldTrump Dude, you didn't write this.
1211436660656934912 2019-12-29 18:59:41 -0400 <Pjw20161951> @CryptoDJ1 @dbongino @realDonaldTrump @SenTedCruz @tedcruz @FoxNews @charliekirk11 @MsAvaArmstrong @NRA Thank God you and so many were spared     #GoodGuyWithAGun Praying for victims and all parishioners. 🙏🏻  https://t.co/5rbVPEHdbM
1211436659230806017 2019-12-29 18:59:41 -0400 <johngone654> @NTChristTrump @realDonaldTrump He hasn’t lied any more than any other politician (maybe even less), we’re winning this “trade war” that will help ALL Americans for decades to come, he’s forced our NATO allies to live up to their commitments to THEIR OWN SECURITY. Should I go on??
1211436658840809472 2019-12-29 18:59:41 -0400 <PAmerivan> @realDonaldTrump Took you long enough to comment but you could bash The speaker
1211436658714804224 2019-12-29 18:59:41 -0400 <LenoriDude> @realDonaldTrump It’s your country mate.  You have more power to influence what the people think and do than anybody and what you are doing is not helping.  Do something to bring people together you divisive fool.
