1195854055119183873 2019-11-16 18:59:59 -0400 <GalinisGail> @Concerned194567 @tomiahonen @realDonaldTrump I definitely agree.
1195854050916536321 2019-11-16 18:59:58 -0400 <ConcreteGirlDr1> @RJFerryJr @MarkDice @realDonaldTrump Clinton got one Bj one lie was impeached by hypocrite REPUGS who will lose every seat that's up blue wave is coming
1195854049062473728 2019-11-16 18:59:57 -0400 <sammonford> @guardian @HuffPost @nytimesworld @BBCWorld @CNN @washingtonpost @DeutscheWelle @Reuters @Channel4News @PBS @abcnews @SBSNews @AlJazeera_World @FoxNews  And @realDonaldTrump says Clinton emails were a breach of security!
1195854047250546689 2019-11-16 18:59:57 -0400 <jtgray1983> @Collins33 @WynGalbraith @Faith18Shields @NewYorkCityGuns @IsrealReality @glamelegance @rethe125 @realDonaldTrump @cspan Witness intimidation isn’t only about the witness being intimidated, but about future possible witnesses who may wish to avoid being targeted. This is a reason it’s illegal, regardless of whether it’s “live tweeting” or not
1195854043085778944 2019-11-16 18:59:56 -0400 <drbeno> @realDonaldTrump
1195854042401886208 2019-11-16 18:59:56 -0400 <ldybug5012> @EliseStefanik @realDonaldTrump You really need to rename the Republican Party, the #Traitors . You've all sold your souls to trump, &amp; for what? We're all of you really this corrupt, greedy, &amp; ready to trash the Constitution before putin installed him as Pres. or are you all afraid of being called names by him?
1195854041961488384 2019-11-16 18:59:56 -0400 <Raymond91842161> @realDonaldTrump @EddieRispone Bashing Trump does not make anyone anything, just make them look stupid!
1195854039474417665 2019-11-16 18:59:55 -0400 <Mosthonestone> @realDonaldTrump When is Schiff and senile Pelosi going to go to jail for treason?! We, the American people, are tired of Pelosi trying to take you down so she can be President. First she had Schumer and now it's Schiff!! Of course Schiff wants her to be President so him and Soros can run America
1195854038962708482 2019-11-16 18:59:55 -0400 <DanKostecki> Watch: Fox host calls Trump a "big dumb baby" for attacking Marie Yovanovich during impeachment hearings #PutinsLoyalStaff #StableGenius #25thAdmendment @realDonaldTrump #dementia #PutinsGOP #MoscowMitch #ghouliani #PenceKnew #TRE45ON #RepBost  https://t.co/zJUqIXFCK6
1195854038790791168 2019-11-16 18:59:55 -0400 <SusanMills158> @realDonaldTrump Another blowhard
1195854037603762178 2019-11-16 18:59:55 -0400 <VeritasVital> @TyrannisCave @Angel5Christine @MAGAMedium2 @realDonaldTrump @colgrove11 @JENsen4Truth @mwam1993 @anonforq @GunnySnark @RampTheresa @sunnydazical Number stuff  https://t.co/IJdoebx5Pg
