1114316788152643584 2019-04-05 19:59:59 -0400 <agita513> @steve_barcelona @Scavino45 @realDonaldTrump Don't worry snowflake. Only 6 more years.
1114316787305406469 2019-04-05 19:59:59 -0400 <dawnslight91> @skolanach @realDonaldTrump Li a r
1114316784692129793 2019-04-05 19:59:59 -0400 <Lobopdx> @realDonaldTrump Jenny Lisette Flores
1114316783123562496 2019-04-05 19:59:58 -0400 <andyhorgen> @realDonaldTrump  https://t.co/XIel0vTpq8
1114316782280556544 2019-04-05 19:59:58 -0400 <TIMOTHYETHERID4> @realDonaldTrump hey Mr Donald j Trump how are you Mr President
1114316782209241088 2019-04-05 19:59:58 -0400 <upherclasstwit> @MusicStuffnMore @ajpbo @steph93065 @realDonaldTrump You don't even generate enough Revenue within the state to cover all the costs of every program you provide which is why the federal government supplies you with nearly three-quarters of a billion dollars a year just to cover those services
1114316781252825088 2019-04-05 19:59:58 -0400 <JessicaRBerggr1> @Scavino45 @realDonaldTrump Brainwashed.
1114316778463797248 2019-04-05 19:59:57 -0400 <TravNoff> @PattiGMcFarland @MarkDice @realDonaldTrump @DonaldJTrumpJr These are examples**...c'mon now Patti
1114316775838109697 2019-04-05 19:59:57 -0400 <julielarson1> @VP @realDonaldTrump is not a legitimate President. That doesn’t seem to bother you, Mikey
1114316775494180866 2019-04-05 19:59:56 -0400 <614lawyerguy> @markmobility @Popehat @realDonaldTrump Surely this will lead to mass condemnation and resignations.
1114316774504304642 2019-04-05 19:59:56 -0400 <teddy3885> @WhiteHouse @realDonaldTrump Judge Flores?  https://t.co/6SrLwclD1n
1114316769026400256 2019-04-05 19:59:55 -0400 <BobFarmer9319> @UROCKlive1 @realDonaldTrump Yes that was messed up
1114316765113221120 2019-04-05 19:59:54 -0400 <Pyromitus> @NYMag Yup, the man has a set of balls, unlike most of our government.  God bless, @realDonaldTrump
1114316762575560705 2019-04-05 19:59:53 -0400 <JamesLWray11> @realDonaldTrump What part of the wall have you created that was not created by a previous prsident? You can't answer that,can yoiu?
1114316762386923520 2019-04-05 19:59:53 -0400 <KrayzyKathy> @Fahrenthold @realDonaldTrump #shiftygrifter
1114316760998715392 2019-04-05 19:59:53 -0400 <edsonjmartinez> @NMorenolibertad @Villca_FDEZ @gabyarellanoVE @karimveras @VoluntariosxVe @marcorubio @SecPompeo @realDonaldTrump @jguaido @Javierito321 @LucioQuincioC @ADRIANAAZZIAS @soldadoDfranela @ConclusionesCNN @JoseColinaP @soldadoDfranela @miguelhotero
1114316760440815616 2019-04-05 19:59:53 -0400 <ScottMcLeod_NM> @StephByram @one_psych @realDennisLynch @realDonaldTrump Best economy in yesrs
1114316754853998592 2019-04-05 19:59:52 -0400 <FredFriendly7> @RobertCooper58 @joncoopertweets I wonder if his previous statements will have any impact on the judges when it inevitably gets to the courts. @realDonaldTrump    https://t.co/0HebbrI7VV
1114316754476515328 2019-04-05 19:59:51 -0400 <CGoelling> @RealOmarNavarro @realDonaldTrump  https://t.co/oBQXm83bZ0
1114316754329710595 2019-04-05 19:59:51 -0400 <oscarmom355> @PlainsBelle02 @Haegster @brianklaas @realDonaldTrump You might want to just check out
1114316754304602113 2019-04-05 19:59:51 -0400 <NatWednesday> @realDonaldTrump Good lord these are scary times.
1114316751762862082 2019-04-05 19:59:51 -0400 <EmdadulEmdadu7> @realDonaldTrump If you really think of me
1114316749611118603 2019-04-05 19:59:50 -0400 <slad_safety> @realDonaldTrump @POTUS  https://t.co/cWP0ra95UI
1114316748709195777 2019-04-05 19:59:50 -0400 <4ArTess12> @realDonaldTrump "Bill Clinton created the most number of jobs during his two terms. He added 18.6 million, a 15.6 percent increase." - the balance
1114316746431901696 2019-04-05 19:59:50 -0400 <ShayTheGemini22> @ChatByCC @realDonaldTrump Can someone hide this lady's life alert please? When she falls its best for nature to take its course.
1114316745551097856 2019-04-05 19:59:49 -0400 <TonyBrunoShow> @MordecaiCJones @Caspappas @Alpha_Omega_Yah @POTUS @realDonaldTrump @DonaldJTrumpJr @EricTrump @IvankaTrump @parscale @Scavino45 @johnandkenshow @charliekirk11 @TheThomasGuide @RealJamesWoods @FLOTUS @RealCandaceO @TimRunsHisMouth doesn't matter. Many will be triggered
1114316745060298753 2019-04-05 19:59:49 -0400 <wbc2027> @SocialPowerOne1 .@realDonaldTrump That's code for "White men will be in the minority" All I have to say is change is good!! Bye bye Tuck!!! #BlueWave2020  #ReleaseTheFullMuellerReport
1114316743814594560 2019-04-05 19:59:49 -0400 <1Tblair> @Scavino45 @realDonaldTrump More nazi propaganda techniques, from our Individual-1 in Chief... How many millions are we shelling out, for an afternoon, of photo ops... Your posing with a renovated section, planned by Obama... Did you catch up on all their back pay, after your shutdown? Where's your plaque?
1114316743244156930 2019-04-05 19:59:49 -0400 <mysticmaverick> @JoyceWhiteVance @realDonaldTrump was referring to M-13 gang members and other criminals illegally crossing the US border, not all illegal crossers. You’re either uninformed or misrepresenting what he said.
1114316742501658627 2019-04-05 19:59:49 -0400 <erraggy> @realDonaldTrump Aww fuck
1114316740488454144 2019-04-05 19:59:48 -0400 <aarjjf> @realDonaldTrump Damn it's too bad nobody told Trump about that rivulet of drool meandering down his sweaty looking chin.
