865356323881443328 2017-05-18 19:59:59 -0400 <cdoyle222> @realDonaldTrump Release your tax returns con man
865356323587850240 2017-05-18 19:59:59 -0400 <seitoshitoryu> @TBrianMalone @realDonaldTrump @CNN @joy State Department donyour job! Can't let them come to America &amp; beat up Americans. Trump invited him here! Shameful
865356321499082754 2017-05-18 19:59:59 -0400 <JacobBerendes> @realDonaldTrump You have a short memory and a small mind. #factsmatter
865356317988458496 2017-05-18 19:59:58 -0400 <CassJSpring> @fractiousvoice @bsw0000000 @Roscommon_Cat @steveplace @realDonaldTrump trump has already  said that journalists that say  negative things about him should be jailed.
865356317443149824 2017-05-18 19:59:58 -0400 <DickiePena> @realDonaldTrump Donald, it must have been difficult. Everyone is talking about how his English is better than yours. #trumprussia #TheResistance
865356316306415616 2017-05-18 19:59:58 -0400 <13justjack> @realDonaldTrump Shut up already.
865356313617879040 2017-05-18 19:59:57 -0400 <nicoletyau> An interesting look into #Comey's history with @realDonaldTrump  https://t.co/H5PhyAaOrL
865356313542492160 2017-05-18 19:59:57 -0400 <sarahappelhans> Way to protect your people, asshole. @realDonaldTrump about to throw his whole staff under the bus to protect his own ego.  https://t.co/E42UTouJeP
865356313403981828 2017-05-18 19:59:57 -0400 <JeffOtherJeff> @miller21411988 @PrisonPlanet @IRISHHEAVYT @realDonaldTrump No way!!  BREAKING: Did Hillary and Comey collude to take down Trump! Created the #witchhunt and Trump is fuming  https://t.co/ijrcGcFZ3g
865356312502300672 2017-05-18 19:59:57 -0400 <ellel2002> @StPaul92266071 @_ClaireConnelly @realDonaldTrump GTFOH with that bullshit. SMH.
865356309285134336 2017-05-18 19:59:56 -0400 <WoodsSallyjo> @realDonaldTrump So do we get to open up crooked Hillarys crimes let's start with white water. And what crime.what evidence more waste of fed $ sickem
865356307171352576 2017-05-18 19:59:55 -0400 <LaceyVoteDem> @icterid @RVAwonk @realDonaldTrump Yes. We are fighting for our country &amp; everything we are as Americans. #TrumpRussia #ImpeachTrump
865356305703116800 2017-05-18 19:59:55 -0400 <Narney_Boo> @DineshDSouza @ManMountain78 @foxandfriends @realDonaldTrump Don't hold anything back.
865356304164016129 2017-05-18 19:59:55 -0400 <PBuchalla> @futbolking10 @tomcoates @turco_ricky @realDonaldTrump The FBI will be at my door ,soon, to raid my shit🤣🤣🤣🤣
