913191521750482944 2017-09-27 19:59:59 -0400 <NancyR1010> @stevenmnuchin1 @realDonaldTrump @POTUS Great Speech?
913191519858896896 2017-09-27 19:59:59 -0400 <WellsFargoShark> @realDonaldTrump @sme4201968 I do not tune in at all anymore I just read it on twitter as long as they #TakeAknee I will #boycottNFLnba #StandAtOurAnthem #ProudAmerican
913191519087099904 2017-09-27 19:59:59 -0400 <USA4EVERBless> @r_little_finger @realDonaldTrump @JimIrsay Patriotism my ass. This is just pathetic
913191516687933440 2017-09-27 19:59:58 -0400 <bfconnors> @realDonaldTrump @nytimes @wapo President is losing it. Must be result of backing loser in Alabama. LOSER
913191515798695936 2017-09-27 19:59:58 -0400 <ellenspencer03> @maggieNYT @realDonaldTrump   Trumpy, didnt u promise to DRAIN the Swamp, not BUILD it???   Another failed promise..
913191515714936832 2017-09-27 19:59:58 -0400 <fisherofmen_1> @realDonaldTrump Very soon, I'm sure, Robert Mueller will completely clean out the SWAMP 👏👏👏
913191510874710021 2017-09-27 19:59:57 -0400 <adamgorvin> @PFTCommenter @realDonaldTrump makes u think
913191510190940160 2017-09-27 19:59:56 -0400 <erecasner> Hey @realDonaldTrump,  Your United States Secretary of Health Tom Price in your words needs to "BE FIRED"!
913191509255536640 2017-09-27 19:59:56 -0400 <WilliamDougan53> @realDonaldTrump If you want to sell your tax cuts, then produce your tax returns to assure America this isn't about you (again).
913191509037666305 2017-09-27 19:59:56 -0400 <Antwanj3000> @realDonaldTrump Fuck your thoughts worry about protect our country you fucking cunt
913191505870901249 2017-09-27 19:59:55 -0400 <bandphan> @chelseahandler @realDonaldTrump Not until we get a "who's behind door number 1" father announcement
913191504209862656 2017-09-27 19:59:55 -0400 <TheHighLifeGame> Use our massive military for humanitarian efforts! #Navy @realDonaldTrump  https://t.co/xsw6PQfUsR( #OneLove  https://t.co/jwq9u8hQUg
913191503945699330 2017-09-27 19:59:55 -0400 <lobotomytweets> @realDonaldTumpr @realDonaldTrump We already are wealthy. The true problem is wealth distribution &amp; income inequality,  your tax cut for the Rich is going to make it worse.
913191503345983488 2017-09-27 19:59:55 -0400 <jdl928> @realDonaldTrump 4 trillion$ from federal budget in a tax break for the wealthy us winning how for the 99%?
913191499734667264 2017-09-27 19:59:54 -0400 <wrtrmike> @eugenegu @Bryson_M @realDonaldTrump I believe his point was that the gentleman was from Jamaica rather than black..
913191498086326272 2017-09-27 19:59:54 -0400 <Doorcow> Because @realDonaldTrump wants him to have a security clearance!  Our nation depends on it!  https://t.co/p1YIQwtPhP
913191497482293248 2017-09-27 19:59:53 -0400 <richnear> @realDonaldTrump @GOP See, we know what you're planning. Can't wait to see how you try to prove it ain't TrickleDown fraud all over again.  https://t.co/hAtUa0fdOh
913191497230700549 2017-09-27 19:59:53 -0400 <FeltsBrook> @realDonaldTrump @VP #TrumpHelpPuertoRicoNOW
913191496811151365 2017-09-27 19:59:53 -0400 <djonzspeaks> @pastormarkburns @pastormarkburns @realDonaldTrump  https://t.co/DPw1dVkO9k
913191495812792320 2017-09-27 19:59:53 -0400 <WatsJo> @red_delphinium @PRESlDENTBANNON @YgageG @realDonaldTrump I still call him a twit daily! I just don't follow him:)
913191492818292736 2017-09-27 19:59:52 -0400 <kathyand37> @Impeach_D_Trump @BreakingDTrump @realDonaldTrump Trump is brilliant. Stop watching fake news and become informed
913191492566618112 2017-09-27 19:59:52 -0400 <evanscphoto> @realDonaldTrump   https://t.co/jD6OLZ5gcX
913191492285591555 2017-09-27 19:59:52 -0400 <CacheJewels> @realDonaldTrump I WANT TO SEE YOUR TAX RETURNS!! HOW MUCH MONEY YOU GETTING FROM THE "TAX BREAKS" THAT ME AND MY KIND WILL NEVER FLIPPIN SEE.
913191492272967680 2017-09-27 19:59:52 -0400 <AkrosBooks> @realDonaldTrump How does this affect your taxes? Oh, that's right. We'll never know because you HAVE NOT RELEASED YOUR TAXES!
913191491882901504 2017-09-27 19:59:52 -0400 <jerima_king> .@realDonaldTrump we're not falling for your lies about the GOP tax "plan." We demand #NotOnePenny in tax cuts for the rich!
913191491044028416 2017-09-27 19:59:52 -0400 <BridgetteProvo2> @realDonaldTrump You are brave as heck and we got your 6 PTrump 💖 Please make Sessions resign. He's not a friend of Lady Justice.  Trump2020
913191485662572544 2017-09-27 19:59:51 -0400 <Ismael87777098> @realDonaldTrump Ok so then send help bro
913191485633388544 2017-09-27 19:59:51 -0400 <seasweetie62> @realDonaldTrump That's a lie. It's only good for you and your loyal wealthy cronies.
913191485591425029 2017-09-27 19:59:51 -0400 <SmallHandsDon> @realDonaldTrump @POTUS Disclose your tax returns.
913191484287012864 2017-09-27 19:59:50 -0400 <JoeJane13> @realDonaldTrump Is this English? Good lord
913191484014366720 2017-09-27 19:59:50 -0400 <Hermetiaillucen> @realDonaldTrump One family? Your definition? Kiss the ring?
913191481698955264 2017-09-27 19:59:50 -0400 <biglincj> Get that son of a bitch out of the White House. Like that, @realDonaldTrump ?
913191480243535872 2017-09-27 19:59:49 -0400 <travel5762> @realDonaldTrump You and Your Family and the Other Billionaires Will Be The ONLY One's that will make out with Your Tax Cut For The Rich!
913191480038215680 2017-09-27 19:59:49 -0400 <TrumpsterFire13> @realDonaldTrump  https://t.co/DsjUdlUQrK
913191479392137216 2017-09-27 19:59:49 -0400 <TIG_Asia> @savagel1101 @ColumbiaBugle @realDonaldTrump Hoping to get back to that pre (Civil) war state of happiness.
913191475680354304 2017-09-27 19:59:48 -0400 <JodyBernier> @realDonaldTrump How much is this pep rally cost the taxpayers?
913191473314766848 2017-09-27 19:59:48 -0400 <michaeladamsfla> @realDonaldTrump This is a scam of the middle class mr. Drumpf. Don’t even try it.
913191472559730689 2017-09-27 19:59:47 -0400 <PierreDelectoCM> @realDonaldTrump We ain't doing shit together, you sick orange monster.  https://t.co/MiAzXPz7U4
913191469816655873 2017-09-27 19:59:47 -0400 <KCommenter> @realDonaldTrump Save some time and add this to your list of failures now.
913191468667408390 2017-09-27 19:59:47 -0400 <Deb0254Fink> @realDonaldTrump I think you mean the tax system you want and think you deserve.
913191468411576320 2017-09-27 19:59:47 -0400 <TheKrothRoads> @realDonaldTrump Were you a good boy today?  Did they let you fly over the track and see the racey cars?
913191467941748736 2017-09-27 19:59:46 -0400 <JerryLingle> ATTENTION GOP  You mother could have been on a trip to PUERTO RICO  Sorry, @realDonaldTrump allowed her to DIE  YOU are COMPLICIT
913191466851123200 2017-09-27 19:59:46 -0400 <Goducks95> @WhiteHouse Let's his taxes to see who @realDonaldTrump really put first.
913191466586972160 2017-09-27 19:59:46 -0400 <LiberatedCit> @PoliticalShort @FAIRImmigration #TaxReform #NoDreamAct Just a reminder @realDonaldTrump you said Illegal Aliens have to go WE WANT THEM GONE #NoAmnesty #NoDACA  https://t.co/YiTaLchAK1
913191466482257923 2017-09-27 19:59:46 -0400 <docohm47> @AngelaBelcamino @Impeach_D_Trump @BreakingDTrump @realDonaldTrump What I like is you can no longer write off what you pay in state taxes.  What that means is the rich will leave liberal bastions like NY&amp;CA.
913191465995694080 2017-09-27 19:59:46 -0400 <TittyHawkDD> Bum bitch @realDonaldTrump
913191465119084544 2017-09-27 19:59:46 -0400 <PotatoSeeds> @LovesOfRiley @DaniLynnWedding @rolfmunk @realDonaldTumpr @realDonaldTrump Bc I will tell you right now if you're siding with this guy, GL, B/c the majority of Americans have HAD it with our taxes being exploited..
913191464972226561 2017-09-27 19:59:46 -0400 <anthonystyles92> Soooo mister President shit stain @realDonaldTrump what r u doing to help Puerto Rico? Stop fighting stupid shit and start helping others!
913191464779309056 2017-09-27 19:59:46 -0400 <NinjaMcMuffins> @realDonaldTrump Take care of your rich butt buddies.#Dotard
913191464175316992 2017-09-27 19:59:45 -0400 <LauraVanVleet> @RepDanKildee @realDonaldTrump I'd try a RT if you think Trump should resign. Tax returns are already being looked at by Mueller. &amp; we know what's in those taxes.
913191463864979456 2017-09-27 19:59:45 -0400 <DoubleHP> @realDonaldTrump Do you not read these comments? NO TO THE TAX CUT!
913191463202250752 2017-09-27 19:59:45 -0400 <akbussey> @stevenmnuchin1 @GOP @realDonaldTrump @POTUS So the original code written by the all mighty Reagan is not worthy?
913191463185469441 2017-09-27 19:59:45 -0400 <Looti52> @JacobAWohl @realDonaldTrump @nytimes @wapo Because Russians want to #MAGA for them you dummy Jacob!
913191462866579457 2017-09-27 19:59:45 -0400 <thehustler67> @mandystlpd @realDonaldTrump @POTUS @marianorajoy Either or same fucking thing sweetheart
913191462858366976 2017-09-27 19:59:45 -0400 <PGAllen_AR> @realDonaldTrump Liar
913191462468247553 2017-09-27 19:59:45 -0400 <JCP069> @realDonaldTrump How about you paying taxes?
913191462237597697 2017-09-27 19:59:45 -0400 <UrsulaSllim7501> @StandUpSpeakOu_ @foxnewspolitics @realDonaldTrump @michellemalkin That's funny because they all say they are. Just listen to the players stories. And I never said ALL. That's what you liberals hear.
913191461423808513 2017-09-27 19:59:45 -0400 <JStandsForJack1> @realDonaldTrump How is a 2% INCREASE for the lowest tax bracket a cut??   #TrumpMath
913191459297177600 2017-09-27 19:59:44 -0400 <countdante67> @realDonaldTrump Puerto Rico much? People are dying you ass!
913191459276369920 2017-09-27 19:59:44 -0400 <mamazen123> @thehill Why not take the private jets that Price used 26 times to take supplies to Puerto Rico., @realDonaldTrump
913191458550829056 2017-09-27 19:59:44 -0400 <Jimlamar3> @eugenegu @AliCologne @realDonaldTrump Why and no body cares!
