1204913754137415680 2019-12-11 18:59:59 -0400 <RollinsLynda> @cbaileyretired @realDonaldTrump YES)))))
1204913752652550144 2019-12-11 18:59:59 -0400 <JSernyk> @parscale @realDonaldTrump Wrong, FBI needs to immediately investigate Ivanka Trump, Jared Kushner for for their corrupt and conflict of interests. Expose the corruption of the crime family in the Whitehouse. #TrumpCrimeFamilyForPrison
1204913751704522752 2019-12-11 18:59:59 -0400 <mytk56> @RAStine @SFamiano @parscale @realDonaldTrump Trump will never come to California for one of his rallies.  He knows that the protesters would outnumber MAGAts by 20 to 1.
1204913750958125056 2019-12-11 18:59:59 -0400 <Sav0ySix> @RandPaul @realDonaldTrump Trump needs to testify under oath. He's innocent, he has nothing to worry about.
1204913750337359875 2019-12-11 18:59:58 -0400 <LisaLivesLoves> @robertjeffress @realDonaldTrump @WhiteHouse How can I watch it?  https://t.co/YZbAypQ9uA
1204913749473341440 2019-12-11 18:59:58 -0400 <JeffKimchijones> @realDonaldTrump Poor Lloyd just lost, you should just shhhhh and maybe your candidates would win, but time and time again you prove to be a cancer on this great country and world! #shhh #crook #TrumpCrimeSyndicate
1204913748894507008 2019-12-11 18:59:58 -0400 <Paul15965153> @realDonaldTrump Your're endorsement means he will lose  Always ends up that way
1204913748315688961 2019-12-11 18:59:58 -0400 <Pete05992895> @WhiteHouse @realDonaldTrump Is he planning on using cosmonauts?
1204913748227395584 2019-12-11 18:59:58 -0400 <LesQ14> @vince_patricia @TheClearCider @realDonaldTrump My opinion of you has just been formed. If you can't comment decently it would be prudent to keep quiet! Sorry, eh!
1204913746629595137 2019-12-11 18:59:58 -0400 <COSMO998> @realDonaldTrump i dont care what anyone has said, God got you in office for a Reason!!! Stay safe on your Campaign!!! And warm, it's so cold!!!
1204913742225592320 2019-12-11 18:59:57 -0400 <HAMPTONETTE> @realDonaldTrump why not show up to root him on so he can lose like everyone else did you went to lol - get packing asap, it's prison you'll be going - you are sooooo not worthy to be in the WH and take that family of yours with you!  Not one was supposed to get security clearances!
1204913740526669824 2019-12-11 18:59:56 -0400 <AngelMcCann11> @SenTedCruz @realDonaldTrump You are one of Trump’s paid men.
1204913740031938565 2019-12-11 18:59:56 -0400 <GiantRedSwarm> @realDonaldTrump Every one of them should be in jail by now! Go get them now! MAGA and KAG!
1204913739004178432 2019-12-11 18:59:56 -0400 <sxycaligirl69> @realDonaldTrump  https://t.co/yA0cMQTJHk
1204913738039488517 2019-12-11 18:59:56 -0400 <DMan06741365> @parscale @realDonaldTrump Never in the history of the world has so many citizens of a country been so misguided that they pledge allegiance to one man who wouldn't think twice to betray them.
1204913737565642752 2019-12-11 18:59:55 -0400 <LisaDangelo45> @Catholic43 @realDonaldTrump I believe it's "your" not you're lol....good God!!  You, the single issue voter is what's ruining this country!  Your religion shouldn't be in OUR politics/policy!
1204913735481151491 2019-12-11 18:59:55 -0400 <Jmendoza201070> @realDonaldTrump are you ready to be impeached an go to prison,see ya wouldn’t want to be ya,this our country, an your not above the law!!!!
1204913734973571072 2019-12-11 18:59:55 -0400 <DavidMi55155793> @realDonaldTrump Mr. President, as a life long Democrat, I am offering you my FULL and complete support......  For your resignation.  Make it all go away.
1204913733459496961 2019-12-11 18:59:54 -0400 <ClaraZietta> @realDonaldTrump Bye Lloyd nice knowing you.   Was that Smucker or Sucker ????
1204913732943433728 2019-12-11 18:59:54 -0400 <leyeuthi> @Shiin_RAMu @kat_cujo @CodyOBr1212 @chrisro34646397 @CharlesE0925 @real_defender @realDonaldTrump Trump 2020
1204913730657673221 2019-12-11 18:59:54 -0400 <TClyne2> @realDonaldTrump I urge every American to watch Lindsey Graham's opening statement. It is an excellent summary of shocking misfeasance that was going on at the FBI under Comey and McCabe. It seems there were/are a lot of people working their that thought they were way more powerful than they were
1204913727948107776 2019-12-11 18:59:53 -0400 <CyanRanter> @charliekirk11 @realDonaldTrump “How dare you!?” 😖
1204913725192515586 2019-12-11 18:59:52 -0400 <swttyttzs> @GeraldoRivera @realDonaldTrump To bad it hasn't worked...
1204913724034887680 2019-12-11 18:59:52 -0400 <Interleave> @DebbraT @parscale @realDonaldTrump Ya, having that many people in one place who think that people who don't support Trump are the enemy is truly frightening for our nation
1204913721392263168 2019-12-11 18:59:52 -0400 <DavidField15> @realDonaldTrump The white house administration in amerikkka is fake, and in all cases, totally corrupt
1204913721358897152 2019-12-11 18:59:52 -0400 <codewordbanana> @eugenegu @realDonaldTrump That's not what he said.  He said the predication, when it comes the the FBI, had an extremely low threshold and was met for about 10 days.   The cia's actions created this predication.   You know... Who signs your checks?
1204913720205479943 2019-12-11 18:59:51 -0400 <remotolapacho> @Canada64617821 @MooseMan1956 @GeorgeHampton23 @Warriors4Trump @realDonaldTrump  https://t.co/ITZDx23HgW
1204913717885825024 2019-12-11 18:59:51 -0400 <airforcepam> @realDonaldTrump most likely giving away Whatever gov secrets he can remember
1204913717755961344 2019-12-11 18:59:51 -0400 <SylvanusBCorey> @parscale @realDonaldTrump At least we know where all the pro-Putin supporters were last night.
1204913717130825728 2019-12-11 18:59:51 -0400 <drewgrey> @RandPaul @realDonaldTrump #DitchMitch
1204913716141051905 2019-12-11 18:59:50 -0400 <JohnSherrel> @Mr_JoeWhite @Jojeification @opv_research @NoWay7790 @realDonaldTrump What courtroom was that held in.
1204913714303926272 2019-12-11 18:59:50 -0400 <LimburgGarth> @sltrib @RepJohnCurtis Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presidential hopefuls. Folks know what's going on. Elites commentators must understand heartland not buying into their shrill, hyper-partisan, attempted overthrow.
1204913713607774208 2019-12-11 18:59:50 -0400 <AmandaJC808> @realDonaldTrump  https://t.co/QVRNnFVUoT
1204913705508626432 2019-12-11 18:59:48 -0400 <thompson_gerry> @parscale @realDonaldTrump  https://t.co/5q1uXD1uDh
1204913705466642438 2019-12-11 18:59:48 -0400 <80kz1000e2> @darleneturner53 @realDonaldTrump @SenTedCruz Are all tree huggers as angry as little #GretaThunberg
1204913704199970816 2019-12-11 18:59:47 -0400 <acroperr> @Hiedi44 @DianeFields1997 @GOPChairwoman @LindseyGrahamSC @realDonaldTrump You seem nice.
