1103807538783551488 2019-03-07 18:59:59 -0400 <astigmafocus> @realDonaldTrump @FoxNews Um, @FoxNews = #FakeNews , so....
1103807537860698112 2019-03-07 18:59:59 -0400 <Anna_63> @limixn321 @JeffreyGuterman @realDonaldTrump @MSNBC It’s fake if it tells the truth, if it doesn’t praise him. It’s fake if they ask questions he doesn’t want to answer &amp; if they try to keep him accountable.
1103807537726586880 2019-03-07 18:59:59 -0400 <SabriyLeo> @realDonaldTrump @SecPompeo @AmbJohnBolton @VP @marcorubio  Most of Venezuela has been without electricity for hours. Imagine the amount of people that are suffering and many will loose their lives. And you still want to impose more sanctions? Unbelievable! MILITARY ACTION NOW!!!
1103807535813820416 2019-03-07 18:59:58 -0400 <MississippiLost> @realDonaldTrump really should not be “creating policy” by personal vendetta!
1103807535465840640 2019-03-07 18:59:58 -0400 <JohnAllison> @ColMorrisDavis @realDonaldTrump I hope there are other charges to come. Four years seams pretty low for what he did.
1103807533326589958 2019-03-07 18:59:58 -0400 <abracadebra428> @realDonaldTrump @MSNBC Haha. Now this you don't call fake news.@MSNBC
1103807531640602625 2019-03-07 18:59:57 -0400 <chris06105992> @realDonaldTrump You got the wall now move on to your next project.
1103807529539260416 2019-03-07 18:59:57 -0400 <ElenaRi69100882> @realDonaldTrump I know 2 Hispanic girls doing my nails at the nail salon told me they have been raped crossing the boarder!!! That’s a real tragedy!!!  Hispanic woman for Trump!!! Build the wall!  MAGA❤️🇺🇸
1103807522522095617 2019-03-07 18:59:55 -0400 <tommygun264> @ChatByCC @realDonaldTrump @MSNBC #TrumpKKKin #dupes love to make broad accusations, but when asked for specifics and verifiable facts to back up their allegations thery change the subject then run away. Why is that?
1103807520982867973 2019-03-07 18:59:55 -0400 <CutTheCaca> @HouseGOP Maybe there are fine people on both sides. Clean your own house up first you hypocritical blowhards. See  @SteveKingIA, @realDonaldTrump, &amp; @SteveScalise &amp; many more!!! #CutTheCaca
1103807520487948290 2019-03-07 18:59:55 -0400 <Frenchf21711483> @JohnGrahamDick1 @realDonaldTrump It’s a sad time in which we live. We all want to hope it’s getting better but it sure doesn’t seem like it.
1103807520420913154 2019-03-07 18:59:55 -0400 <CudgelForChange> @LindaSuhler @realDonaldTrump @MSNBC But his receipts. BOOM.
1103807509415030785 2019-03-07 18:59:52 -0400 <WhenstonedC> @realDonaldTrump @FoxNews @usa This is going to be very important when #Brexit inevitably triggers a United Ireland!
1103807505526898688 2019-03-07 18:59:51 -0400 <mdy1123> An oldie but a goodie! @seanhannity @newtgingrich @realDonaldTrump. Someone is counting on a pardon.
1103807505409429505 2019-03-07 18:59:51 -0400 <DownsKeck> @sianoresist @realDonaldTrump Then why do they want to come over here????
