965012986510413829 2018-02-17 18:59:59 -0400 <MullyMom101> @realDonaldTrump You are a national embarrassment.
965012986401251328 2018-02-17 18:59:59 -0400 <greendogbone2> @Trumpism_45 @realDonaldTrump Russia, if you’re listening . . .
965012986082422784 2018-02-17 18:59:59 -0400 <kbris> @realDonaldTrump What about, what about, what about! Buck stops with U #trump ! U trashed #DACA &amp; sold out to #NRA ! Stop #Whataboutism &amp; whining !  https://t.co/GUyMI5XSr8
965012985965170690 2018-02-17 18:59:59 -0400 <MarkusWinston> Melania Trump ‘Furious’ With Donald Over New Cheating Allegations With A Playmate.... @realDonaldTrump is a serial adulterer, traitor, liar, scammer, bigot, racist and a bum. He’s enriched himself and taken awY healthcare #MAGA #Altright #GOP #impeachTrump  https://t.co/cbGPNCy411
965012984375463936 2018-02-17 18:59:59 -0400 <Spain2NYC> @realDonaldTrump Because the @GOP was the "party of No". These were the words spoken by @SenateMajLdr . Republicans worship the NRA and corporations. Everyone else: fend for yourself.
965012984195047425 2018-02-17 18:59:59 -0400 <songstobe> @guiness65 @realDonaldTrump You are a Russian bot
965012983029133313 2018-02-17 18:59:58 -0400 <_achilles65_> @realDonaldTrump Sir, extremely valid point, but you are in office now, you could refresh gun control laws, to make it illegal for all people who have mental health issues not to own a weapon, all doctors would have to report by federal law any patients who were in receipt of medications min.
965012982987132930 2018-02-17 18:59:58 -0400 <macpj> @realDonaldTrump Did President Obama ever have total control of Congress? Yes, for 4 months. It was during this 4 months that Obamacare was passed in Senate with 60 all-Democratic votes. Did Obama ever have total control (other than these 4 months)of Congress during his presidency? NO-TRUMP LIES!
965012982815014913 2018-02-17 18:59:58 -0400 <colinjgriffith1> @Joe431990 @SovietSergey @realDonaldTrump  https://t.co/J98Zv0atrf
965012981225541632 2018-02-17 18:59:58 -0400 <Doreen58> @ChuckGrassley @AriMelber @realDonaldTrump You’re kidding right?
965012980579667968 2018-02-17 18:59:58 -0400 <needsomerest2> @realDonaldTrump   https://t.co/P4KqRiaLOd
965012979275018240 2018-02-17 18:59:57 -0400 <DoingThings2017> @CNN Guns don’t kill people, people do!  I am extremely saddened for the loss to these families.  Automatic guns/rifles should be restricted from the general public. #outlawgunsnotacceptable @POTUS @realDonaldTrump @PressSec @WhiteHouse @JackPosobiec
965012977362468864 2018-02-17 18:59:57 -0400 <tswaterman> $30 million is the price @realDonaldTrump took from the NRA to betray our children  https://t.co/XoMIuvgRHf
965012976867643392 2018-02-17 18:59:57 -0400 <buckygoldymom> @DuszaLukasz @realDonaldTrump Legal legal legal legal legal legal!
