961026720999657472 2018-02-06 18:59:59 -0400 <SallySueIam> @TravisAllen02 @realDonaldTrump #impeachmentparade
961026719351222272 2018-02-06 18:59:59 -0400 <jmills616> @realDonaldTrump   https://t.co/FF2ttJAjQX
961026717568720898 2018-02-06 18:59:59 -0400 <fishbrainlab> @realDonaldTrump #sad #selfaggrandizingchildman  https://t.co/6K0mwbCCTI
961026717476274178 2018-02-06 18:59:59 -0400 <Uncle_JackKelly> @asohmd @RepMcSally @realDonaldTrump They are white and supporters of Trump. So ......  https://t.co/cBd5gK29bB
961026716134268928 2018-02-06 18:59:58 -0400 <TrumpIsANimrod> @SpeakerRyan Why hasn’t @realDonaldTrump put new sanctions on Russia?
961026715882479617 2018-02-06 18:59:58 -0400 <TwainJane> @realDonaldTrump The Daily Caller is a right wing propaganda rag. Google it.
961026715563667456 2018-02-06 18:59:58 -0400 <fish_kel> @IronStache @realDonaldTrump @SpeakerRyan I don't care what he thinks #DefendOurDemocracy
961026712422117376 2018-02-06 18:59:57 -0400 <seanhartmark> @realDonaldTrump Wait..the Dems said there’s no such thing?
961026710572617728 2018-02-06 18:59:57 -0400 <rcfairley07peop> @hezi_tait @lholmberg2010 @realDonaldTrump WHAT???
961026708995563520 2018-02-06 18:59:57 -0400 <bcm_maga> @flyby2474 @Sheila4USA @Kimbo71006 @realDonaldTrump @POTUS @WhiteHouse Bill Clinton...also a “draft dodger” by your standards, @Kimbo71006.
961026706491486208 2018-02-06 18:59:56 -0400 <zorrorgv69> @realDonaldTrump Apc  https://t.co/o26lQytW5X
961026700669784064 2018-02-06 18:59:55 -0400 <Steve84427188> @kilmeade @realDonaldTrump Would the left care about immigrants if they didn’t need votes?
961026700661481472 2018-02-06 18:59:55 -0400 <SporadicFessler> @Tida2017 @mary_p7mary3 @VStewartNYC @VanessaL43 @spayer @SteveMoniz1 @jeffgar41456759 @KenGrimes9 @Baby___Del @lmchristi1 @Terri101092 @JayPowe19766626 @BengalTiga @RoyaleAuto @MrsGoodoz @Five_55555 @JaneyScott5 @JimGagnon6 @TeedIsMe @mememayo96 @TheReal_IceMule @srthellcat187 @lshumate @wwwillstand @GIT_ER_DONE_USA @MAGA_ARMY @Donny17236683 @Goodoz @JUBILEE_7DOUBLE @ciaglia @lack_crack @Jmylea1 @ImChristi1 @sawmilltaters @realDonaldTrump Oh. Lol I thought you were getting mad and throwing out some cuss words.
961026698702704640 2018-02-06 18:59:54 -0400 <JohnZajaros> Gotta love it! @ChuckTodd on #SCPOTUS @realdonaldtrump Shutdown Remarks: We Can’t Take Him [the so-called potus] “Seriously or Literally Anymore” @Mediaite  https://t.co/yLb9dITvat And @AriMelber doesn’t give an inch when interviewing a #TrumpSycophant &amp; @GOP Republican Rep!
961026697935052800 2018-02-06 18:59:54 -0400 <doug_bagger> Hey, Sh*thead n Chief @realDonaldTrump. This is America not North Korea!
961026697758937090 2018-02-06 18:59:54 -0400 <Randolphgibbs> @CNN Sounds like trumpism doesn’t it @realDonaldTrump ? If you can’t win fair and square, Cheat!
961026696102273025 2018-02-06 18:59:54 -0400 <hufflepuffins> Instead of #SchumerShutdown, we should use #TrumpTantrum if the government shuts down again, because @realDonaldTrump thinks another shutdown is what we need.
961026695657598976 2018-02-06 18:59:53 -0400 <LeftistTrolls> @dillzilla99 @Capo_CDTC @TeeEmEff @Fartahontas @realTanyaTay @JackPosobiec @lsarsour @realDonaldTrump And it’s funny when people think @realDonaldTrump has higher power than the CIA. People have made attempts to go against the CIA including ratting their illegal actions out to the UN. But instead of the CIA getting in trouble, the people who released evidence get thrown in prison
961026694684561409 2018-02-06 18:59:53 -0400 <jcozart80> @djjulia @Momof3gngrs @ChrisToTheW @Laura84663464 @SuburbanBit @brokencongress @jimmy_c34 @missee_mu @Lileddiemunster @mrdavehill @realDonaldTrump @Colts   https://t.co/KEBYryUsWK
961026693535354880 2018-02-06 18:59:53 -0400 <Fuzzy_Fuzzbutt> @realDonaldTrump Updated list of Trump's failures: Trump Airlines  Trump Beverages  Trump Casinos  Trump Magazine  Trump Vodka  Trump Mortgage  Trump Univ  Trump Steaks  Trump Game  The NJ Generals  Tour de Trump  Trump on the Ocean  The Trump Network  Trump Radio
961026693531041792 2018-02-06 18:59:53 -0400 <MunnRlmunn> @kilmeade @realDonaldTrump Axelrod - another Obama loser
