1042201603019812866 2018-09-18 19:59:59 -0400 <atxkerry33> @realDonaldTrump Lol
1042201600528404480 2018-09-18 19:59:59 -0400 <Tracypettit9> @LindseyGrahamSC @BarackObama @realDonaldTrump Trump is going to be impeached &amp; he belongs in jail. Lock him up lock him up lock him up lock him up lock him up lock him up
1042201598510870528 2018-09-18 19:59:58 -0400 <arefreeme> .AGBecerra takes quick action for @SecretaryZinke and @realDonaldTrump’s illegal attempt to get rid of regulations for the #superpollutant methane.
1042201597860868096 2018-09-18 19:59:58 -0400 <hansonink> @realDonaldTrump  https://t.co/yEDEs5mO0e
1042201596996845569 2018-09-18 19:59:58 -0400 <putneyswope7> @PressSec 5897 BLATANT LIES by @realDonaldTrump &amp; @PressSec &amp; @KellyannePolls &amp; @RudyGiuliani &amp; @DonaldJTrumpJr are OK but Not Full Disclosure by a Senator is an issue? @WhiteHouse #CleanHouse #CleanSweep #BlueTsunami2018 @GOP spewing Garbage #MuellerTime  https://t.co/h1CNWFWYaS
1042201596871012352 2018-09-18 19:59:58 -0400 <ScienceNerdGirl> Scum bag moron fatass colossal criminal idiot @realDonaldTrump
1042201594736140288 2018-09-18 19:59:58 -0400 <AmandaShouting> 'It's Pretty Bleak': Mayor of Small NC Town Says @realDonaldTrump Must See 'Desperate Circumstances' Town, like many in # NorthCarolina has no water, sewage system or gas.  https://t.co/ozR3K4tM68
1042201592840241152 2018-09-18 19:59:57 -0400 <DropTheMjolnir> @PrimeCreator2 @bevbarrett5 @staggerlee422 @56NancyB @mona_cajun @JeremyRobards7 @murphy991776 @FlaRhps @2newearth777 @gil_lawson @papookasticks @dtrastikeville @thompson_leota @MaryMur1010 @LookUp03716726 @AnimusClaro @brideofJC @Warrior_Prosa @RedBuster77 @Qui32461239 @threat008 @SnowWhite7IAM @nl10874926 @ThelmaE6 @JayVanorman @0Fuller0 @sisu1953 @davidsodell @BKayFrye2 @Crey_tyler @PCreator714 @Warlock_Holmes @cnille619 @xdotsi @Iamthesec13 @PrimeCreator111 @FCC @FBI @CIA @GCHQ @NSAGov @USArmy @Alyssa_Milano @JamesGunn @Jordan_Sather_ @LauraLoomer @USNavy @Wendys @realDonaldTrump IS SDH THE LITTLE FIREMAN?
1042201592500563969 2018-09-18 19:59:57 -0400 <USAMarineMomma> @realDonaldTrump Pls help those of us Conservatives BADLY ShadowBanned-Twitter takes followers/locks you in notifications shows almost 0 or 0 all day-When we ask who sees we get 1or2 responses-Got 300-500 followers a day &amp; they shut me down! I know they’re doing it to others, too
1042201591032541185 2018-09-18 19:59:57 -0400 <cheseth> @jimjkerr @StopTrump2020 @auldphartt @realDonaldTrump I’m not buying DiFi reasoning for not coming forward. She says she was protecting the accuser.  The accusation is old and pretty thin. If he’s innocent the confirmation should be easy. I don’t like his stances on many issues but an R is in the WH.
1042201590633947136 2018-09-18 19:59:57 -0400 <Jeffseattleipa> @JacobAWohl @realDonaldTrump Source?
1042201589480677377 2018-09-18 19:59:56 -0400 <Burntpeacock> @Thomas1774Paine Why are foreign countries allowed to buy land inside our country @realDonaldTrump?
1042201588889092097 2018-09-18 19:59:56 -0400 <GerraNadimi> @realDonaldTrump China has used us way too long. Time to make them pay their share.
1042201586037088261 2018-09-18 19:59:55 -0400 <m4marquez> @realDonaldTrump  - Don’t forget to bring rolls of paper towels to toss to the beleaguered people of North &amp; South Carolina!  #HurricaneFlorence2018
1042201583172419584 2018-09-18 19:59:55 -0400 <sax2thamax> @realDonaldTrump What a bustling vocabulary! You sound like a 5th grader...smh
1042201582224515072 2018-09-18 19:59:55 -0400 <CodeDuff> @GOP @realDonaldTrump He was on the side of the NSA for unwarranted spying So Trump is either misinformed or wants the #4th Amendment gone
1042201578017452032 2018-09-18 19:59:54 -0400 <likesMixedNuts> @realDonaldTrump PASS.  https://t.co/6bjCODmz0V
1042201577618989056 2018-09-18 19:59:53 -0400 <Helen47> @Biker_Bot1 @scarpa_gino @pRESIDENT_ALIEN @Gibbsdithers @patechinois1 @NotcherBizness @bellyofthe @JdtwoD @MnNewz @AIllinoi @Sandy_Beach3001 @gorillastyle @casskid38 @kimsey_n @mickrussom @dianne1h @TeamHudson11 @American2b @the_amish_txtr @Leonr60 @charlycain @Woozle_Hunter @MolonLabe23 @_RatAssassin @HikerDog67 @Rushgurl @OkieHen @jswriter65 @LibsNoFun @ClwtrBkAtty @TimmyD4You @johnnyonio @Hillchaser @CrunchyBobJones @Strutstuff1 @LisaMei62 @prayingmedic @American_Mirror @GOP @realDonaldTrump Donate monthly so the donations go directly to our "programs"...oh GAG!
1042201577006587904 2018-09-18 19:59:53 -0400 <aeroblue1980> @goosemangus @realDonaldTrump @StormyDaniels So disappointed because Toad is my go-to for Mario Kart.
1042201576679587840 2018-09-18 19:59:53 -0400 <LabattBrewingCo> @realDonaldTrump Loving the 200  million    In Tarif  . What else to you want us to tax . As more shit  comes our  way.   Then our yours,    You tool.
1042201574435684353 2018-09-18 19:59:53 -0400 <GL68064457> @VibeguyIndy @realDonaldTrump Can you imagine if she had won?😳😳😳
1042201574251134976 2018-09-18 19:59:53 -0400 <ManFromCrete> @AynRandPaulRyan @realDonaldTrump @USCG @CEDRdigital Peegate.
1042201574058151936 2018-09-18 19:59:53 -0400 <vinlaggam> @realDonaldTrump  https://t.co/3ubjnwlfkZ
1042201573487767554 2018-09-18 19:59:52 -0400 <herefordzonemom> @ananavarro @realDonaldTrump Meanwhile, Trump is creating jobs like crazy and draining the swamp.  Keep up the hate Ana...it is only motivating Trump supporters.
1042201572002934784 2018-09-18 19:59:52 -0400 <KerrazyCanuck> @GOP @realDonaldTrump Well if #TOADUS says so it must be true!  https://t.co/fGtx2cHkNp
1042201571340111872 2018-09-18 19:59:52 -0400 <kawczynska71> @realDonaldTrump why Trump things that all Americans are with him. It’s only his small group of a Base that are loyal to him. The rest of the American citizens thinks that he is a dysfunctional, dangerous and Narcissist President .
1042201570866278401 2018-09-18 19:59:52 -0400 <DaikonForTurnip> @GOP @realDonaldTrump Perjured rapist.
1042201568618045441 2018-09-18 19:59:51 -0400 <Tmayo72813432> @realDonaldTrump  https://t.co/cPOhcXIMwU
1042201562033082368 2018-09-18 19:59:50 -0400 <SheilaMSpence1> @H_T_Adams @FigZayas @StopTrump2020 @djrusty813 @realDonaldTrump Uhh - you mised the part where she named at least 2 others who were there. Oops. Buh-bye
1042201561487663104 2018-09-18 19:59:50 -0400 <MoJoanMagick> @realDonaldTrump #TrumpToad  https://t.co/UzgHnYoZRP
1042201559982112769 2018-09-18 19:59:49 -0400 <TheGrumpyGiant> @realDonaldTrump  https://t.co/av9Ay15rvj
1042201558593822722 2018-09-18 19:59:49 -0400 <ThumbsyJ> @realDonaldTrump  https://t.co/HsGZZbJLAV
1042201555053805569 2018-09-18 19:59:48 -0400 <sammyjonnyjr> @GOP @realDonaldTrump Er... if Trump said it - Lolz
