1177734664749928448 2019-09-27 19:59:59 -0400 <waltisfrozen> You're in trouble now, @realDonaldTrump  https://t.co/vb5yKlDXAy
1177734663097466885 2019-09-27 19:59:59 -0400 <ncmagsy> @SykesCharlie Cuz I’m up to my neck in do do thinks mr @RudyGiuliani ;).  @realDonaldTrump and crime family are watching :). Happy weekend!
1177734662220857349 2019-09-27 19:59:59 -0400 <LPGChile> @CastroEspinM @ONU_es @Almagro_OEA2015 @OEA_oficial @realDonaldTrump  https://t.co/B4UMa24tP1
1177734661402841088 2019-09-27 19:59:59 -0400 <thiswomanstands> @GOPChairwoman @realDonaldTrump You're delusional.
1177734661277134850 2019-09-27 19:59:59 -0400 <petrone_steve> @realDonaldTrump  https://t.co/Xo6pKFnycy
1177734660157104129 2019-09-27 19:59:58 -0400 <KenSGz> @tedlieu @realDonaldTrump @WhiteHouse @POTUS Do your job Lieuser.  https://t.co/gQqWNCK1Th
1177734659343433728 2019-09-27 19:59:58 -0400 <BarbMatchey> @realDonaldTrump tRump administration be like  https://t.co/G83sjK4Tik
1177734659054043138 2019-09-27 19:59:58 -0400 <LucysOnIt> @GOPChairwoman @realDonaldTrump Have you seen the new polls Ronna NotRomney?  Were you awake for the 2018 elections? The Dems swept the House cause America DIDN’T want them working with the #WorstPresidentInHistory
1177734654931030016 2019-09-27 19:59:57 -0400 <BlockedbyTrump8> @GOPChairwoman @realDonaldTrump Defending democracy and defending Trump are two diametrically opposed things.
1177734654562066433 2019-09-27 19:59:57 -0400 <Patriot_MAGA__> @GOP @LindseyGrahamSC It troubles me how the #DNC gets hearings and action so quickly - but with all the air tight evidence of so many corrupt #Democrats - NOTHING - No Hearings - indictments  - WHY WHY WHY @TheJusticeDept @realDonaldTrump @marklevinshow #KAG @LindseyGrahamSC
1177734654528561152 2019-09-27 19:59:57 -0400 <Bluesage07> @realDonaldTrump As usual, the dimwits have stepped in it, again.
1177734653710438400 2019-09-27 19:59:57 -0400 <Jackie_Billotte> @tedlieu @WhiteHouse @realDonaldTrump Because they are really bad a crime-ing
1177734653031137280 2019-09-27 19:59:57 -0400 <desilva_jim> @realDonaldTrump I love the the new comedy tweets, keep it rolling !
1177734650820726785 2019-09-27 19:59:56 -0400 <EdwinLo56654743> @boycottempire @Seeker17Truth @rewacker @realDonaldTrump  https://t.co/boftu4ec22
1177734647897317377 2019-09-27 19:59:55 -0400 <FranceslkTn> @realDonaldTrump You are the swamp king.
1177734647180079105 2019-09-27 19:59:55 -0400 <MyOpinionFact> @realDonaldTrump Yes and you are very busy playing golf,  obstructing justice,  requesting election interference from other countries,  watching Faux News and making up stories about the Bidens.
1177734646286704645 2019-09-27 19:59:55 -0400 <DevinStump1> @VAGentleman1 @TheLeadCNN @jaketapper @kaitlancollins @realDonaldTrump Theoretically, if a majority of the House and 2/3's of the Senate think he should be, then "Yes".  If he showed up drunk to work often enough to effect his ability to do the job, then he should be impeached.  Read the links I gave you and their sources.   I'm not your tutor.
1177734645879836672 2019-09-27 19:59:55 -0400 <MarkTButler1> @ScoutMacKenzie2 @GeraldoRivera @realDonaldTrump @StormyDaniels Much like Geraldo.
1177734645644976128 2019-09-27 19:59:55 -0400 <THEToughCookie> @GOPChairwoman @realDonaldTrump He’s crooked.
1177734644973785088 2019-09-27 19:59:55 -0400 <nathantyree> @GOPChairwoman @realDonaldTrump Oh my god, the entire Republican party is on fire and this is your play? You're even dumber that Trump.
1177734644474748928 2019-09-27 19:59:55 -0400 <BethBinDC> @realDonaldTrump No. You’re not. Ps. Your caps lock is on.
1177734642725720064 2019-09-27 19:59:54 -0400 <kaytkaytkayt> @realDonaldTrump Of course you are, dear. Now let's just get you back into bed.
1177734642511814656 2019-09-27 19:59:54 -0400 <angie_ploch> @SenThomTillis @realDonaldTrump So, after reviewing both the transcript and the complaint, it’s clear to me that after reviewing your response, your message to America and more importantly North Carolina is “fuck all of you who do not blindly support the republican agenda”.
1177734640041263104 2019-09-27 19:59:54 -0400 <Zandra61> @RepAndyBiggsAZ @POTUS @realDonaldTrump Thank you at least something is being done.
1177734639810744320 2019-09-27 19:59:54 -0400 <cahonen1> @SpeakerPelosi @realDonaldTrump F u!
1177734639655497731 2019-09-27 19:59:54 -0400 <5731965i> With moves like this, no wonder @realDonaldTrump needed to pay for a porn star and hang with pedophiles.  https://t.co/YZtE9CNBgF
1177734638632099840 2019-09-27 19:59:53 -0400 <jwpsr> @realDonaldTrump You are the Swamp
1177734638359515136 2019-09-27 19:59:53 -0400 <LPGChile> @CastroEspinM @ONU_es @Almagro_OEA2015 @OEA_oficial @realDonaldTrump  https://t.co/iRwhck8YMf
1177734636417499136 2019-09-27 19:59:53 -0400 <nategodwin> @EricTrump @SpeakerPelosi @realDonaldTrump Not stupid u can't win the election with money. Americans will definitely vote your loser dad out of office or be impeached. Either way he will definitely leave the White House.👌😁😂🤣😂🤣😂🤡🤡🤡🤡👀👀🇺🇸🇺🇸🇺🇸🇺🇸
1177734635331162112 2019-09-27 19:59:52 -0400 <quackery15> @Dejaview88 @JesseBWatters @realDonaldTrump The salary is not a lot and as long as he keeps billing the government for golf, hotels, he makes money
1177734635259752448 2019-09-27 19:59:52 -0400 <AzSunnyD> Hey @realDonaldTrump .....Tick-Tock................
1177734634844643329 2019-09-27 19:59:52 -0400 <daleterry57> @Brooke_Kelly87 @realDonaldTrump Goodness! Thank you!
1177734633997373440 2019-09-27 19:59:52 -0400 <bluedraco> @realDonaldTrump I'd give good money if you would shut the blazes up
1177734632814583808 2019-09-27 19:59:52 -0400 <Big_Boss_Deku> @real_defender @realDonaldTrump As someone from the midwest I'd vote for Warren
1177734631787028480 2019-09-27 19:59:52 -0400 <angiemoore0868> @RepStevenSmith @realDonaldTrump @jsolomonReports You’re a lying deflecting loser who is flushing his career down the toilet for the most corrupt President in modern history. Good luck with that. The prosecutor was as corrupt as Trump is.
1177734629945593856 2019-09-27 19:59:51 -0400 <SactoCaNative> @gepehill1 @realDonaldTrump Answer: Not one single thread of decency in Donald.
1177734628884598785 2019-09-27 19:59:51 -0400 <JDPelofsky> @YouRKiddingMe5 @BamberDonna @SpeakerPelosi @realDonaldTrump The fact you are unwilling to hold Trump accountable shows that you are perfectly ok with treason
1177734627261321216 2019-09-27 19:59:51 -0400 <DisneyFamJam> @KittyCatMommy @SpeakerPelosi @realDonaldTrump @RepAdamSchiff so long as he intends it to be so and the payor so interprets it. * New York has enacted strong prohibitions against extortion by public officials. Under the state’s penal code, extortion can occur when a public official “instill[s] in the victim a fear” that if something of...
1177734627252932608 2019-09-27 19:59:51 -0400 <Zombie10k> @realDonaldTrump You mean you finally changed your diaper??? Awesome!  https://t.co/Bs4wdkFRQz
1177734623876517894 2019-09-27 19:59:50 -0400 <jusjak97> @GOPChairwoman @realDonaldTrump Hahahahaha hahahahaha
1177734623213899776 2019-09-27 19:59:50 -0400 <AshtenJade> @realDonaldTrump  https://t.co/CuFVtCMeXj
1177734622664372230 2019-09-27 19:59:49 -0400 <ReddWine> @AndyOstroy @realDonaldTrump No.  Bloodthirsty corrupt, crazed, psychos like YOU maybe, but not impeachment. Because theres nothing there to impeach him For. Being a great president Will get him a second term though. TRUMP 2020
1177734622270164993 2019-09-27 19:59:49 -0400 <Rob_the_H> @realDonaldTrump ....but it's not appropriate, so there's that.
1177734620164571136 2019-09-27 19:59:49 -0400 <OntimeDeals> @GOPChairwoman @realDonaldTrump if you're ok with the president committing criminal acts against democracy then move to Russia.
1177734618427977730 2019-09-27 19:59:48 -0400 <shylock77> @ZacksJerryRig @realDonaldTrump That would be the optimal scenario; unfortunately realistically the cultists will always vote and it’s the intellectuals that stay away. End result? Like the phones on your Shelf of Shame.
1177734617987723265 2019-09-27 19:59:48 -0400 <rogem> @Reuters Racist bigot! Everything he blames everyone else for, is what he’s doing! He’s a liar, traitor, can’t be trusted and he needs to go! He’s destroying our unity,promoting racism and bullying. @ImpeachTrumpNet @ImpeachDJTNow @realDonaldTrump @WhiteHouse
1177734617568169984 2019-09-27 19:59:48 -0400 <dixeekup> @realDonaldTrump Back pedal! Back pedal!
1177734616481812481 2019-09-27 19:59:48 -0400 <Crozierguy> @ScottPresler @GOPChairwoman @realDonaldTrump Really.......those are the only 2 choices a great country has. Did you learn anything from the 1860’s?
1177734614409854976 2019-09-27 19:59:47 -0400 <Write2Left> @realDonaldTrump Secondhand knowledge that has been corroborated by the materials YOU have released!!
1177734613189439489 2019-09-27 19:59:47 -0400 <Gelman1Norman> @tedlieu @realDonaldTrump @NRA What’s a felony to Trump?  Just another deal.
1177734612438659072 2019-09-27 19:59:47 -0400 <Macinca19> @W7VOA @legalCAT10 @WhiteHouse @realDonaldTrump @CNN Nothing “untoward” to expect in trump/Saudi or trump/Putin calls....
1177734612388212736 2019-09-27 19:59:47 -0400 <WIld0Card> @GOPChairwoman @realDonaldTrump how do you live with yourselves
1177734611943743493 2019-09-27 19:59:47 -0400 <Debgolf2> @SpeakerPelosi @realDonaldTrump You are betraying the American ppl! Seems to me you Dems are colluding with some from previous admin. to try to take down a duly elected President!
1177734611914371072 2019-09-27 19:59:47 -0400 <Its_Natacha> @AngelaBelcamino @realDonaldTrump 5 years ago someone would've told me i'd keep reading the word swamp for years from the president of USA, i would've laughed in their face because i had rarely read that word since i was a kid.
1177734610266021888 2019-09-27 19:59:46 -0400 <UzmaHussain82> Thanks a lot!!! #StandUp4HumanRights #SaveHumanity #saveminorities #savechildren #bootsinkashmir @antonioguterres @jacindaardern @unicefchief @BorisJohnson @AminaJMohammed @UNGeneva @realDonaldTrump @gatesfoundation
1177734608894382081 2019-09-27 19:59:46 -0400 <WaterburyKevin> @Lori_B_777 @JakeMc945 @realDonaldTrump Yup. Doing both but protect themselves. It was  nothing more than another setup.
1177734606650511360 2019-09-27 19:59:46 -0400 <estradaofre> @ONU_es @jguaido @CNNEE @eACNUR @realDonaldTrump @ConclusionesCNN @soyfdelrincon @AsambleaVE
