1198390771298242561 2019-11-23 18:59:59 -0400 <_my_pov> @realDonaldTrump  https://t.co/XxjmpvY4pq
1198390770245492737 2019-11-23 18:59:59 -0400 <DrunkMattGaetz> @r_ashwell @realDonaldTrump You're saying I got a chance!  High Five Bruh!
1198390767892357120 2019-11-23 18:59:58 -0400 <cfelts2172> @realDonaldTrump What was in the elipses #timmorrison ?  Isn't that what your short time there was supposed to accomplish?
1198390767284187136 2019-11-23 18:59:58 -0400 <Marley084> @realDonaldTrump  https://t.co/obtoZi75MK
1198390766629994496 2019-11-23 18:59:58 -0400 <dljr24> @NoWay7790 @realDonaldTrump Damn! Those Bidens? Never thought they'd get caught. 😂  https://t.co/rOSVNEflPM
1198390766600675330 2019-11-23 18:59:58 -0400 <dub_zi> @realDonaldTrump  https://t.co/kJ6J1C8Soy
1198390766403379200 2019-11-23 18:59:58 -0400 <russak211> @realDonaldTrump  https://t.co/DqhwWNj2Il
1198390766277554177 2019-11-23 18:59:58 -0400 <historyscienceT> @MatthewJshow @LindaSuhler @realDonaldTrump Name 5.
1198390765879062528 2019-11-23 18:59:58 -0400 <augustm62492795> @realDonaldTrump Stop the lies grandpa. Stop working for Putin!
1198390763312300032 2019-11-23 18:59:57 -0400 <Ryszard2103> @realDonaldTrump The Whistleblower most likely works for the United States if America and has served their COUNTRY with pride and distinction.  The President has served his own interests at the expense of his country and continues to do so.  Who do I trust? (It ain't you Trump)
1198390762016296960 2019-11-23 18:59:57 -0400 <86Whitemoonlily> @realDonaldTrump Putin's little cork soaker  . It's more like 95% approval  rating with the criminally insane.     PS.  Pelosi/ Schiff      🇺🇸2️⃣0️⃣2️⃣0️⃣🇺🇸
1198390757754908674 2019-11-23 18:59:56 -0400 <okkie48> @Lonelyorc @realDonaldTrump  https://t.co/rc1xMApaLx
1198390754533613568 2019-11-23 18:59:55 -0400 <CindarooFla> @realDonaldTrump The majority of young American voters want you impeached.     Thank you!
1198390753753468928 2019-11-23 18:59:55 -0400 <UclaBruin1998> @rhonda_harbison @shawgerald4 @RudyGiuliani @LindseyGrahamSC @realDonaldTrump And notice no answer.
1198390753044488192 2019-11-23 18:59:55 -0400 <annamook> @realDonaldTrump Speaker Pelosi was spot on
1198390752738365441 2019-11-23 18:59:55 -0400 <lovesakiwi> @realDonaldTrump Liar
1198390750758739971 2019-11-23 18:59:54 -0400 <comaboy1971> @barryha @TomJChicago @realDonaldTrump He had a bowel obstruction last week.  He had to have a malignant Lyndsey Graham removed.
1198390750674710529 2019-11-23 18:59:54 -0400 <WhistlerHeidi> @maximumneto @GOP @realDonaldTrump Any news wether or not the Supreme Court decided to hear his case re- those tax returns being released to the SDNY?   I’m the most excited for those to be exposed. Fingers crossed.
1198390749408235520 2019-11-23 18:59:54 -0400 <Debs_Ragu> @lionel_jon @real_defender @realDonaldTrump  https://t.co/i2wJNoZlpT
1198390749253054464 2019-11-23 18:59:54 -0400 <Birdhaus95> @BeltTruth @TruthJohn812 @mydecember77 @AltNatSecAgency @davidmweissman @realDonaldTrump Obama did that personally? Or did the US agree to release Iran's own assets as part of a multi- national agreement? Damn, you're literally just making things up.
1198390747910684672 2019-11-23 18:59:53 -0400 <covfefeforall33> @realstuart45 @realDonaldTrump @Oceanbl38277989 @ShannonBream @FoxNews #LiberalismIsAMentalDisorder
