859558116375097344 2017-05-02 19:59:59 -0400 <desgracates> @realDonaldTrump tenho uma reclamação
859558115565547522 2017-05-02 19:59:59 -0400 <JJ1Tweets> @realDonaldTrump Sooooooo be presidential.  Start working for America not your comrades
859558114454118400 2017-05-02 19:59:58 -0400 <ssbristow199> @MissWoke @stephany_oakley @johnrobertsFox @realDonaldTrump I was just wondering the source.  This one's funny though. Many listed left of center on your first chart are solid center on this one
859558114089025537 2017-05-02 19:59:58 -0400 <stelle164> @FiveThirtyEight each citizen will judge based on his or her views and values. @realDonaldTrump will judge based on his, whatever they are.  https://t.co/mq3Brs81Ri
859558113581682688 2017-05-02 19:59:58 -0400 <targteacher> @MarkPygas @realDonaldTrump 👍🏼
859558113275330560 2017-05-02 19:59:58 -0400 <junieb1979> @senorrinhatch @realDonaldTrump So glad @senorrinhatch is enjoying his bromance with @POTUS. The rest of us want to barf 🤢. Time to retire Hatch!
859558112835108864 2017-05-02 19:59:58 -0400 <Ricky_Steambot> steambot @realdonaldtrump 7/11
859558112793161729 2017-05-02 19:59:58 -0400 <LucyInTheSkybox> @realDonaldTrump #TheResistance  https://t.co/45ACn8jF4o
859558112474386435 2017-05-02 19:59:58 -0400 <FlukasMcDoogle> @realDonaldTrump 995 pages of govt docs? 995!?!? How much govt $$ is being spent to pay for this? OVER A TWEET! ABOUT CROWDS!! SWEET JESUS!  https://t.co/g0RjyqZmu9
859558105960640512 2017-05-02 19:59:56 -0400 <Bcdeerin> @realDonaldTrump Wonder how u live with yourself!  https://t.co/E9uYcMyDRF
859558105230848000 2017-05-02 19:59:56 -0400 <MargoNoDak> @hardball @nedryun @HillaryClinton And we are living in hell because of @realDonaldTrump.
859558100868767746 2017-05-02 19:59:55 -0400 <AlesiaCato> @realDonaldTrump @POTUS  https://t.co/djTJvyvZFr
859558091930693632 2017-05-02 19:59:53 -0400 <DarthRipper> @TrollHaterVet @smallcitysloy @BigNeil78 @williamlegate @realDonaldTrump The ass clown degrades women, is rolling back programs that protect the enviroment, and is basically poking everyone trying to start a war
859558090802442240 2017-05-02 19:59:53 -0400 <Solar_Dancer> @realDonaldTrump  Huge marches,  MSNBC rating highest in years, NYT subscriptions way up. Because they speak truth to power. Thanks Donny!  https://t.co/RKmgTiJrvS
859558090110316545 2017-05-02 19:59:53 -0400 <navyshellback75> @realDonaldTrump The MOST important question is, did he see ur election coming and did he call to congratulate you? I would be pissed if he didn't!!
