1012123409818451968 2018-06-27 19:59:59 -0400 <JamesBe57835361> @yobiz_non @realDonaldTrump Like Obama did with Iran ! Js
1012123408098824193 2018-06-27 19:59:59 -0400 <01sassafrass> @benshapiro @realDonaldTrump But you don’t fully back out President ... just saying
1012123406857359360 2018-06-27 19:59:59 -0400 <robgomezorea> @SpeakerRyan @POTUS #Shapiro4SCOTUS @benshapiro @realDonaldTrump
1012123406727335936 2018-06-27 19:59:59 -0400 <CharlesEDean> @hypercore10 @surfempty @Liberty0384 @NoSoyBot2018 @realDonaldTrump There are many but start with Candace Owens
1012123405695488003 2018-06-27 19:59:58 -0400 <TheVitaminPress> @linlady716 @Lydia_MarieM @Det_Starsky @sdmikemurphy @rickajay9372 @AGBecerra @realDonaldTrump @TwitterSupport @facebook_cull Sorry, not you.  Crazy cat lady.
1012123404151992326 2018-06-27 19:59:58 -0400 <MaryEDowns1> @PissedOffGinja @thugsRbadMK @realDonaldTrump @Twitter TRUMP INSTIGATES AND PROMOTES HATE DAILY...WHY ISN'T HE BANNED???
1012123403552161793 2018-06-27 19:59:58 -0400 <ladyliberty641> @realDonaldTrump Mrs Clinton is a far better choice than you! But let’s forget the popular vote!
1012123402138574849 2018-06-27 19:59:58 -0400 <ioncesawanox> Hoping @realDonaldTrump nominates the brilliant Sen. Mike Lee, who would make an outstanding Supreme Court Justice.  @SenMikeLee Lee would zealously guard our Constitution with intelligence and integrity.  Great American!  #MAGA #TCOT #TLOT  https://t.co/RDo6arscB7
1012123399383146501 2018-06-27 19:59:57 -0400 <MarkAMcGaha2> @The_Trump_Train @realDonaldTrump @SenJohnHoeven @RepKevinCramer   https://t.co/cxnnQ9vVeT
1012123397050982400 2018-06-27 19:59:56 -0400 <Carfield76> @FoxNews Don't worry!  @TheDemocrats only needs to put a person in your campaign brochure - @realDonaldTrump who is basically a RACIST.  Plus you guys have @SteveKingIA @RepMarkMeadows @Jim_Jordan as the backup poster boys and the list goes on... all anti-women/LGBTQ and racists!
1012123392638685185 2018-06-27 19:59:55 -0400 <NickyJo71471477> @Kennedy_DFW @scottterri @kdougstickley @realDonaldTrump It's just that Sup.Court blow I got this afternoon, that, and no mayo for the great BLT I made for dinner. Can't a freaking fan work or smthing go right today?
1012123390042353672 2018-06-27 19:59:55 -0400 <Cyborg48063960> @CarolsBlueSky @realDonaldTrump @ConspiracyfactP @Redankulous13 @YeshuaBenDavid4 @intheMatrixxx @RoArquette @AshleyJudd @BookEnoch @GenFlynn @Mr_Bo_Jengles @mommofmany @QuriousQanon99 @ApacheiAm @jazzyjwelz @tugginghboat What a trove of blood drinkers‼️child molesters, just “Regular Sin “ is not enough for them‼️they must do the most disgusting Sin that their filthy minds will allow them too, and they want to rule our Earth‼️  https://t.co/6kGMRSkMyi
1012123388410818561 2018-06-27 19:59:54 -0400 <SherryFanelli> @realDonaldTrump Legal system is corrupt - they don't follow their own laws ... stop the fraudster bank, judges, &amp; courts!  PLEASE stop the illegal foreclosures!  PLEASE!  Free Heather &amp; Randy!!!
1012123388322766848 2018-06-27 19:59:54 -0400 <RobertJohanse10> @EdanClay @realDonaldTrump @GOP McConnell and Ryan are rubes for Putin... they are really no longer republicans in the good way only the worst of the worst
