1010673858385498112 2018-06-23 19:59:59 -0400 <Steph93436387> @cdngor @loveletters2007 @RedVinesRedWine @McLuvinMMQB @realDonaldTrump @Mlane1313aolcom 🤣🤣🤣🤣🤣🤣🤣🤣 idiots
1010673855856349184 2018-06-23 19:59:59 -0400 <taytay3593> @RepGraceMeng @realDonaldTrump Do your job. Secure our borders and immigration reform!!!
1010673852135985153 2018-06-23 19:59:58 -0400 <markmclure> @WestAussie71 @Rocketwithrobin @MattsOpinion @realDonaldTrump That's awesome!
1010673850504433664 2018-06-23 19:59:58 -0400 <ghosthunter58> @realDonaldTrump If it wasn't for immigrants, you wouldn't have a wife!!!!  Can't wait for you to be in jail!!!  I suggest one of those cozy places you have the children!!!!!
1010673849111756801 2018-06-23 19:59:57 -0400 <lalutz46> @GOPChairwoman @realDonaldTrump Seriously, what’s wrong with you?
1010673848239382528 2018-06-23 19:59:57 -0400 <schachin> @LasVegasLocally @realDonaldTrump @NVGOP @POTUS Not his supporters. That was it.  There were 1000+ protesters however.
1010673845366411267 2018-06-23 19:59:56 -0400 <freedom2015glo> @jerp163 @FoxNews @newtgingrich @realDonaldTrump The bots are back in town I see!
1010673842627284992 2018-06-23 19:59:56 -0400 <Loudcry7> @potus @realDonaldTrump @RepMattGaetz @dbongino @RepGoodlatte @Jim_Jordan @DevinNunes @SebGorka   Ever wonder why the left hates President Trump so much? Is he undoing their corruption? their perversions? Hmmmm.....   https://t.co/hl09OxNtMj
1010673841742516226 2018-06-23 19:59:55 -0400 <jRocks_On> @GOPChairwoman @realDonaldTrump Liar. You do nothing but lie. Your kids and grandkids will read about your disgraceful behavior in history books and won’t be able to hold their heads up.
1010673841146941441 2018-06-23 19:59:55 -0400 <Scsraycook1> @whiskeysmoker @realDonaldTrump  https://t.co/wPfOc8G8zH
1010673840249278465 2018-06-23 19:59:55 -0400 <barsoomian> @realDonaldTrump America is Open for government corruption and human rights abuse.  Yay #MAGA!
1010673839926325248 2018-06-23 19:59:55 -0400 <brandon_orgeron> @AsomeBarreto @WilliamEBraunJr @PALandPAL @BwasGoat44 @GovMikeHuckabee @ktumulty @realDonaldTrump No
1010673839569801216 2018-06-23 19:59:55 -0400 <MajSchroeder> @realDonaldTrump Wants wants!
1010673839292940289 2018-06-23 19:59:55 -0400 <eric_tarbox> @democracynow McDonalds, Burger King, and most every other restaurant are now hiring due to the economy getting better because of @realDonaldTrump , so get a job.
1010673838399639552 2018-06-23 19:59:55 -0400 <RebelYellResist> @FoxNews @newtgingrich @realDonaldTrump Cause and effect, bub.
1010673837665652737 2018-06-23 19:59:54 -0400 <LeoStealth1> @rightinillinois @Bosstowne59 @GregShugar @realDonaldTrump @NVGOP Do you remember he's under an audit excuse he gave probably 20 times
1010673835618787328 2018-06-23 19:59:54 -0400 <ProgressiveTex> @BN51 @realDonaldTrump Yes!
1010673835408887810 2018-06-23 19:59:54 -0400 <AidanTheBrave> @realDonaldTrump @FoxNews Investigations shouldn’t have to be popular...
1010673832569516032 2018-06-23 19:59:53 -0400 <StopDaGOPCrooks> @realDonaldTrump The walls are closing in. Resign before it’s too late for you.
1010673831109746688 2018-06-23 19:59:53 -0400 <Beth_Cox_2> @oldbaldeagle @CCOT_MAGA @LeahR77 @realDonaldTrump Professionals don't turn away business based  on politics.
1010673828526219265 2018-06-23 19:59:52 -0400 <clavelli_vito> @realDonaldTrump Happy bday justice
1010673828492709888 2018-06-23 19:59:52 -0400 <ewephorrhea> @realDonaldTrump You talk like you own it.  Don't be fooling yourself.
1010673828492529664 2018-06-23 19:59:52 -0400 <IamstillKenneth> @realDonaldTrump How’s the whole uniting the country thing going?
1010673827578286080 2018-06-23 19:59:52 -0400 <OttolineMorrell> @reidscher @realDonaldTrump C'mon,  he seven on a good day.
1010673826550747136 2018-06-23 19:59:52 -0400 <KJMacDaddy> @HuckabeeOnTBN @realDonaldTrump "I REALLY DON'T CARE. DO U?"
1010673825204310017 2018-06-23 19:59:51 -0400 <THussman> @GovMikeHuckabee @ktumulty @realDonaldTrump Nancy P. is on a short list of morons to publicly support MS-13.  I wonder what Gary Condit has to say, after being undressed for his sins, and blamed for a murder committed by The Mara Salvatrucha.
