1179546603733934080 2019-10-02 19:59:59 -0400 <kernonthekobb> @realDonaldTrump You sound desperate, please resign.
1179546602475798528 2019-10-02 19:59:59 -0400 <Red_XIV> @ScottPresler @realDonaldTrump Take away your vote? Where do you come up with this idiocy?
1179546602161233922 2019-10-02 19:59:59 -0400 <ideology_pure> @realDonaldTrump I never thought I'd say this..... but its pretty crazy that Schopenhauer's assertion that life is simply a pendulum swinging between boredom and suffering is probably more truthful than even the least optimistic assertion of the universe
1179546600428802048 2019-10-02 19:59:59 -0400 <satariilovesme> @realDonaldTrump  https://t.co/sG6X7bR9RQ
1179546599875366918 2019-10-02 19:59:58 -0400 <but_abta> @realDonaldTrump At this point it's probably moat
1179546599510482944 2019-10-02 19:59:58 -0400 <TafurVicky> @realDonaldTrump Americans elected Mr. President Trump. We strongly support Mr. President Trump. We have no right to over turn the considered judgment of the America people.  https://t.co/9uVB55BvK5
1179546599124393986 2019-10-02 19:59:58 -0400 <Jeremy_tilby> Anyone else enjoying watching @realDonaldTrump have a #TrumpMeltdown?   And the race is on and here comes American Pride in the backstretch... 🎶
1179546598671564801 2019-10-02 19:59:58 -0400 <AdamRosenberg16> @WhiteHouse @realDonaldTrump you are such #BS
1179546598206038016 2019-10-02 19:59:58 -0400 <MyWindyMind> @WhiteHouse @realDonaldTrump @niinisto Welcomes? You call that disaster a "welcome to the USA" moment???? #UnfitToBePresident #NationalEmbarrassment
1179546597706760192 2019-10-02 19:59:58 -0400 <SWeston19444568> @realDonaldTrump Oh, yeah. Let's vote for the guy who pressures gov't to build a frontage road going from a shopping center directly to his gated community using $2 million. He's too much like trump. We'll pass on him, or anyone endorsed by trump.
1179546597442621440 2019-10-02 19:59:58 -0400 <JayaySeeOhBee> @jmeb_7 @XCruzaderX @voteYEEGOR @theneedledrop @realDonaldTrump "2 genders" and "libruls bad"
1179546597182644224 2019-10-02 19:59:58 -0400 <AnnetteRalls> @realDonaldTrump Mr. President I heard you signed  1.8 billion autism funding bill.  Can I ask you how will this benefit my 3 yr old son.  He's been diagnosed last September and I've been trying to get him services like ABA therapy the wait list is 1 1/2 yrs here in FL.
1179546596998037504 2019-10-02 19:59:58 -0400 <LindaViking77> @RobertR14223320 @realDonaldTrump 😂
1179546596943519750 2019-10-02 19:59:58 -0400 <BGH24374093> @realDonaldTrump The people's did not elect you. Nor will they again
1179546596779925504 2019-10-02 19:59:58 -0400 <PeskyJski> @realDonaldTrump 🐍🐍🐊🐊
1179546596511383552 2019-10-02 19:59:58 -0400 <PeterFr81856185> @realDonaldTrump No they want to rid the country of an immoral, irrational despot and start the healing process.  https://t.co/q0OWKfBJSo
1179546596184223744 2019-10-02 19:59:58 -0400 <tigerfanjenny> @realDonaldTrump Seems to me the Democrats have been very busy. You, on the other hand, have been tweeting all the live long day. #DoNothingDonald
1179546595764781056 2019-10-02 19:59:58 -0400 <J_Blodge> @realDonaldTrump What the Hell is on Joey's head?
1179546595559239680 2019-10-02 19:59:57 -0400 <bentlightnvegas> @JoeySalads @realDonaldTrump Warren will beat him.  https://t.co/IZ7m2p94C1
1179546595408236545 2019-10-02 19:59:57 -0400 <omarali50> @dubash @CoolieIndian @FrankBullit67 @Ultrcrepidarian @JaganMo77810870 @AKLKO1977 @realDonaldTrump The post WW2 US is the absolute world champion at wasting money on wars.. no competition, contemporary or historical. Truly amazing. Len Deighton had this great short story where someone finds a crashed US transport plane in Vietnam jungle, set for life..
1179546594707787776 2019-10-02 19:59:57 -0400 <AngelGoulet> @realDonaldTrump @tatereeves He's fooled too many. Don't vote for anyone he picks. They'll probably end up in jail.
1179546593823019008 2019-10-02 19:59:57 -0400 <G86492923> @realDonaldTrump "Trump easily meets the Andrew Johnson standard for impeachable rhetoric. For nearly 3 years, he has used the presidency to stir anger and incite hatred."
1179546592019439616 2019-10-02 19:59:57 -0400 <SMAS1024> @realDonaldTrump  https://t.co/eFuhT8ECdn
1179546590471753728 2019-10-02 19:59:56 -0400 <Quincehoney> @JoeySalads @realDonaldTrump Biden
1179546590383464448 2019-10-02 19:59:56 -0400 <tsoiliho> @realDonaldTrump If that’s the case then you should have resigned 12,000 false statements ago.
1179546590106836993 2019-10-02 19:59:56 -0400 <BrianFarley5_1> @StewardshipAmer @realDonaldTrump @RepAdamSchiff As your fearless leader said today BULLSHIT!
1179546589884538882 2019-10-02 19:59:56 -0400 <rebeccabw> @realDonaldTrump How about we investigate the dealings of the Trump children?
1179546589834166274 2019-10-02 19:59:56 -0400 <johnamick> @realDonaldTrump  https://t.co/fQ1HkDtMpE
1179546589523636224 2019-10-02 19:59:56 -0400 <fraleyjason> @realDonaldTrump @DougsThePlug is our world just a simulation 😂
1179546589226049536 2019-10-02 19:59:56 -0400 <bmmcgar> @missionhillman @sapw @aravosis @Brasilmagic @realDonaldTrump I was equating power within their own countries as opposed to powers over other countries.  In Finland, to the Finnish people, their president is not weak just because he's not the US president.
1179546588320022528 2019-10-02 19:59:56 -0400 <luidge2> @realDonaldTrump GO TRUMP!! #MAGA
1179546588068356097 2019-10-02 19:59:56 -0400 <Ramsking14> @DaveStrong1208 @Nickelback @realDonaldTrump Was indeed a hilarious video 😂
1179546588018020353 2019-10-02 19:59:56 -0400 <kingstirpluto> @realDonaldTrump Aye someone go get Hannah baker  https://t.co/SqlGtiVl6P
1179546587900583936 2019-10-02 19:59:56 -0400 <TmaarcKrapf> @realDonaldTrump What a role model! #ImpeachTrumpPenceBarrPompeo
1179546587867025408 2019-10-02 19:59:56 -0400 <ScotiaGirl68> @flatlineyou75 @glamelegance @realDonaldTrump Whatever you say MAGAT bot
1179546587678363648 2019-10-02 19:59:56 -0400 <jtodd5554> @WhiteHouse @blu2_angles @realDonaldTrump Love MAGA 🇺🇸
1179546587413893120 2019-10-02 19:59:56 -0400 <Joe_Glidden> @LouDobbs @realDonaldTrump @GOPChairwoman @POTUS Wow, Dumb and Dumber!
1179546586910806016 2019-10-02 19:59:55 -0400 <EdGaston11> @ScherieMurray @SpeakerPelosi @realDonaldTrump Hell no, he's a lunatic 😠
1179546585954422785 2019-10-02 19:59:55 -0400 <happyhodek> @realDonaldTrump  https://t.co/iypBW28Jpa
1179546585669230593 2019-10-02 19:59:55 -0400 <Lindajo1948> @realDonaldTrump We have got to pray 🙏this doesn't happen .....
1179546585342103553 2019-10-02 19:59:55 -0400 <khagge1> @MakeitaJourney @nelsonwendella @realDonaldTrump @GOP Perhaps some of this Rs will actually do the right thing.
1179546584679403520 2019-10-02 19:59:55 -0400 <scott6423> @realDonaldTrump if your looking for corruption the nearest mirror is best.
1179546583462891520 2019-10-02 19:59:55 -0400 <RAbbott13__Or> @realDonaldTrump How about this one?  https://t.co/Q4QTPgnx6t
1179546582880079872 2019-10-02 19:59:54 -0400 <noigeloverlord> @realDonaldTrump Racist
1179546582838075392 2019-10-02 19:59:54 -0400 <timmmo510> @BernardKerik @RepAdamSchiff @realDonaldTrump Sorry Bernie, Democrats have their own laws and Schiff will never be charged...
1179546582250688512 2019-10-02 19:59:54 -0400 <CelticHumorist> @realDonaldTrump Oh you like tapes? Let’s play the Access Hollywood tape!
1179546581424640001 2019-10-02 19:59:54 -0400 <9A9A> @realDonaldTrump You know all about scams, right?!
1179546579914633216 2019-10-02 19:59:54 -0400 <ArtDeadone13790> @glamelegance @realDonaldTrump AGAIN
1179546578471804933 2019-10-02 19:59:53 -0400 <SAMCHEY> @realDonaldTrump Blithering is the word that comes to mind here.
1179546578396356609 2019-10-02 19:59:53 -0400 <jtflynn4> @realDonaldTrump Please go away! Please! All this nonsense is embarrassing.
1179546578354352128 2019-10-02 19:59:53 -0400 <STeeLGuT> @realDonaldTrump LOL!!! #TrumpIsAMoron
1179546577976754176 2019-10-02 19:59:53 -0400 <AugustinKeaton> @Magician247 @brandontour @realDonaldTrump There you go lying.
1179546576143798273 2019-10-02 19:59:53 -0400 <sugamama68> @realDonaldTrump  https://t.co/goqpuuIJoV
1179546575443517447 2019-10-02 19:59:53 -0400 <Pennstate1gary> @realDonaldTrump Love it Mr President you are 100 percent right   2020.
1179546575263207424 2019-10-02 19:59:53 -0400 <Four_T2> @realDonaldTrump That's your job, bawbag!!
1179546574470418432 2019-10-02 19:59:52 -0400 <Jskorn> @realDonaldTrump #TrumpMeltdown   https://t.co/YWrydRAxFb
1179546574336204800 2019-10-02 19:59:52 -0400 <neojosemo> lol 😂 Democrats only have one real 2020 candidate and that’s Hillary Clinton #TrumpMeltdown @realDonaldTrump @marklevinshow @GOP @RudyGiuliani #KAG2020
1179546573753204736 2019-10-02 19:59:52 -0400 <seanlamb492> @realDonaldTrump 😂
1179546573434429440 2019-10-02 19:59:52 -0400 <12cocomero12> @realDonaldTrump  https://t.co/Th1u7u7bXO
1179546573065375745 2019-10-02 19:59:52 -0400 <TruBluBrewCru> @realDonaldTrump @tatereeves Vote Jim Hood for a mentally healthy, calmer, and much more intelligent future!  You can do this, Mississippi!
1179546572666888192 2019-10-02 19:59:52 -0400 <silentmoosassin> @JackPosobiec @realDonaldTrump 500 @spicetokens
1179546571458973696 2019-10-02 19:59:52 -0400 <Frederi63366526> @BillKristol @realDonaldTrump Damn hard to believe
1179546570695553025 2019-10-02 19:59:52 -0400 <Melocotone> @TheRightMelissa @realDonaldTrump And you’re blowing him.
1179546570653462528 2019-10-02 19:59:52 -0400 <SteveKinholt> @realDonaldTrump Trump should really look up KAG in the Urban Dictionary.  https://t.co/SmsZfrOtfK
1179546570414534656 2019-10-02 19:59:51 -0400 <mcheck57> @realDonaldTrump #PresidentialMeltdown
1179546569533616128 2019-10-02 19:59:51 -0400 <Anna_63> @Ruth70154616 @GermanyTrump @realDonaldTrump @tatereeves Indictments for trying to influence the election
1179546569529581568 2019-10-02 19:59:51 -0400 <krezmien> @realDonaldTrump Love the #fighting spirit in Our President. We are in uncharted waters; he’s up against the greatest #enemy of the Republic, which has been a US intel #coup w/ UK, Italy, Australia &amp; Ukraine to undermine the will of the ppl. Pray for him daily #Trump/#Pence 2020🇺🇸 #Masterful
1179546569361653760 2019-10-02 19:59:51 -0400 <richw2001> @Cloudy_Aperture @StewardshipAmer @realDonaldTrump lol...I know...told it to seek maintenance.
1179546568669745157 2019-10-02 19:59:51 -0400 <juanesis> @realDonaldTrump L ,G l Ln loop ñ   l KP ñññ 9l¡ ño, ts mll kk ñ
1179546568481017856 2019-10-02 19:59:51 -0400 <lewisetayloriii> @melons4u Retweet this message.  @realDonaldTrump, @OANN, @JudicialWatch, @TomFitton, @OIGFedCFPB, @GOPChairwoman @DNC, @JudiciaryGOP @GOP @GovKemp @SherryBostonDA, @KimKardashian, @JeffBezos @KarenBassTweets @KamalaHarris @washingtonpost @newsyCaitlin @Newsy   https://t.co/YcM9jZEGP3  https://t.co/OYX0AUlI5a
1179546568191614976 2019-10-02 19:59:51 -0400 <dvillella> @HumanistTheo @communist_reb @realDonaldTrump  https://t.co/KQKtd3slpw
1179546567348326401 2019-10-02 19:59:51 -0400 <bruceach> @realDonaldTrump Vote Jim Hood!  He will stand up to lawless Trump!!
1179546567289835522 2019-10-02 19:59:51 -0400 <19Dumptrump> @realDonaldTrump We all know you did
1179546566434185217 2019-10-02 19:59:51 -0400 <ladylibation> @realDonaldTrump That's the way we do it!!!
