825856047298523136 2017-01-29 18:59:59 -0400 <affiliated2> @faagifts @realDonaldTrump try it and see what happens
825856046853931008 2017-01-29 18:59:59 -0400 <tyreynolds0123> @RobPulseNews @realDonaldTrump and yet Trump is still president. AND he is doing what he promised he would do. That's why he was elected
825856045524348929 2017-01-29 18:59:59 -0400 <birdeleven> @Race_Realist @AustinOnSocial @realDonaldTrump yup. And these recent people that were detained had visas.
825856045482385409 2017-01-29 18:59:59 -0400 <ChrisMHampton> @realDonaldTrump PLS! Join  https://t.co/YM00MywW8H - #FreeSpeech NEEDS New Tools to Replace #Corrupt #Twitter #Facebook &amp; #YouTube
825856045125816320 2017-01-29 18:59:59 -0400 <WendyLynnJH> @matthaig1 @realDonaldTrump yeah! What he said!
825856044370890755 2017-01-29 18:59:59 -0400 <dccJUSTICIA> @realDonaldTrump Mr. President, I congratulate you, I really like how you deal with all conflicts. I'm Argentinean
825856044031156230 2017-01-29 18:59:59 -0400 <AngelaSambataro> @floridarocket @realDonaldTrump I am not sure if it is calculated or not, because he does have mental illness, but it is #deflection
825856043909513218 2017-01-29 18:59:59 -0400 <whijares68> @JustinCaffier @realDonaldTrump @TheBrodyFile @CBNNews Obama is not the one who is being interviewed. It's our President Trump.
825856043796267009 2017-01-29 18:59:59 -0400 <SugarKerry> @catherinerusse2 @realDonaldTrump seen this??? So funny!!!!  https://t.co/0JxwsUsccj
825856043674636296 2017-01-29 18:59:59 -0400 <bethcoats> Humanity strikes back at @realDonaldTrump. Join the #WorldToTrump open letter that’s sweeping the planet! #Trump  https://t.co/wT94ywIRQI
825856043611729925 2017-01-29 18:59:59 -0400 <fsalas19441> @realDonaldTrump Sir everything you r doing is well supported by Trump voters. We love you, r loyal to you and we TRUST your Decision. Amen.
825856043489976320 2017-01-29 18:59:59 -0400 <Nw16061381> @realDonaldTrump you are unwelcome in my state. Anyone that still thinks you are any good is a fool.
825856042907099139 2017-01-29 18:59:58 -0400 <notonmywatch16> Oh, look! She made a dress from the tinfoil hats of daddy's minions @realDonaldTrump  https://t.co/Q24720Sqke
825856042764529664 2017-01-29 18:59:58 -0400 <Donku_ulh> @jnsanchez @realDonaldTrump he won the election get over it
