1117940666263166976 2019-04-15 19:59:59 -0400 <MollyMay1923> @realDonaldTrump @TigerWoods @TheMasters Want to make him sick?
1117940665776840705 2019-04-15 19:59:59 -0400 <jd_vandy1> @JeffreyGuterman @realDonaldTrump  https://t.co/jmzpQum7hy
1117940662207279104 2019-04-15 19:59:58 -0400 <Mesamavric58> @Gerhidt @PabloMM @realDonaldTrump He's the kind of doofus that would go some place like Notre Dame and wonder why it was never remodeled.
1117940662136201216 2019-04-15 19:59:58 -0400 <tjr914> @realDonaldTrump Simpletons can only think, do, and say like the dopes they inspire to be... REALLY!!... FLYING WATER TANKERS!!.. DO YOU EVEN BOTHER TO STAY IN THIS REALITY... maybe we should blow on the fire real hard to put it out!!!!.. tRump thinks like a 5yr old..
1117940662110801920 2019-04-15 19:59:58 -0400 <GHavercroft> @realDonaldTrump Bet you never knew it existed outside the animated film President Drumph
1117940661850783744 2019-04-15 19:59:58 -0400 <keepintouch1> @realDonaldTrump  https://t.co/3Usz0RPWiF
1117940659027992577 2019-04-15 19:59:58 -0400 <jawsmom> @realDonaldTrump Thank you President Obama  https://t.co/6KLrj8OBly
1117940658424229889 2019-04-15 19:59:57 -0400 <BBCARKING> @RepSwalwell Really Rich Eric if I am Correct POTUS @realDonaldTrump is still at work in D.C while you Dems are on a 2 Week Ass kissing Sabbatical. #DoYourDamnJob
1117940657325314052 2019-04-15 19:59:57 -0400 <SusanBr63598322> @realDonaldTrump Steel prices are at an all time high due to tariffs. The taxpayers are the ones that are affected. Now we will pay for EU tariffs too. Trump takes the credit as we pay the price. As for jobs, it’s a continuation from Obama.
1117940655941017603 2019-04-15 19:59:57 -0400 <HansJWurzler> @realDonaldTrump   “The president insisted the newspaper was guilty of “really corrupt reporting”, stating: “They will lie &amp; cheat anyway possible to make me look bad. In 6 years they will be gone”  What u fail 2 realise u moron...U DON’T NEED ANY HELP FROM ANYONE 2 LOOK B.A.D. !
1117940654703824896 2019-04-15 19:59:57 -0400 <Gonavyblue1965> @realDonaldTrump The concensus is that the only thing you know about branding is how to muck a brand up! You'd muck up exlax; people would become full of shit just like you!
1117940653017767937 2019-04-15 19:59:56 -0400 <bholton> @dave_republican @realDonaldTrump I am sorry, I cannot possibly believe that… You can’t possibly have a friend
1117940652837408768 2019-04-15 19:59:56 -0400 <Jasnan19> @realDonaldTrump Liar!
1117940652514402306 2019-04-15 19:59:56 -0400 <CrossN117> @SEC_News @realDonaldTrump
1117940650756968449 2019-04-15 19:59:56 -0400 <liberalboxer> @mrobmsu @realDonaldTrump What, did he have a cameo on “Emergency”? He’s now an expert on firefighting?
1117940649079316481 2019-04-15 19:59:55 -0400 <tomshadyyy> @bdphillip @steph93065 @BernieSanders @realDonaldTrump Or to the gulag
1117940647531548673 2019-04-15 19:59:55 -0400 <ChrisMc331> @tedlieu @PeteSouza @HouseJudiciary @realDonaldTrump @POTUS  https://t.co/iEmoOKMVjX
1117940646881497089 2019-04-15 19:59:55 -0400 <HoweNurse3737> @DonWill17932232 @realDonaldTrump You're an idiot.  By using the word "perhaps " he is making a suggestion and implying he doesn't know  Just s thought by him open for an explanation of why they cant b used .
1117940646629736449 2019-04-15 19:59:55 -0400 <mlramirezyc> @realDonaldTrump So horrible that you felt your lame advice instead of condolences was a better choice. It probably would have better for you to say nothing at all, like the NOTHING said no-tweet when the 3 black churches were torched by one of your supporters.
1117940646034268160 2019-04-15 19:59:55 -0400 <davidalmond2869> @realDonaldTrump Is it too late for cloud seeding?
1117940644671045633 2019-04-15 19:59:54 -0400 <8xchamposu> @realDonaldTrump Great way to knock down the rest of the structure genius. Its not a forest, its a centuries old building.
1117940643983085568 2019-04-15 19:59:54 -0400 <CorbmanMarie> @realDonaldTrump Just watched a few minutes of Bernie and had to turn him off. What an idiot stupid jerk he is. How can anyone believe a word he said. Did not answer questions just babbled on.
1117940643848957952 2019-04-15 19:59:54 -0400 <realBrianReid> @realDonaldTrump @thebestcloser Mr. President, you see-- this is what happens when "bad" is let off the hook. Nancy Pelosi on "60 Minutes" said she thinks you know you shouldn't be President. It's a rather ironic remark, given that she, Schiff and Swalwell should be... 1/3
1117940643152781312 2019-04-15 19:59:54 -0400 <amshebron> @TFC207 @WGME Wrong! You have no idea regarding my tax situation. Confirmed by my accountant my tax burden went up even though I made less. Oh by the way the NY Times is fake news. Remember the #moron #POS #fraudinchief #POTUS @realDonaldTrump said so himself.
1117940642355789826 2019-04-15 19:59:54 -0400 <ayoajayi69> @realDonaldTrump Here’s what a presidential response looks like!
1117940640619175936 2019-04-15 19:59:53 -0400 <olugbo> @MindOfMarks @realDonaldTrump Got it, anything anti-Dear Leader is fake.  https://t.co/146pB38DSI
1117940637637038080 2019-04-15 19:59:53 -0400 <SFGamerbabe57> @realDonaldTrump Perhaps you should let the experts do their job and you do yours!
1117940637058445312 2019-04-15 19:59:52 -0400 <00micki> @realDonaldTrump @TigerWoods @TheMasters And what about Kap???
1117940635766407168 2019-04-15 19:59:52 -0400 <greyhoundpom> @realDonaldTrump Yeah let’s drop 10 to 15 tons of water travelling at over 170 miles an hour on a building built in the 13th century. Brilliant!
1117940635582042113 2019-04-15 19:59:52 -0400 <JulesBolducACC> @therealdesert @realDonaldTrump #WalkAway
1117940633082134528 2019-04-15 19:59:51 -0400 <SerenePatriot> Dear @TwitterSupport: Please explain why you have not suspended @realDonaldTrump's account for violating @Twitter's policies regarding abusive behavior and hateful conduct. Clearly, at least a temporary suspension is warranted until Donald Trump's violating tweets are removed.
1117940632922796032 2019-04-15 19:59:51 -0400 <Wintery_Lane> @realDonaldTrump How do you happen @realDonaldTrump 🤦🏽‍♀️
1117940632876535808 2019-04-15 19:59:51 -0400 <MJdowntheshore> @jax_persists @realDonaldTrump A real estate, builder stable genius.
1117940632163684353 2019-04-15 19:59:51 -0400 <SurgTech_07> @realDonaldTrump
1117940630083260416 2019-04-15 19:59:51 -0400 <Q_State_Fun> @realDonaldTrump Yes, that is all bullshit. #trumptraitor
1117940628372041728 2019-04-15 19:59:50 -0400 <Terence_Wilson1> @peidays306 @lesleyabravanel @realDonaldTrump But let’s take your statement at face value... if you got more in your check and less in your tax return... you moved the money around... you didn’t get a taxcut
