974797458822909952 2018-03-16 19:59:59 -0400 <pugdad> @realDonaldTrump @JustinTrudeau  https://t.co/O7INjXu7sS
974797457807745024 2018-03-16 19:59:59 -0400 <WatcherBees> @realJasonLampro @ForeverLogical @realDonaldTrump Jason Lampro: Proof that you can fool some of the people all of the time.
974797453441536006 2018-03-16 19:59:58 -0400 <NYC_Deplorable8> @cirizarryster @catruth1 @Harriseven @rhedhandedjill @iTearorByte @TinBoxT @lanaess21 @Cannadablissed @realDonaldTrump We** have checks and balances.
974797450543353857 2018-03-16 19:59:57 -0400 <SorenSpicknall> @nickwcoleman @mountain_goats @realDonaldTrump As we all know, nobody is allowed to have an opinion or predict anything once they've been wrong a single time in their lives. We all become mute once we're mistaken once.
974797450530627584 2018-03-16 19:59:57 -0400 <808Mich> @realDonaldTrump The next two #gophacks who will lose their races thanks to your endorsement #loserincharge  #everythingyoutouchfails  #PresidentDennison
974797448639021056 2018-03-16 19:59:57 -0400 <sunscreensafe> No class Kelly in the no class wh...when is the food fight..Oh I did a search on classless things people do and all I got were images of the man in the wh..@realDonaldTrump wait til he sees the cover of the New @NewYorker
974797448546803712 2018-03-16 19:59:57 -0400 <CtheFirefly> @MichaelGlatzSr @AprilDRyan @POTUS @HillaryClinton @realDonaldTrump You do understand how investigations work, right?   They start at the bottom of the ladder and climb up. What’s crazy is, even the initial indictments are pretty unbelievable. It’s pretty obvious how serious this is.   You don’t see it?
974797448219541504 2018-03-16 19:59:57 -0400 <darkcoco53> @GovMikeHuckabee @realDonaldTrump I’m glad you had a conversation with him and he advised you of his findings.  Nevertheless, let the investigation finish.  Because if not, it will look like there is something to hide.  By the way, there are a lot of Republicans and Independents who want this resolved.
974797444318990337 2018-03-16 19:59:56 -0400 <dennis_carson> @LouDobbs @SebGorka @realDonaldTrump Prosecute them!
974797444155256832 2018-03-16 19:59:56 -0400 <gerij9> @tedlieu @realDonaldTrump @POTUS   https://t.co/fSbw5uVkrA
974797442091814913 2018-03-16 19:59:55 -0400 <reluctantzealot> @GovMikeHuckabee @JeffreyaMeier @realDonaldTrump you are sounding desperate....  LOL
974797442037161984 2018-03-16 19:59:55 -0400 <SFGKCG> @President1Trump @ABC Lawsuit‼️😡enough is enough‼️😡@realDonaldTrump don’t let them get away with this😡
974797434248466432 2018-03-16 19:59:53 -0400 <HighArchmage> @Eevildebs @ConnorReed2 @WiantHelen @realDonaldTrump   https://t.co/iUwQqGE24F
974797433975787520 2018-03-16 19:59:53 -0400 <boswell_buddy> @realDonaldTrump  https://t.co/lzVW8FKx1T
974797427394924545 2018-03-16 19:59:52 -0400 <Bellaclaire2006> @GIG2166 @marcorubio @CNN @MSNBC @realDonaldTrump Whoa, slow down on the koolaid
974797425897558022 2018-03-16 19:59:51 -0400 <Bullistik> @ThomasWictor @realDonaldTrump .@realDonaldTrump is the only reason I drug myself to the polls in 2016 and I am so damn HAPPY that I made the effort.  In just this short time, I know I made the right choice and I will be back at the voting booth in #2020 to #KAG
974797425713012736 2018-03-16 19:59:51 -0400 <CandiceEngleha1> @DineshDSouza @CNN @realDonaldTrump And he will
974797418490417152 2018-03-16 19:59:50 -0400 <MaryhamptonLou> @TomFitton @JudicialWatch @realDonaldTrump Yes, he should be pardoned!  #PardonFlynn
974797413918625799 2018-03-16 19:59:48 -0400 <AaronSm70316051> @ericbolling @realDonaldTrump Circles!!! It’s really fun to watch.
974797404590432256 2018-03-16 19:59:46 -0400 <RealNikkiFried> @adamputnam @FLGovScott @GwenGraham @realDonaldTrump @realDonaldTrump endorsed @RonDeSantisFL What are you doing there?
974797402262601728 2018-03-16 19:59:46 -0400 <Unkojozee40P> @jennysue62 @aptnelson @realDonaldTrump What about Germany is a mess ? Please enlighten us
974797399871848448 2018-03-16 19:59:45 -0400 <JOelschlegel> @LouDobbs @SebGorka @realDonaldTrump Sessions will not end up firing him because the deep state has something on him and they are pressuring him to do nothing.
974797398416416769 2018-03-16 19:59:45 -0400 <richardc2000> @tedcruz Hey cruz- If you are such a good conservative, WHY did you steal IOWA from @realDonaldTrump during primary?
974797392187969541 2018-03-16 19:59:43 -0400 <LynSimpson9> @Leslie00655900 @SonOfGodAndMan @TomWellborn @realDonaldTrump Trumps name should NEVER be used in the same sentence as Jesus!
974797389860098049 2018-03-16 19:59:43 -0400 <spanglesvi> @CindiHeng @wbhickok @Cernovich @realDonaldTrump @foxandfriends @seanhannity @WhiteHouse @SebGorka ALTHOUGH OPPOSITE IS BEING REPORTED—I heard HANNITY REPORT ON RADIO SHOW that McCabe would be fired! Yup, my hope is that HANNITY IS RIGHT!! And, yes, my money’s still on SEANHANNITY! TICK, TOCK! 🐘🍀🐘
974797389524492288 2018-03-16 19:59:43 -0400 <immaggie> @realDonaldTrump Did you notice a pedestrian bridge collapsed? Any comments about thst@?
974797384411738112 2018-03-16 19:59:41 -0400 <mke2671> @Top_Sergeant @realDonaldTrump @Cabinet @WhiteHouse Sad that you as a service person know no better.  Time to grow up.
974797384004882432 2018-03-16 19:59:41 -0400 <tweettruth2me> This is the socialist mentor of David Hogg. He loves @realDonaldTrump 's new legislation. Scary.  https://t.co/YB9c01mmoh
974797383119900672 2018-03-16 19:59:41 -0400 <whatsamattauhey> @rhythmbw @atasteforlife @LightningDuck @nursekaren62 @LItalianoVero @UFLaDave @realDonaldTrump No, I just don't feel the need to blame all my problems on a shadowy secret world order.  Get a grip, the world isn't a conspiracy theory.
974797381903503360 2018-03-16 19:59:41 -0400 <Soldier_Cynic> @tedlieu @realDonaldTrump @POTUS About time people accept that Kelly is part of the problem, and not the "adult in the room."
974797376073248769 2018-03-16 19:59:39 -0400 <Ryan0666> @LouDobbs @ByronYork @realDonaldTrump Remember when people took you seriously? What the f—k were they smoking?
974797372114030592 2018-03-16 19:59:39 -0400 <joshgerstein> In this phase of the Daniels suit, @realDonaldTrump is being repped by L.A. attorney to the stars Charles Harder, who threatened earlier suit over Wolff book. Harder also repped Melania in libel suit in Maryland  https://t.co/cC3v0TZLAM  https://t.co/Vmosw98bWx
