1094385455339110402 2019-02-09 18:59:59 -0400 <Rajmathur321Raj> @realDonaldTrump I don't think that your very bright
1094385453959208961 2019-02-09 18:59:59 -0400 <tsmcgee1> @realhublife @SwedeUSPatriot @realDonaldTrump No more worrying about more Islamist.coming like that idea!
1094385451052470272 2019-02-09 18:59:58 -0400 <might_if> @realDonaldTrump Ur such a sarcastic a$$
1094385450783916032 2019-02-09 18:59:58 -0400 <billadler> @realDonaldTrump Trump is the most awful, ignorant, lying president America has ever had.   https://t.co/iAbrK55A8Y
1094385449718763520 2019-02-09 18:59:58 -0400 <nihilistcomhour> @SnorkyJr @realDonaldTrump Shit I’m old enough to remember when republicans literally tried to remove the rights of North Dakotan natives voting.  https://t.co/TIM9OjeAmG
1094385449701756928 2019-02-09 18:59:58 -0400 <susanna_g888> @sallan3 @JacobAWohl @realDonaldTrump ☝🏼
1094385448682696705 2019-02-09 18:59:58 -0400 <BettyConfetti71> @realDonaldTrump I can only make up my own interpretation of whatever you are trying to say here. Either way, it sounds like a bunch of nonsense, as usual.
1094385448313593856 2019-02-09 18:59:58 -0400 <MagaHansen> @SilkSunflowers @realDonaldTrump Very well said Dainielle!! Spot on!! ☝️
1094385447575453697 2019-02-09 18:59:58 -0400 <KevinHayman5> @realDonaldTrump Since u r of German decent would that mean that UR a Fascist Nazi? I stopped making up names for people at 12 years old.
1094385444542918656 2019-02-09 18:59:57 -0400 <Joe35357> @realDonaldTrump "I'm OK with the murder and rape of millions because I know this guy!  This is a good guy!"  Genius
1094385443712442369 2019-02-09 18:59:57 -0400 <alligirl65> @StempleKim @realDonaldTrump @chefjoseandres @cheftkilcoyne You’re welcome and I meant it... they’ve underestimated us... they don’t know our hearts 😘
1094385443611774976 2019-02-09 18:59:57 -0400 <Jessica25132472> @krassenstein @realDonaldTrump @AOC Like they do when every time trump makes a speech they have a pretty written response to denounce anything he says before he ever says. How do write a response to something that hasn't been said yet lol. They don't want to work together. They just WANT.
1094385443242688514 2019-02-09 18:59:57 -0400 <PopeDarth> @realDonaldTrump While Trump tries to play like he's a friend to Israel and Jews, I bet if you gave him a DNA test he'd show up Roman, Assyrian and NAZI.  https://t.co/nIVDHQJ0bX
1094385442135388160 2019-02-09 18:59:56 -0400 <Jimmy_K45> @eugenegu @joepabike @realDonaldTrump Doctors are rich. Let's start with them.
1094385439425744896 2019-02-09 18:59:56 -0400 <gurlsparrow> @realDonaldTrump I can’t wait to see this old man go and for our country to become innovative and move towards a better future rather than continue this slide backwards.
1094385435516780544 2019-02-09 18:59:55 -0400 <Walterstockton1> @realDonaldTrump Dumbest.. Gaa noise... Because,  jets and, missile enforced,  says.. My jeep scrambler cj8, and, 88 foxcraft 90 hp evenrude  are,  in usage anyway.. Trump is a gaa democrat, by evidence.. Thanks,  ppc ppls..
1094385435177029632 2019-02-09 18:59:55 -0400 <tomtomlena> @realDonaldTrump Uh, I hate to break this to you cupcake (I see the Haldol hasn’t yet quite kicked in), but you don’t have a chance of making it to 2020. But it’s really cute how you think you will. #MuellerTime #KeepDreaming
1094385434484985862 2019-02-09 18:59:54 -0400 <Dubes123> @sara4SF @Lesann1 @ProudResister @realDonaldTrump That is a leader.
1094385434187177984 2019-02-09 18:59:54 -0400 <bigbird2167> @realDonaldTrump Just when I thought you couldn’t get any more stupid you write this crap!!!
1094385434111688704 2019-02-09 18:59:54 -0400 <domedog311> @realDonaldTrump @TheLastRefuge2 While older Americans are appalled by Green New Deal or laugh at it, most Millennials like it because they have been brainwashed about climate change and focus on provision that govt will pay them if they don't work.
1094385431737757697 2019-02-09 18:59:54 -0400 <PGQue> @realDonaldTrump @LindaSuhler  https://t.co/CDhTGIJ6D9
1094385431699959808 2019-02-09 18:59:54 -0400 <ElizabethTriem> @lesleyabravanel @Jim_Jordan @realDonaldTrump @AdamSchiff Let us all try to be polite to each other and use decent language.  Say what you want just say it with respect
1094385430475296768 2019-02-09 18:59:53 -0400 <177lib177> @realDonaldTrump I’m sorry AG Whittaker had to go through that.  They were just terrible especially. Shelia Jackson. She is mean!
1094385429535735808 2019-02-09 18:59:53 -0400 <dominatrix524> @XboxTrig @Realwkhan @LilianLilue @jennerific713 @realDonaldTrump @DonaldJTrumpJr Buckle up dum-dum. Its gonna be a rough year for you.
1094385428990287872 2019-02-09 18:59:53 -0400 <larryfritz> @realDonaldTrump I thought you learned that using the term Pocahontas was racist or do you not care.
1094385427010719746 2019-02-09 18:59:53 -0400 <PGASpectator> @realDonaldTrump This isn’t it
