920801666638667776 2017-10-18 19:59:59 -0400 <the_real_Lord> @JoshMalina @realDonaldTrump Kind of makes me want to throw up.
920801665690636290 2017-10-18 19:59:59 -0400 <reedjasonf> @realDonaldTrump, do your job! You're a hypocrite. #ImpeachTrump  https://t.co/YZE4Ah0HvU
920801665065689088 2017-10-18 19:59:59 -0400 <geechee41> @FoxNews @realDonaldTrump Just like the president of the U.S. Virgin Islands, Fox News, &amp; whites that’s tweeting y’all can’t even say his or his widow names  https://t.co/C8rDhbxUhT
920801664684113920 2017-10-18 19:59:59 -0400 <RoseN2shopin> @Impeach_D_Trump Well it would be the truth. @realDonaldTrump is a "Damn Liar". He's also a pathological liar, narcissistic, racist &amp; a misogynist. #Liar45
920801662733762561 2017-10-18 19:59:58 -0400 <Barbara09333052> @realDonaldTrump Damn you anyway. You are sabotaging this whole thing. Not everyone is as gullible as your damn idiotic base.
920801661831954432 2017-10-18 19:59:58 -0400 <DaylynShea> @realDonaldTrump ???????????????
920801661655773184 2017-10-18 19:59:58 -0400 <SeekingSusie> @realDonaldTrump Our country is about lung cancer and COPD T-Dog? Who knew?
920801659088801793 2017-10-18 19:59:57 -0400 <alantoothaker> @SouthernKat60 @charter57 @eugenegu @EdKrassen @IRdotnet @realDonaldTrump seeing all liberals pout and cry works for me....
920801658388353024 2017-10-18 19:59:57 -0400 <Rebekah67373830> @realDonaldTrump 👍😊
920801656970797056 2017-10-18 19:59:57 -0400 <misfit256> @IdahoforTrump @realDonaldTrump @DanaPerino @BradThor lol
920801655586566144 2017-10-18 19:59:57 -0400 <winbroom> @realDonaldTrump I hear all them Democrats on here again, sounds like a bunch of looser
920801653879586816 2017-10-18 19:59:56 -0400 <RupertTheDogHo1> @LouDobbs @LaneSadalup @realDonaldTrump And that us a fact
920801653564907521 2017-10-18 19:59:56 -0400 <ArgoZep> @realDonaldTrump If anyone knows disrespect, it’d be you. Can you please lead with humility, dignity, and without Twitter? Love, America.
920801652763848704 2017-10-18 19:59:56 -0400 <RockefellerRep1> @Twitchaloupka @screamfan422 @nytimesbusiness @realDonaldTrump David, despite your Trump fandom,  I trust you are smarter than that. Corp. tax cuts have never gone to raise the wages of employees but ...
920801652218589184 2017-10-18 19:59:56 -0400 <KeyLargo411> @StevenOnesti @billymflynn @realDonaldTrump respect office #DUFUSPOTUS holds when HE respects it, Constitution, People ALL regardless of race religion color sex/orientation disability
920801651874607104 2017-10-18 19:59:56 -0400 <RickBro44104720> @TalbertSwan @realDonaldTrhmp @realDonaldTrump @fema Then get out!!
920801651539058689 2017-10-18 19:59:56 -0400 <batzion> @IngrahamAngle @SenMcCain @realDonaldTrump sad to see @senmccain in this vendetta which is not helpful to the nation or to his reputation. irresponsible and, uh, juvenile.
920801651534921729 2017-10-18 19:59:56 -0400 <CocoPazzo> .@realDonaldTrump See what you've done? You're so dishonest  no one believes your wife will stand next to you!
920801650012438528 2017-10-18 19:59:55 -0400 <BookwormJenna> @realDonaldTrump @NFL Where does it say that people have to stand for the anthem??? Also, shouldn’t you worry about other things like gun control????
920801649462886400 2017-10-18 19:59:55 -0400 <betley_regan> @realDonaldTrump To all coal minors plz stay safe..i know that is a dangerous job
920801649358020608 2017-10-18 19:59:55 -0400 <dawnsissy2018> @realDonaldTrump Oh brother....🙄
920801648892526592 2017-10-18 19:59:55 -0400 <gkeim3> @JacobAWohl @realDonaldTrump @DanaPerino @BradThor Don't know what god u worship but mine would have never.
920801647613190144 2017-10-18 19:59:55 -0400 <patdonnelly6> @realDonaldTrump @NFL No.  I have that right, you cannot make it an obligation. Stop acting like Hitler.
920801647076323328 2017-10-18 19:59:54 -0400 <bmoreart1> @VanJones68 @mica @prattlibrary @SenWarren @realDonaldTrump @jeffsessions @VanJones68 : I would give @MittRomney a big wet kiss if he could be President right now.
920801646984044544 2017-10-18 19:59:54 -0400 <vmillergsu> Tell @EPAScottPruitt &amp; @realDonaldTrump to #StopPebble and #SaveBristolBay via @NRDC  https://t.co/nDzO6A7hDQ
920801646191325185 2017-10-18 19:59:54 -0400 <Lollygaggle001> @realDonaldTrump This is real embarrassment in our country.  https://t.co/DxSmFTrOII
920801645981614082 2017-10-18 19:59:54 -0400 <dec_620> @realDonaldTrump The whole thing is a scam don't buy into it . Trickle down has not ever worked in the last 40 years since Reagan. Reagan taxed your SS.
920801645197266944 2017-10-18 19:59:54 -0400 <HolyShiteBatman> @jaketapper To be fair, it’s not surprising that @realDonaldTrump didn’t care about it for so long. He probably thought Niger was a misspelling.
920801644547207168 2017-10-18 19:59:54 -0400 <kylesimpson9391> @taylorsmith_27 @realDonaldTrump Berlin Wall was built by communist east Germany to keep people from fleeing to democratic west Germany
920801642697523200 2017-10-18 19:59:53 -0400 <p9cker_girl> @thehill I'm fully convinced that @realDonaldTrump doesn't have a single ounce of common decency or any class in his entire body
920801642341048320 2017-10-18 19:59:53 -0400 <mangat_sunny> @PamelaN57 @realDonaldTrump It’s not about majority. The constitution is a secular document. The 1st amendment addresses this. There is no state-church union.
920801641514745856 2017-10-18 19:59:53 -0400 <anti_orange1> @realDonaldTrump @DanaPerino @BradThor The only thing you've been working on is your golf swing
