1052710847326216192 2018-10-17 19:59:59 -0400 <EisenhowerTime> @realDonaldTrump That’s not a compliment.
1052710847011684357 2018-10-17 19:59:59 -0400 <3ofOZ> For the love of all decency... IMPEACH @realDonaldTrump
1052710843828371456 2018-10-17 19:59:58 -0400 <ksw1> @realDonaldTrump Are you talking about lyin’ Ted?
1052710841508868096 2018-10-17 19:59:57 -0400 <Alex32528674> @7four76 @real_farmacist @realDonaldTrump @DunnCampaign No, the Republicans are stripping you of your rights
1052710840837828608 2018-10-17 19:59:57 -0400 <LindaResista> @TheBaxterBean @jerseydevil1965 @realDonaldTrump Lolol !
1052710840363900929 2018-10-17 19:59:57 -0400 <Frankie16165988> @Endressa1206 @realDonaldTrump Please explain to me why my 401 gained $2,700 over the last 8 months which is twice as much as it earned in the years 2013, 2014, 2015.  Guess you don't know can much about investing.  Still living with your parents.
1052710838526730240 2018-10-17 19:59:56 -0400 <wendy45786171> @realDonaldTrump All people want free Medicare for all........not just college educated women....... you tweet such stupid things.......
1052710837402693633 2018-10-17 19:59:56 -0400 <JamesBurton1984> @realDonaldTrump 😂 😂 😂 Man, if I was wealthy, I’d love me some Trump!  It I’m a struggling “middle class” American with advanced degrees who is being hurt by your policies or lack there of. But if I was rich, I’d be like Lewenski on you 😉
1052710837213782016 2018-10-17 19:59:56 -0400 <Reelhousewife1> @AMWigginstoo @thehill @RosieM1919 @realDonaldTrump You have NO IDEA how IRRATE I become when I hear @realDonaldTrump mention anything in regards to California. @realDonaldTrump, take your 🍄and wander the forests of your female followers YOU ARE NOT WELCOME HERE
1052710833602457600 2018-10-17 19:59:55 -0400 <jmt5018> @realDonaldTrump Holy hell your beginning to act like your mom with dementia
1052710833506185217 2018-10-17 19:59:55 -0400 <andrejczykd1> @_grantli @realDonaldTrump Her parents had to elope because they were 1/64th or less Native American? Believable I guess, but does that make me pity Warren... nope!
1052710832147230720 2018-10-17 19:59:55 -0400 <TeresaGinsberg> @lbptalk @realDonaldTrump Can you believe we have to still say this. FFS. But thank you. You said it well.
1052710832113631232 2018-10-17 19:59:55 -0400 <jeanneeber> @realDonaldTrump Gee, WHERE were your comments for the 1500 DROP?   We get 548 back-of a 1500 LOSS-and we hear from YOU? You got the MONEY I lost too?  TARIFFS are what CAUSED the DEPRESSION after the 1929 Stock Market CRASH!  https://t.co/OnzzjRRzdT
1052710829026627584 2018-10-17 19:59:54 -0400 <jaime_gasson> @harleysport12 @realDonaldTrump Wow did you come up with that thought all on your own?
1052710825990021120 2018-10-17 19:59:53 -0400 <AngelVanns> @realDonaldTrump the lefties in the FED r attempting 2 hurt the Trump economy again announcing that there mayb another increase in the interest rates, this is a deliberate attempt to slow down the economy be4 the election &amp;the President should forcibly end it
