849773645945864192 2017-04-05 19:59:59 -0400 <AuntSnoozie> @SenBobCasey @patricklee6669 @realDonaldTrump That's my Senator
849773644272349184 2017-04-05 19:59:59 -0400 <lies4trump> @Lawrence @realDonaldTrump @POTUS OBAMA inherited largest Recession since Great Depression didn't  complain ONCE TRUMPS  HUGE PUSSY WHO WANTS TO GRAB MORE PUSSY
849773643412496384 2017-04-05 19:59:59 -0400 <TNoelMiller> @realDonaldTrump u are committed to nothing but urself. The blood of those innocent Syrians is on ur hands. U r a failure. #putinsbitch
849773639691976705 2017-04-05 19:59:58 -0400 <Nick_Kerttula> @realDonaldTrump @KingAbdullahII Until I get to the top of all the reply chains...
849773635980075008 2017-04-05 19:59:57 -0400 <caporael> @realDonaldTrump @KingAbdullahII You are only deeply committed to screwing the American people and praising yourself...that's all...#shame #notmypresident
849773624198299648 2017-04-05 19:59:54 -0400 <mwalkermd> @realDonaldTrump SHE won the election. YOU are just another McKinley-bought n paid for by 0.1%
849773623787368448 2017-04-05 19:59:54 -0400 <wmr251> @NewsHour @mitchellreports @johnyangtv So sad @realDonaldTrump 's empathy for children murdered by Assad doesn't extend to the massacred Sandy Hook children. He praises Alex Jones
849773622524755968 2017-04-05 19:59:54 -0400 <KellyJoFarner> @realDonaldTrump @WhiteHouse This is so beautiful. My grandson has autism. I sure can appreciate a president that does this to create awareness. Thank you. Much love...
849773622436745218 2017-04-05 19:59:54 -0400 <StresingCathy>  https://t.co/1ECqv758gE @realDonaldTrump This is a good read. I recommend you do!
849773611892256768 2017-04-05 19:59:51 -0400 <JeffreyLuscombe> Tried of all this winning, Emperor Tiny Hands? #loser #pathetic #tinynumbers @realDonaldTrump  https://t.co/v6PBcOaq0l
849773609748967426 2017-04-05 19:59:51 -0400 <molosser415> @Cernovich @LVNancy @realDonaldTrump I'll support him if he wants a war with anybody except God.
849773607421042688 2017-04-05 19:59:50 -0400 <BellaCosetta> @GovMikeHuckabee @realDonaldTrump You are spreading false information and you know it. Is that a sin you are okay with you demented old hypocrite?! Go. Real back under a rock
849773602778091529 2017-04-05 19:59:49 -0400 <AlfradoWhite> @realDonaldTrump @john2iggs It's not Fake New! Puppet boy!
849773602341875713 2017-04-05 19:59:49 -0400 <steveahlquist> Rep @Blake_Filippi is grilling Rep @AaronRegunberg on questions of fact about @realDonaldTrump
849773591721803781 2017-04-05 19:59:46 -0400 <MJNags> @thehill @realDonaldTrump did @PutinRF_Eng give you permission to say that?
849773584113430528 2017-04-05 19:59:45 -0400 <Shazbotacus> @LoBlanc_Tirant @Cernovich @realDonaldTrump Hell it wasn't even an intentional attack. Assad's airstrike in the area earlier probably hit something they had no idea was stashed there.
849773581240332288 2017-04-05 19:59:44 -0400 <re3758> @nprpolitics @realDonaldTrump @SenateDems yet another 45 shiny object 2 distract from possible treason. Emoulements &amp; nepotism are bad enough!
849773572381962240 2017-04-05 19:59:42 -0400 <WahYawEti> @realDonaldTrump @mike_pence  wrote this many moons ago  https://t.co/x36fs1VBdI puts soldiers sacrifice in perspective
849773569102032896 2017-04-05 19:59:41 -0400 <Bill057338941> @realDonaldTrump @KingAbdullahII z
849773567973761024 2017-04-05 19:59:41 -0400 <ExploreMichael> @JERIs_world @MollyJongFast @realDonaldTrump @KingAbdullahII I have. HR 861: https://t.co/DtXTpceyLe HR 899:  https://t.co/irdTBYUPrf Internet Privacy Repeal  https://t.co/FE501ByKmu
849773567390740480 2017-04-05 19:59:41 -0400 <PaulSim11340927> @pastormarkburns @cooper__999 @realDonaldTrump @POTUS Good luck with that.
849773565411037184 2017-04-05 19:59:40 -0400 <gulistanatess> @RT_Erdogan @realDonaldTrump @theresa_may @netanyahu @PutinRF_Eng 33) Rabbim sizi birbirinize kırdırttır yok eyler. Şeytan sizi gördüğü
849773562034606080 2017-04-05 19:59:39 -0400 <Liebestropfchen> @LouDobbs @realDonaldTrump Screw that! Press charges and throw her treasonous criminal A$$ in jail!! And for God's sake don't let her retire with bennies like Lerner!
849773560851726337 2017-04-05 19:59:39 -0400 <PatriotByGod> @POTUS - Instead of welcoming these MEN refugees why not send them back to #syria to help their women fight. @realDonaldTrump  https://t.co/f8NjiJyaKu
849773558830030848 2017-04-05 19:59:39 -0400 <kachelme1> @IndivisibleTeam @DrDinD Put forward by @realDonaldTrump who is under counterintelligence investigation. In other words, he is under investigation for treason.
849773557089542144 2017-04-05 19:59:38 -0400 <CellarDoorSkep> Is this any surprise?  https://t.co/6bqL1PkX4X @realDonaldTrump
849773554673602574 2017-04-05 19:59:38 -0400 <DavidsonKL> @realDonaldTrump flip flop much?  https://t.co/1rn7gkUWCm
849773550311424000 2017-04-05 19:59:37 -0400 <anastasialk> @BBCWorld Does everyone feel bathed in the attention, and safely ensconsed in the #fiscal #responsibility of, .@realDonaldTrump? #MaraLago #Charlatan
