1217234940099801094 2020-01-14 18:59:59 -0400 <DellaMWC> @melisianyc @realDonaldTrump Exactly!!!
1217234938639990784 2020-01-14 18:59:59 -0400 <PauletteParis1> @realDonaldTrump Lev says hello! #TheEnemyIsInTheOval
1217234938472230913 2020-01-14 18:59:59 -0400 <axsacks> @realDonaldTrump 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮
1217234938229141505 2020-01-14 18:59:59 -0400 <ItsjustAOpinio1> @RealTomBergJr @sbanditzz @realDonaldTrump @stormweatherwin Trump managed to squeeze a little more growth out of the economy, but at the cost of hundreds of billions of dollars from the Treasury. That cost might be worth it if the tax cut had laid the groundwork for higher economic growth later  https://t.co/vtuK3vNdBw
1217234937700466688 2020-01-14 18:59:58 -0400 <texaradogirl> @realDonaldTrump Oh give it a rest! So what if it was in the basement? That’s evidently where they have the secure room. It was more fair than you deserve &amp; your repugnut toadies did their best to bury the truth &amp; turn the whole thing into a circus. you are good at obstructing justice. #IMPOTUS
1217234936907948032 2020-01-14 18:59:58 -0400 <AllyGallentine> @RoystonPotter @POTUS @realDonaldTrump @WhiteHouse Powell is one crooked mf
1217234936530255872 2020-01-14 18:59:58 -0400 <NancyKristjanss> @realDonaldTrump It wasn't a trial in the House you nincompoop.......
1217234936312356865 2020-01-14 18:59:58 -0400 <ramirobassi> @abobadinhoss @realDonaldTrump Con orden judicial. El FBI no es la justicia.
1217234936064643072 2020-01-14 18:59:58 -0400 <4everNeverTrump> @realDonaldTrump Hey, remember when you said you didn't know Lev Parnas?  Whoops!  (Oh, fun relevant fact: this email was in a batch of documents provided to the House Intelligence Committee by Parnas... from his encrypted iPhone.)  https://t.co/W0ARkvYbcM
1217234935955591168 2020-01-14 18:59:58 -0400 <fkess23> @realDonaldTrump It wasn’t a trial, dummy. You are very bad at this job.
1217234935532216322 2020-01-14 18:59:58 -0400 <michele90625204> @WhiteHouse @realDonaldTrump It's a wonderful thing it's a wonderful thing it's a wonderful thing
1217234935154642945 2020-01-14 18:59:58 -0400 <jamiroqueer> @realDonaldTrump Because it literally wasn’t a trial, you dildo
1217234934726787073 2020-01-14 18:59:58 -0400 <georgeelsasser> @realDonaldTrump  https://t.co/dAmzxL8PrR
1217234933162397697 2020-01-14 18:59:57 -0400 <BeeBusy23> @kylegriffin1 @realDonaldTrump How scared are you right now? #ImpeachedForLife #Impeached45 #Impeached #ImpeachedForever
1217234932701057025 2020-01-14 18:59:57 -0400 <Garymon12> @realDonaldTrump Best President ever!
1217234932281548802 2020-01-14 18:59:57 -0400 <non_fele> @okwishbone @WhiteHouse @realDonaldTrump Also you’re a terrible human being for getting glee at the thought of a person being injured by barbed wire.
1217234931396632576 2020-01-14 18:59:57 -0400 <Out5p0ken> @realDonaldTrump Always with the Quid Pro Quo.
