1103082762938986496 2019-03-05 18:59:59 -0400 <farawayeyes78> @realDonaldTrump We The People CANT WAIT to miss you
1103082758677630977 2019-03-05 18:59:58 -0400 <CheriinMS> @SpeakerPelosi @realDonaldTrump  https://t.co/vh2lKT3LU7
1103082758467919872 2019-03-05 18:59:58 -0400 <Foxrealfakenews> @realDonaldTrump The Trump Revolving Door.  People come in to work for the President,  find out how stupid he is and they quit
1103082756098056192 2019-03-05 18:59:57 -0400 <grandmoogus> @realDonaldTrump You are so juvenile, it's impossible to believe you aren't missing a few brain cells, dude.
1103082754630131713 2019-03-05 18:59:57 -0400 <torreon> .@realDonaldTrump dice ser víctima de 'acoso presidencial' demócrata  https://t.co/6j5YufPoVm  https://t.co/ZP6wyQozlR
1103082754084757504 2019-03-05 18:59:57 -0400 <KrystleReal> @DavidWohl @realDonaldTrump How's Jacob, dear?
1103082753933828097 2019-03-05 18:59:57 -0400 <bjobrit> @realDonaldTrump They are only going to catch the bottom feeders 🤡.  Be afraid @realDonaldTrump
1103082751543201792 2019-03-05 18:59:56 -0400 <StillionToni> @realDonaldTrump Reading right off a paper written for him because he can’t speak heartfelt words on his own..sad excuse for an American..He is really getting shaken over all these investigations on his wrong doing...Its all coming out slowly...
1103082751182409729 2019-03-05 18:59:56 -0400 <DonJT_be_a_dick> @NRA @realDonaldTrump  https://t.co/4iN1PpXUXV
1103082749701865472 2019-03-05 18:59:56 -0400 <helisbor> @realDonaldTrump Who is really crooked, hmmm?  Poll: 64 percent believe Trump committed crimes before presidency   https://t.co/PSE6dIon7T
1103082739769724928 2019-03-05 18:59:54 -0400 <paulbensonsucks> @NRA @realDonaldTrump sounds great!
1103082739673239554 2019-03-05 18:59:54 -0400 <Arent_u_pretty> @realDonaldTrump Stfu orangebot
1103082739295838208 2019-03-05 18:59:53 -0400 <martyandchris> @realDonaldTrump Seems as though your PUPPET MASTER PUTIN is trying to defend you!  Putin make be worried about HIS PRESIDENTIAL INVESTMENT! Hillary tried to warn us!  https://t.co/1Ov2lC2RBH
1103082738226094080 2019-03-05 18:59:53 -0400 <dlbtwig> @realDonaldTrump don't you have some kind of work you could be doing?
1103082736766672896 2019-03-05 18:59:53 -0400 <franch_ise> @realDonaldTrump #Easy win, Boss
1103082734174396416 2019-03-05 18:59:52 -0400 <azmoderate> Only those with something to hide fear full, thorough, public investigations &amp; fact finding &amp; we all know, even #MAGAts that @realDonaldTrump has a lot to hide, as do @DonaldJTrumpJr @EricTrump &amp; @IvankaTrump otherwise they'd be cooperating #maga #Collusion
1103082733922865158 2019-03-05 18:59:52 -0400 <Congoliza> @realDonaldTrump That's because that's the only thing you can get passed. No offense to the Vets out there!
