829842313807482881 2017-02-09 18:59:59 -0400 <MadalynAnders11> @realDonaldTrump 😂😂😂😂😂😂😂😂You suck!!!😂😂😂😂
829842313593626624 2017-02-09 18:59:59 -0400 <niYgnaYniYgnaY> @ReenBeanMachine  Same still happening with me. My replies to @realDonaldTrump are being disconnected or throttled.
829842313077784576 2017-02-09 18:59:59 -0400 <bigwheelsusa> @realDonaldTrump   Rewrite The Executive Order...
829842312972886021 2017-02-09 18:59:59 -0400 <TakeAHint17> @realDonaldTrump news flash: YOU LOST. take a hint, fascist. this is the land of the FREE and you're not going to change that. #loser #sad
829842312821764096 2017-02-09 18:59:59 -0400 <playboyblonde> @KSimm05 @RealDonaldTrump This mother fucker is trippin Hardcore... Also, What grown man types in all caps?...
829842312083681280 2017-02-09 18:59:59 -0400 <madlori> @realDonaldTrump Wait, what happened to "you lost, get over it?"
829842311836229632 2017-02-09 18:59:59 -0400 <AugrEdmonton> @jules_su @realDonaldTrump HE'S SOOOOOOOV MAD!!! Did u think he accepts no. I say he will start in on the Judges. He truly is insane.
829842311660052480 2017-02-09 18:59:59 -0400 <Jlyn_BevilleLu> Imagine what @BarackObama wld have been subjected 2 had he shown such wanton disregard 4 law as the sexual deviant @realDonaldTrump shows
829842311655743488 2017-02-09 18:59:59 -0400 <KristinaHoerler> @AynRandPaulRyan @realDonaldTrump Thank you for posting that. His blind followers keep saying the Hitler comparisons are liberal propaganda
829842311135756288 2017-02-09 18:59:59 -0400 <WyattPreston> @realDonaldTrump hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
829842311123070976 2017-02-09 18:59:59 -0400 <popsiclebuck> @realDonaldTrump we'll see you in impeachment hearings #LiarinChief #showusyourtaxes
829842310993059840 2017-02-09 18:59:59 -0400 <Letitb55Sparkle> @seanhannity @POTUS @realDonaldTrump  https://t.co/2OK4pTbgNz
829842310951292928 2017-02-09 18:59:59 -0400 <MDomangue> .@realDonaldTrump is starting to remind me of Sim City 2000.  https://t.co/PhtiuxyeWZ
829842310590509056 2017-02-09 18:59:59 -0400 <DjDieselboy> @MUSTDIEmusic @realDonaldTrump he's already "defiant" apparently.
829842310435368960 2017-02-09 18:59:59 -0400 <nena_pj> @senrobportman @MikePenceVP @KellyannePolls @AC360 @realDonaldTrump @SenJohnMcCain @LindseyGrahamSC @JOEL9ONE  would have loved ur win
829842310057693184 2017-02-09 18:59:59 -0400 <ConstanceOdea> @realDonaldTrump I @Constance O'Dea will be by your side/take them to court/protect us Americans. Stand strong for us all.
829842309885747200 2017-02-09 18:59:59 -0400 <phaemarie> @realDonaldTrump love trumps hate &lt;3
829842309705523200 2017-02-09 18:59:59 -0400 <dsmith7777> @realDonaldTrump how's that working out?
829842309411921920 2017-02-09 18:59:58 -0400 <LovingMyLake> @realDonaldTrump Huh. You must be tired of all this winning! Ha! LOSER.
829842309403467776 2017-02-09 18:59:58 -0400 <fossen> @realDonaldTrump If you protected our Constitution with half the passion you spent on this tweet, you could be a good President.
829842309227360258 2017-02-09 18:59:58 -0400 <martkatz1> @realDonaldTrump you will lose there as well.
829842309214793729 2017-02-09 18:59:58 -0400 <iamconcernedci1> @realDonaldTrump I thought you stated, within the last couple of days, you wanted to delay the Muslim ban for a month?!  Was that FAKE NEWS?
