1021183106265608192 2018-07-22 19:59:59 -0400 <prehmbo> @TomFitton @SusieQ86559035 @realDonaldTrump A Kevin would say duhhhh  https://t.co/afphbPjG1f
1021183105992921088 2018-07-22 19:59:59 -0400 <bidniz_nunya> @SCalaisS @realDonaldTrump   https://t.co/t9rJe5YZQp
1021183105304948737 2018-07-22 19:59:59 -0400 <Carolyn81933632> @ColMorrisDavis @realDonaldTrump All 3 and then some!
1021183104378122242 2018-07-22 19:59:59 -0400 <AmberThomasson1> @realDonaldTrump Maybe because you threatened to contest any results that didn't go your way?  https://t.co/1sKujb22h3
1021183103988092929 2018-07-22 19:59:59 -0400 <MamaDawg205> @realDonaldTrump   https://t.co/Kb7OOaXQnS
1021183102859849728 2018-07-22 19:59:59 -0400 <revyoungskim> @realDonaldTrump We still give thank to the Lord God for the man Obama who is no longer with us. Amen.
1021183102452809729 2018-07-22 19:59:58 -0400 <SuzanneCDavisH> @realDonaldTrump @AprilDRyan A tired boring argument. Also a lie
1021183101207293952 2018-07-22 19:59:58 -0400 <Kellin13> @realDonaldTrump This again? You were told by the FBI, you were warned repeatedly. You chose to hire multiple people with known Russian ties. President Obama worked with Congress to create sanctions, expelled multiple Russian diplomats, and closed down 2 embassies. WTF are you talking about?
1021183100657774592 2018-07-22 19:59:58 -0400 <Vigilante3591> @realDonaldTrump @VP @StateDept @WhiteHouse @PressSec @IvankaTrump @dcexaminer @foxandfriends @ABC @CBSNews @NBCNews @GuardianUS @FoxNews @latimes @Latinos4Trump16 @Veteran4Trump @US_Army_Vet @nypost @NYDailyNews @AP
1021183096492908544 2018-07-22 19:59:57 -0400 <tootawni> @realDonaldTrump Keep tweeting. But like Reagan you should have a Prime time address from the oval office. Lay out the facts. Have charts with time lines and who was connected to what. See if they ignore you.
1021183096371245056 2018-07-22 19:59:57 -0400 <RebeccaMurdock6> @WeThePopulists @rocksiphone @realDonaldTrump You forgot MKUltra and project mockingbird.
1021183095138136065 2018-07-22 19:59:57 -0400 <babuji_philip> @realDonaldTrump @mike_pence Thanks for the guarantee for his defeat !
1021183094894878721 2018-07-22 19:59:57 -0400 <BlueBax1> @Di_719 @realDonaldTrump Can't wait for THAT Greaseball to be behind bars.
1021183091820433408 2018-07-22 19:59:56 -0400 <ash_deez> @PaulMayATL @realDonaldTrump #LockThemAllUp #Obamagate #ManchurianPresident #Pedogate #LiarLiar #Corruption #DeepState #Luciferians #SpiritCooking #FoundationCoverUps #MoneyLaundering #ClintonFoundation #ClintonCrimes #QAnon #WalkAway  https://t.co/dJRtHvSRxO
1021183086875119616 2018-07-22 19:59:55 -0400 <bohopo3> @realDonaldTrump Something bothering you Chump? WHERE’s the CHILDREN, I V Y?
1021183085201756160 2018-07-22 19:59:54 -0400 <PJHOGRIDER> @tsartw1 @MADELWELL @realDonaldTrump @harleydavidson Please share your statistics showing the recent tariffs have caused HDs financial issues.   #MAGA  #WalkAway  #
1021183084610215937 2018-07-22 19:59:54 -0400 <calengineer1981> @Rightwingmadman @realDonaldTrump Grand Old paranoids
1021183084174217217 2018-07-22 19:59:54 -0400 <La_arma_viva> @realDonaldTrump Trust me, the nation wishes @BarackObama acted back then and saved this country a bunch of grief from your presence.
1021183083435864065 2018-07-22 19:59:54 -0400 <LRockriver> @realDonaldTrump ❤🇺🇸❤🇺🇸❤🇺🇸❤🇺🇸❤🇺🇸❤ #MAGA #MASA #MAFA 👍🏼 #MakingAmericaGreatAgain 💪🏻  https://t.co/vsWEcTCgHq
1021183082617950209 2018-07-22 19:59:54 -0400 <marykathrynrub1> @realDonaldTrump You’re such a deceiver, and so mistaken to think we are stupid! You shame us all ( said the disheartened four generation Republican, when you try to manipulate facts; Carter Page, this time.)
1021183079975735301 2018-07-22 19:59:53 -0400 <parallelarts> @funder @realDonaldTrump #ImpeachTrump #25thAmendmentNow #ShamPresidency
1021183079111708673 2018-07-22 19:59:53 -0400 <krtmd> @realDonaldTrump Trump is lying. Again.   #LiarInChief #TrumpRussia
1021183078839078912 2018-07-22 19:59:53 -0400 <allthreeduffs> @JulianCastro @anorganizedmom @realDonaldTrump Thanks. Needed this today. Hope.
1021183078264463360 2018-07-22 19:59:53 -0400 <KenMillard2> @realDonaldTrump   https://t.co/MVuSi6hOpx
1021183078084079621 2018-07-22 19:59:53 -0400 <jilldeedee> .@realdonaldtrump! 🎶You're the Pup-pet!  YOU'RE the PUP-PET!!🎶😋
1021183077245235200 2018-07-22 19:59:52 -0400 <snoel123> @realDonaldTrump #ReleaseTheTrumpTapes
1021183075768815616 2018-07-22 19:59:52 -0400 <RobertFHiggins> @realDonaldTrump   https://t.co/ueIFjaDy6j
1021183075114520576 2018-07-22 19:59:52 -0400 <hexican> @Pteratorn @donwinslow @realDonaldTrump @ICEgov @DHSgov Agree. I think you can draw a line from the top all the way to all the permitpatties. A certain group now feels empowered and justified in their racism.
1021183072824446977 2018-07-22 19:59:51 -0400 <sbtkd> @funder @realDonaldTrump To all protesters: thank you !!! #ITMFA
1021183072614707200 2018-07-22 19:59:51 -0400 <Di_719> @realDonaldTrump Wasn't it so patriotic for  @LindseyGrahamSC &amp; @marcorubio to threaten sanctions on Russia AFTER they hack the #Midterms2018? NEVER EVER forget they both voted against protecting our elections just this week.  https://t.co/NmK9S8BEQr
1021183071045980161 2018-07-22 19:59:51 -0400 <DedRabbitt> @realDonaldTrump You are losing it.
1021183067501879297 2018-07-22 19:59:50 -0400 <bamabulldog21> @realDonaldTrump He didn't have to. You were told during your intelligence briefing pre election, both as a primary candidate and later as a candidate for President. You were shown the actual documents proving it is true. You were also warned about this...  https://t.co/4N2WXbEebe
1021183067220688896 2018-07-22 19:59:50 -0400 <BillMendocino> @TrumpStudents  You lied about losing followers, you passed the @realDonaldTrump test.
1021183066356834304 2018-07-22 19:59:50 -0400 <MeCountryFirst> @IndivisibleNet @realDonaldTrump The warrant they got was for Carter Page. Again the document used to obtain the warrant was funded by Hillary. Why didn’t the fbi warn trump about page?  Crazy shit!
1021183066058907648 2018-07-22 19:59:50 -0400 <billyjack2016> @Ms_TeeWiz @BeyondBlonde3 @realDonaldTrump And so r u - with every tweet! 👌
1021183065689903104 2018-07-22 19:59:50 -0400 <MVYRD> @robyns323 @dinky1201 @ResistGirl7 @realDonaldTrump No, they absolutely refused to have anything to do with him. Two million people petitioned parliament, to keep him out of the country. Parliament agreed but determined they could not prevent him from entering the country. Prince Phillip would not take on any public royal duties
