991467300313358336 2018-05-01 19:59:59 -0400 <greatriverlady> @realDonaldTrump #liarliarpantsonfire  https://t.co/FRlhpGefG8
991467297511493639 2018-05-01 19:59:58 -0400 <JWillette1805> @SteveHusker @realDonaldTrump @ArmyWP_Football @WhiteHouse   https://t.co/WgTfwShBUC
991467297310236673 2018-05-01 19:59:58 -0400 <bgmama58> Finally a list of Trump’s lies and it’s still growing! @realDonaldTrump is a very mentally sick compulsive LIAR! Sad!  https://t.co/WkSXEzyFYG
991467296836104192 2018-05-01 19:59:58 -0400 <nonconfromist> @AuthorKimberley @realDonaldTrump And those will be the nice things they will say about him.
991467284907593728 2018-05-01 19:59:55 -0400 <bigdaddyoldsch2> @smerconish @realDonaldTrump The surprises are called follow up questions. That's when they bring the heat.
991467283909349376 2018-05-01 19:59:55 -0400 <Bluesushi914> @realDonaldTrump @ArmyWP_Football @WhiteHouse Presented by a Draft Dodger!
991467281862410240 2018-05-01 19:59:55 -0400 <swoffer> @JacobAWohl @realDonaldTrump @WhiteHouse   https://t.co/0s2LxlcOWJ
991467281082445824 2018-05-01 19:59:55 -0400 <welovetherays> @realDonaldTrump how’s the PROPECIA!
991467279564107776 2018-05-01 19:59:54 -0400 <trebor_keeper> @2runtherace @realDonaldTrump And they blamed RUSSIA for interference...and rigging the election. Time to take them down !President ,you've got the power and the  https://t.co/HsB5afq9dN it!!
991467278154821632 2018-05-01 19:59:54 -0400 <Lukuion> @realDonaldTrump @ArmyWP_Football @WhiteHouse Nothing you do is honorable, and there is no honor in anything you do.
991467275268931584 2018-05-01 19:59:53 -0400 <HBwriterMike> All this advice to @realDonaldTrump from do nothing former Presidents, cabinet members, Admin on MSM right now re #KoreanPeace - “Do this, this, this and this”...which we couldn’t pull off for the last 3 Administrations.
991467274262515713 2018-05-01 19:59:53 -0400 <GregoryWorkma11> @roseann_cannon @WhiteHouse @POTUS @WestPoint_USMA @realDonaldTrump So deluded. Facts are in Our President Trump has done far more for Us We The People than others. Many examples.
991467269132709894 2018-05-01 19:59:52 -0400 <hessianchef> @realDonaldTrump Just keep repeating it. It's how OJ convinced himself he wasn't a killer.
991467266159120384 2018-05-01 19:59:51 -0400 <natbotkov> @realDonaldTrump Yes.  The things you have been doing are unthinkable.
991467265085263872 2018-05-01 19:59:51 -0400 <Flo_kater> @realDonaldTrump You’re afraid of mueller, admit it. You’re too afraid to talk to him and too big of a coward. If not, and if you had nothing to hide, you’d sit down and talk. That’s also why you have the losers @HouseGOP do all of the work to discredit it. You act tough but are afraid!!
991467259892785160 2018-05-01 19:59:49 -0400 <three_maries> @SpiritOnParole @realDonaldTrump   https://t.co/dttCBMjrBI
991467258844102656 2018-05-01 19:59:49 -0400 <Hummingbird_75> I don't believe those will be all of the questions, or not the questions at all ! @realDonaldTrump  even so, wait for question 50 and beyond because you have no clue of the Justice System, et al. (I wont give you hints), oh ya....Tell Truth, I see you lie to often !  https://t.co/qjWzNK7wAF
991467258802192384 2018-05-01 19:59:49 -0400 <rleon510> @Wm_Swadley @FowlerNed @Richlouis7 @PoxNewsCEO @UnroeEdward @realAlanMuller @realDonaldTrump Poor ned...  https://t.co/Zr8Q2nsS9W
991467256310837248 2018-05-01 19:59:49 -0400 <trumpsucks1960> @FoxNews @DonaldJTrumpJr @VP  https://t.co/DxILKVxfTL #potus #trump #MAGA #news @realDonaldTrump @nikkihaley @seanhannity @DonaldJTrumpJr @Cabinet @newtgingrich @SenJohnMcCain @RandPaul
991467252108222469 2018-05-01 19:59:48 -0400 <jpalmer79> @realDonaldTrump Investigating is attempting to determine if justice measures are needed. You obstructed justice by attempting to obstruct said investigation. 🙄#TrumpIdiot
991467250811977729 2018-05-01 19:59:47 -0400 <nevergop33> @realDonaldTrump @GOP  https://t.co/2S0vMPBgSA
991467249230807040 2018-05-01 19:59:47 -0400 <Jerusal53393006> @longislanddon @pastormarkburns @realDonaldTrump I am not giving Putin the power he craves. Illegitimate president @realDonaldTrump is.  For example, The Iran deal Trump claims to hate? Putin wants it dissolved. lol
991467248287125504 2018-05-01 19:59:47 -0400 <JulieRe35686708> @CobraGT44 @omimargo @HoarseWisperer @realDonaldTrump Dear lord what country are you tweeting from? Not USA. EPA defunct and admin destroying it. Dept of Ed. Crazy lady who hasn't a clue in charge. All  admin. Spending money on trips &amp; luxuries with no regard to taxpayer money. Collusion, collusion, collusion. Unless you're Russian?
991467244793278464 2018-05-01 19:59:46 -0400 <RSchultEdit1995> @realGingerKelly @SteveHusker @realDonaldTrump @WhiteHouse Are you snorting condoms? You don't seem lucid.
991467244348755968 2018-05-01 19:59:46 -0400 <ranchcirclec> .@realDonaldTrump Here is how you should handle the Mueller questioning.  M-Mr. Trump, may I have your full name.  T-I take the 5th.  M-May I have your date of and place of birth?  T-I take the 5th.  5th for all. Hey, don't laugh, it worked well for Obama.
991467243308503040 2018-05-01 19:59:46 -0400 <robbiegj11> @realDonaldTrump You are still an idiot.
991467241731325952 2018-05-01 19:59:45 -0400 <evrynite_> @karmica @PoxNewsCEO @MtnLvr5 @MarkDice @realDonaldTrump Move away from here, far far away!
991467240737386496 2018-05-01 19:59:45 -0400 <debleg58> @RepSwalwell @realDonaldTrump Eric would you please run for President.  You are honest and so nice
991467237436526592 2018-05-01 19:59:44 -0400 <dkallenborn26> @Lady_Sisyphus22 @chrislhayes @realDonaldTrump There are lots of criminals here.
991467236312350732 2018-05-01 19:59:44 -0400 <carrsdad11> @AprilDRyan @POTUS @realDonaldTrump @NRA @WhiteHouse @PressSec Nooooo....  let him talk.   The more that he talks.  https://t.co/7ViBZBo43P
991467232143306754 2018-05-01 19:59:43 -0400 <Bartlikescats> @BoscoBoss @CSPI @realDonaldTrump @MargoWootan @Eat_Sip_Trip Almost anything CSPI says is dubious at best read what Maureen Ogle had to say about them.
