856659012862976000 2017-04-24 19:59:59 -0400 <Still_I_Stand62> @realDonaldTrump No wall, infrastructure
856659001618173952 2017-04-24 19:59:56 -0400 <Paleoturkey> @realDonaldTrump @potus  https://t.co/QDywRvfD61
856659000657670144 2017-04-24 19:59:56 -0400 <jasonbaum> @RhutaBhayga @realDonaldTrump  https://t.co/0pwox8mNNY
856658999445524480 2017-04-24 19:59:56 -0400 <Tye_Born1Hundid> @realDonaldTrump i guess its something to have a debate on u not going get that done fast
856658996706648065 2017-04-24 19:59:55 -0400 <DeplorableNew> @janedmunds @MyPugGrumble @Jeffdavis612 @Schroedergirl79 @Marymac6 @VybeyPantelonez @tlacotwitt @FoxNews @realDonaldTrump Even though I don't agree with you, it was good conversation! Have a good evening!
856658995536330752 2017-04-24 19:59:55 -0400 <kchivzzz> @realDonaldTrump @WorldJewishCong What about the Armenians?????
856658983456722944 2017-04-24 19:59:52 -0400 <Shaeslife> @debrakj @joncoopertweets @realDonaldTrump @c0nvey YAY Check it out people  https://t.co/nqXAxWEmqE …👏👏👏
856658976758431744 2017-04-24 19:59:50 -0400 <bobbiemomma47> @whateverwesay @SenatorShaheen @realDonaldTrump You're wrong. Or didn't read properly. The article was exclusively about foreign aid.
856658976745951236 2017-04-24 19:59:50 -0400 <Ironbutterfly55> @PrincessBravato @realDonaldTrump DEA reports 95% drugs come by water not land!😎😎  https://t.co/LVpPvdJu0E
856658966767476737 2017-04-24 19:59:48 -0400 <Christi46119463> @WaltFrench @realDonaldTrump they can't tell us.  I heard it read and it is bad.  His supporters have blind faith though.
856658966180503552 2017-04-24 19:59:48 -0400 <Drumgal81> @realDonaldTrump You are a #delusionalpos. #GOFYOURSELF
856658965433913344 2017-04-24 19:59:47 -0400 <krunklebenj> @realDonaldTrump @WorldJewishCong You've become irrelevant in our household. You're my president but I have tuned you out. Hopefully we can elect a true conservative in 2020.
856658953589207046 2017-04-24 19:59:45 -0400 <cgbrandy1> @realDonaldTrump Your delusional fascist social path
856658950065840128 2017-04-24 19:59:44 -0400 <eurotechnocrat> @realDonaldTrump Normal Americans do the work, politicians take the credit
856658948824248321 2017-04-24 19:59:44 -0400 <mimislo> @realDonaldTrump Just got my daily dose of humiliation as you disgraced our astronauts. Glad your NASA advisor @IvankaTrump was on hand. SMH
856658948304248832 2017-04-24 19:59:43 -0400 <jorgeAmontoya1> @arathcamacho23 @realDonaldTrump El del wey de Pac-Man está chingon eh
856658941538746369 2017-04-24 19:59:42 -0400 <halbuddy> @TPUSA I'm glad you agree.  @realDonaldTrump is perhaps the most corrupt President the country has ever had.
856658940213329920 2017-04-24 19:59:41 -0400 <wyldflowr> @Impeach_D_Trump @realDonaldTrump Better if he  doesn't!!!
856658939487956992 2017-04-24 19:59:41 -0400 <SchonhoS> @realDonaldTrump You know who will probably be the next candidate running against you-your best campaign message You dont want to be sociali
