933847631180255232 2017-11-23 18:59:59 -0400 <AuntieShaz1> @SheriffClarke @realDonaldTrump Oh, for God's sake, give it a rest would you? 🙄
933847630723117056 2017-11-23 18:59:59 -0400 <bigjfaz> @realDonaldTrump Sorry the only one good at obstructing is you
933847625639399425 2017-11-23 18:59:58 -0400 <CamilleAlsup> @realDonaldTrump you are a hypocrite and a vile predator like the 3 bosses that exposed themselves to me and groped me because like you, they felt they could do anything"! #MeToo  https://t.co/hgN82xE4ti
933847625476071426 2017-11-23 18:59:58 -0400 <delroy777> @r_little_finger @realDonaldTrump You guys and your lies are so pathetic.  Go pray, you really need Jesus
933847623336910849 2017-11-23 18:59:58 -0400 <lann111> @ItchenTimarm64 @FrankKern20 @realDonaldTrump You’re to gleeful...I wonder why you care Russian bot.  I’ll have to call it  #TrumpsDeathCarecomingback
933847620606480384 2017-11-23 18:59:57 -0400 <SerenaGreene_IP> @garyatmaui @AliCologne @realDonaldTrump Sounds like you are talking high deductible bronze family plan that after the deductible is meet costs are covered. Covers my doctors, specialists, and all my medications. For me that plan makes sense. For someone else they should take a different plan.  I had 48 to look at.
933847618618355712 2017-11-23 18:59:56 -0400 <Topher_Lane> Anybody else think that @realDonaldTrump misread “Haitians” as “haters” when he decided to kick them out of the country for no good reason?
933847618010206208 2017-11-23 18:59:56 -0400 <IStand_GenX> @a_fly_guy @realDonaldTrump You forgot to add your pink pussy hat to the pic
933847616558977025 2017-11-23 18:59:56 -0400 <klschmidt1309> @peplamb @realDonaldTrump Donald Trump doesn't believe in God. He only believes in the false god he sees in the mirror every morning.  https://t.co/akNhjRgbCZ
933847616173068291 2017-11-23 18:59:56 -0400 <ScottHebb2> @realDonaldTrump Lol your own party can’t even get the votes
933847611886440448 2017-11-23 18:59:55 -0400 <MarcoRvt2857> @TravisAllen02 @SoMeMediaInc @realDonaldTrump Stop Yelling!!!
933847610250682373 2017-11-23 18:59:54 -0400 <DynaneSpencer4> @realDonaldTrump TRUMP U HAVE TO LISTEN OR U WILL HAVE ME ARRIVE OUT OF THIS MY FIRST BOY TOY EATHYLYZEEZZZ AND EAT ME AND WHERE U ?
933847606500974592 2017-11-23 18:59:54 -0400 <BadRealityShow1> @realDonaldTrump Really???? Why don't you take the day off??? I mean we have to pay for your trips so make it worth our while and give us a break from you.
933847602600214533 2017-11-23 18:59:53 -0400 <estabrookslp> @realDonaldTrump hey, you suck
933847601748865032 2017-11-23 18:59:52 -0400 <alexizedM> @washingtonpost What i want for thanksgiving day isn’t fried Turkey, but fried Flynn and fried @realDonaldTrump and his treacherous family..Thank you Mueller on this thanksgiving day
933847601270554624 2017-11-23 18:59:52 -0400 <1953brenda> @VicenteFoxQue @realDonaldTrump Thank You Mr. President! I 💘 ur tweets to our illegitimate bought by Russia to destroy the USA by lessening us. Hes succeeding.
933847600427651074 2017-11-23 18:59:52 -0400 <WeWantRomo> @83TWill83 @realDonaldTrump How is it racist to want to enforce border security? I'll wait 🤔
933847598858825728 2017-11-23 18:59:52 -0400 <keahiulu> @realDonaldTrump @USCG Do you ever not sound like a idiot when you talk.
933847597738946560 2017-11-23 18:59:52 -0400 <CCFreemanIII> @realDonaldTrump All I want for Christmas is a Donald tRump indictment!  That is all I want!  That is all I want!  All I want for Christmas is a Donald tRump indictment!  Yes sir-eeeeeeeeeee!!!  Yes sir-eeeeeeeeeee!!!  Thanks tRump and thank you tRyan and tMcConnell too!
933847596770168835 2017-11-23 18:59:51 -0400 <travelingjam> @realDonaldTrump Thanks Obama
933847595209904128 2017-11-23 18:59:51 -0400 <angrywhitewmn6> @realDonaldTrump #TrumpLies Record signups, despite your sabotage. Resign
933847593599324161 2017-11-23 18:59:51 -0400 <knitvspurl> @realDonaldTrump Premiums went up because of YOU &amp; your #GOPLies. YOU created instability in the market that would not otherwise have occurred. YOU ae KILLING people. YOU own this. Good news, though - sign-ups for ACA plans are high, breaking records every week so far.
933847591179161602 2017-11-23 18:59:50 -0400 <RealT_Raw> @Ids0o0_ @realDonaldTrump Sorry... **Very well off**
933847590742851584 2017-11-23 18:59:50 -0400 <CarlosFalchizgo> @Testypolka @VanWalker67 @realDonaldTrump I don’t know what you know just what you don’t know 😂
933847590294003712 2017-11-23 18:59:50 -0400 <Eskimo_inuk> @realDonaldTrump Theres no peace in this so called man
933847588893110274 2017-11-23 18:59:49 -0400 <Honeybelle7> Try not to choke down that turkey, @realDonaldTrump. Savor every bite. I heard the stuff they give you in Supermax isn’t quite as tasty.  https://t.co/g565dPWXnn
933847588654276609 2017-11-23 18:59:49 -0400 <hrhjmm> @larryelder @HardballChris @realDonaldTrump Where Chris sees a Black guy, the rest of us see bad parenting. Why is Chris such a racist?
933847588389888000 2017-11-23 18:59:49 -0400 <Michaelprice888> @cgalgale Modi and his HinduTerrorist used to tell the truth. But the PAK raid on Panthankot was a Military and political disaster. All propaganda since then. Mostly lies and misstatements of the truth. Regime change not up to me. But, backstabbing @realDonaldTrump hurts USA.
933847586292817920 2017-11-23 18:59:49 -0400 <memawmarie> @PalmerReport @cottone_robert @realDonaldTrump People are being put into Obamacare by state representatives not by a personal application the rest are undocumented visitors not paying
933847585978224640 2017-11-23 18:59:49 -0400 <JusstinaRivera> @ShafPatel @realDonaldTrump   https://t.co/JSXyVnNH07
933847584623472646 2017-11-23 18:59:48 -0400 <zzzootzzz> @DissonantG @ItchenTimarm64 @FrankKern20 @realDonaldTrump Maybe but at least with intelligent and enlightened thought behind it
