863181995425312768 2017-05-12 19:59:59 -0400 <Steve11607807> @realDonaldTrump @sianbennett12 How can anyone take this man seriously
863181992434728961 2017-05-12 19:59:58 -0400 <waltermunevar> @monik_soto @realDonaldTrump @marcorubio @juanmansantos es tan traicionero que Judas fue discípulo suyo.
863181992204087296 2017-05-12 19:59:58 -0400 <BlueFLChick> @POTUS @realDonaldTrump @FLOTUS   Help Melania!!  https://t.co/kAJuWQZa94
863181990677291008 2017-05-12 19:59:58 -0400 <MichaelSpreen> @realdonaldtrump @maddow @Lawrence Donald Trump : the boy who lied "Wolf"
863181987862925313 2017-05-12 19:59:57 -0400 <jsayler> @VP  . @realDonaldTrump  @POTUS  .   https://t.co/FnXnEPbdzX
863181983442022400 2017-05-12 19:59:56 -0400 <Ut_Redbeard> @realDonaldTrump  https://t.co/ugigPowTEB
863181978773880832 2017-05-12 19:59:55 -0400 <frostrobert6251> #realDonaldTrump #POTUS @realDonaldTrump @POTUS  CO 2 evidence.  https://t.co/J3gc7b7Jfl
863181978719399937 2017-05-12 19:59:55 -0400 <KerinWatson> @mulholland_eric @packersbest301 @ihearthk4 @ALT_uscis @realDonaldTrump @RoguePOTUSStaff Trumpy gets all his information from Fox. He prefers it to intelligence briefings. You quoting Trumpy is the same as quoting Fox.
863181974999113730 2017-05-12 19:59:54 -0400 <25thAmendTrump> @SarahHuckabee from just bef. the 2016 Election. Hahahahaha!  #TrumpRussia @realDonaldTrump #Trump #Resist #ComeyFiring #Comey  https://t.co/P9MxV19WgX
863181974982283264 2017-05-12 19:59:54 -0400 <OriejiI> @realDonaldTrump @RealAlexJones YOU CAN DO IT.........  https://t.co/tjlbBZTjHT
863181974302752768 2017-05-12 19:59:54 -0400 <TheResistery> Hey @realdonaldtrump ...check it out. You can resign in under 140 characters. It's Twitter friendly. You’re welcome #TheResistance #Ω  https://t.co/lC9UlfIho3
863181972046323712 2017-05-12 19:59:53 -0400 <MeriShery> @Lunaseesall @KDWilliams10 @singledadstatus @babisson @mojojo9209 @jpchavez @Simon_Bravery @realDonaldTrump Trump pivotes from one position to the opposite even in mid-sentence &amp; says the most obvious lies. He even forgot his signature promises
863181971681366016 2017-05-12 19:59:53 -0400 <truthsearch1957> #Maryland #SCOTUS Trumps @Senate @jaredkushner @realDonaldTrump White House @POTUS @Congress @KellyannePolls @SCOTUS @FLOTUS @IvankaTrump  https://t.co/6sGyxXfC3p
863181970670538752 2017-05-12 19:59:53 -0400 <trh> @realDonaldTrump Yes, but we're also going to let them sell chicken (e.g. rats) here.
863181964706279426 2017-05-12 19:59:52 -0400 <Nicci_B85> @realDonaldTrump Look at OUR President celebrating children who will be the future of OUR great Country!!
863181961304702977 2017-05-12 19:59:51 -0400 <newfire24> @MaxineWaters @realDonaldTrump You are a true Demon spirit. you and all of your racist cohorts need to be delivered from your DELUSIONS. GET OVER IT JESABEL
863181958112727041 2017-05-12 19:59:50 -0400 <SouSou1106> @TParker1961 @realDonaldTrump they will get pills from a cabinet, and then they get into heroin-those drug dealers/drug gangs need to be taken down.
863181956758085632 2017-05-12 19:59:50 -0400 <DanLow13> @Singapore95 @realDonaldTrump #PeaceIsWar #1984 #merica #Resist
863181948696571905 2017-05-12 19:59:48 -0400 <LizKincaid1> @realDonaldTrump Cheater Trump
863181938294706176 2017-05-12 19:59:45 -0400 <Chaos2Cured> @JamesMu63151819 @coniks2 @harper_herry @GioBenitez @realDonaldTrump @CongressmanRaja What you just said it is a very powerful statement. Wish you nothing but health and happiness.
863181931713896448 2017-05-12 19:59:44 -0400 <ChicagoBeerSnob> @takerfan4Life1 @NikLentz @German_Killua @realDonaldTrump Repeat failed talking points, blame failures on everyone else, while claiming everyone else should have personal responsibility.
863181927855124481 2017-05-12 19:59:43 -0400 <trapshooter711> @realDonaldTrump and we will do it again.......got that  stupid dems??????
863181926059962368 2017-05-12 19:59:42 -0400 <Umpire20> @killerbee805 @realDonaldTrump @VanJones68 @MarthaStewart Sounds like @realDonaldTrump really is #PutinsPuppet
863181924327710720 2017-05-12 19:59:42 -0400 <jvgsunflower> @realDonaldTrump That certainly may help you keep track of  all the lies you've told...
863181922029195264 2017-05-12 19:59:42 -0400 <RCleve64> @realDonaldTrump Who cares move on already
863181915934924800 2017-05-12 19:59:40 -0400 <This_is_DMS> Calling the kettle black. With a list a mile long of improprieties @realDonaldTrump has audacity to bring this up.  https://t.co/Hlxz44b32g
