847961703199506432 2017-03-31 19:59:59 -0400 <campaignful> @realDonaldTrump   https://t.co/g1DRubfLys
847961700510744577 2017-03-31 19:59:58 -0400 <ronagohard> @john_jwinecoff @Tooda @realDonaldTrump *Ivanka
847961696140488706 2017-03-31 19:59:57 -0400 <MikePred> The Russia/Flynn/Freedom Caucus vortex of questions and tension at the White House @realDonaldTrump #fakenews -NOT  https://t.co/U1cqZFJx1y
847961695171379200 2017-03-31 19:59:57 -0400 <PublcSchoolSwim> @realDonaldTrump - Your relationship with Russia is working, both you and Putin using term "Fake News".  Gotta love Vlad!
847961694584295426 2017-03-31 19:59:57 -0400 <MidCoastResist> Traitor @realDonaldTrump colluded with Russian intelligence to undermine our election. Arrest the asshole and put Hillary in office.
847961691627429889 2017-03-31 19:59:56 -0400 <KellyIris19> @ThisisSabrina @Billy_Rath @crehage @realDonaldTrump Yes, they have LIBERAL monitors on duty 24/7 to do just that, thank God
847961691484717061 2017-03-31 19:59:56 -0400 <ibrmshoib> Pres @realDonaldTrump did NOT sign 👇  https://t.co/d8JxnOgFFr
847961684257984512 2017-03-31 19:59:54 -0400 <narclaw> @realDonaldTrump Not just a woman, Dr. Condoleezza Rice. I hope you will listen to advice from her and others - you need true &amp; intelligent guidance.
847961684136402944 2017-03-31 19:59:54 -0400 <geekygirl5672> @RJSzczerba @realDonaldTrump I was confused when #Trump picked 'My Way' 4 their 1st dance. I guess he knew his days were #d. He can play it again as he gets kicked out
847961681586262016 2017-03-31 19:59:53 -0400 <esslinger62> @ABCWorldNews @SteveOsunsami Russians in collusion with @realDonaldTrump blew up a bridge
847961669758103553 2017-03-31 19:59:51 -0400 <qiweiatau> @TurnbullMalcolm @JulieBishopMP @realDonaldTrump @cpyne @mike_pence Taste Great!  https://t.co/A1AKtR4tn9
847961666654527493 2017-03-31 19:59:50 -0400 <annettakygirl> @realDonaldTrump I have a great idea, release your tax returns.  I bet this will make everything better
847961665698054145 2017-03-31 19:59:50 -0400 <sicular> @Lauriemac916 @CNN @realDonaldTrump #LeftistLunacy knows no bounds! Everyday, #LibTards keep proving how moronic they truly are!
847961662283948032 2017-03-31 19:59:49 -0400 <AppleMcVicker> @POTUS @realDonaldTrump @IvankaTrump @SenateGOP @SenWarren @SenSanders @SenJohnMcCain Administration of Crooks😡😡  https://t.co/9MuSzGls2s
847961654918877189 2017-03-31 19:59:47 -0400 <daleducko29> @realDonaldTrump you're so right. We're all about to see our FAKE PRESIDENT in handcuffs. Can not wait!!!!
847961649386356736 2017-03-31 19:59:46 -0400 <amanda31341367> @AynRandPaulRyan @realDonaldTrump Sry dear but the sun has risen and the devils day is done. Good bye.
847961641119567872 2017-03-31 19:59:44 -0400 <bthurnau> @realDonaldTrump I can’t wait for automation to take over manufacturing removing 30% of the workforce so you look like more of an ass
847961638502375432 2017-03-31 19:59:43 -0400 <solonl2001> @realDonaldTrump  https://t.co/F1PPQ4iM9X
847961638133264384 2017-03-31 19:59:43 -0400 <buildthewall100> @nedgill3 @realDonaldTrump FAKE NEWS
847961635448815616 2017-03-31 19:59:42 -0400 <sandfiddler1> @tribelaw @Merri__Magic @realDonaldTrump From crazy gov. to theocracy.  How will anyone write this in the history books?
847961628738039809 2017-03-31 19:59:41 -0400 <DDeniseJ1> Nerves on edge @realDonaldTrump  https://t.co/rA8o0FORhL
847961626124963843 2017-03-31 19:59:40 -0400 <KsResister> @POTUS @realDonaldTrump  60% of Americans r embarrassed by u &amp; ur actions 30% of Ams give u an F &amp; ur approval rating is 35% Sad boy Sad
847961625680203776 2017-03-31 19:59:40 -0400 <rigbysmom1> @FIRE_THE_FOOL @realDonaldTrump love it!!!
847961621880336384 2017-03-31 19:59:39 -0400 <THEFXR1> @CelesteIvy11 @immigrant4trump @realDonaldTrump  https://t.co/qiwIIISADh
847961621594910722 2017-03-31 19:59:39 -0400 <David02166150> @realDonaldTrump then why all the Russian operatives on your team.
847961619829280769 2017-03-31 19:59:39 -0400 <EdyhAnaid> @Quasar637 @morningmika @Morning_Joe @realDonaldTrump What??
847961619351121920 2017-03-31 19:59:39 -0400 <VatoDelcosta> @NunleyBrett @DineshDSouza @realDonaldTrump LOL ... very similar to your sentence. :)
847961611415543808 2017-03-31 19:59:37 -0400 <shbarney> @JoeAmericaRadio @Sick_of_Bias @RepDaveBrat @Psysamurai33317 @realDonaldTrump Says Obamacare sucks.
847961610454958080 2017-03-31 19:59:36 -0400 <reneewoods3> @ramirez0131 @mgallagher28 @effmac123 @RJSzczerba @realDonaldTrump No He hasn't Obama and Hilary got a2ay with so much stuff .
847961606411517952 2017-03-31 19:59:35 -0400 <horizonunknown> @InVinoVer1tas @realDonaldTrump But hillary's emails....
847961597893120001 2017-03-31 19:59:33 -0400 <poorlybehaved> @realDonaldTrump Again.  Are you going to start hiring Americans at your clubs and vineyard?  What about your goods made in China?
847961597121265665 2017-03-31 19:59:33 -0400 <freedm_of_spch> @CaroleCasuco @Pappiness @jonik915 @realDonaldTrump Those Mexicans! Rapists &amp; thieves!
847961596039221248 2017-03-31 19:59:33 -0400 <RayGattle> Your daily reminder @realDonaldTrump just as much an admitted sexual predator as he was the day the story broke ... Media moved on  https://t.co/gOYJHSwrye
847961593031819264 2017-03-31 19:59:32 -0400 <WTF_GOP_CUCKS> @RealBlueBets @great_sweetleaf @Lunaseesall @travisjnichols @realDonaldTrump @snopes @ShelleyLindse15 @realDonaldTrump cares, he still talks about losing the popular vote! 😭😭😭   Illegal votes...right 👌🏼  Stay in your brainwashed bubble!!
