1127725136851767299 2019-05-12 19:59:59 -0400 <Jim_Burke1956> @TomFitton @realDonaldTrump They all knew you are a wacko..
1127725134700113920 2019-05-12 19:59:58 -0400 <nanyminute> @realDonaldTrump WTF are you doing? WTF are you saying? This is NOT presidential. Hey @GOP come get your man.
1127725133731385344 2019-05-12 19:59:58 -0400 <D2BtheTeach> @realDonaldTrump Can not wait for you to lose both The Senate and The White House...Without the cloak of The Presidency you can be indicted.  You are such a twatwaffle.
1127725133244829697 2019-05-12 19:59:58 -0400 <rumsturum> @JMaddU2 @realDonaldTrump @Wharton .@Wharton #Wharton  https://t.co/LRlS4JtaPY
1127725131642671104 2019-05-12 19:59:58 -0400 <NJCarey22> @realDonaldTrump That's enough, dude, there'll be a lot more time for whining tomorrow. Go to bed.
1127725127037280256 2019-05-12 19:59:57 -0400 <jaguar_old> @realDonaldTrump @SunnyJL52 One term is not enough. Sorry, but we will be re-electing you to a second term; maybe even a third. The job is massive. The damage goes deep. Will you be ready to answer the call and stay on?  https://t.co/GSDvKb18KO
1127725126533861376 2019-05-12 19:59:56 -0400 <Anna_63> @TomFitton @realDonaldTrump Mueller did not investigate collusion, but your narrative gets you money.. sad that you have to spin to stay in the ‘news’
1127725126529605633 2019-05-12 19:59:56 -0400 <TerryTlcain> @realDonaldTrump Americans will pay upwards of $1000 per annum for this who’s got the biggest belly contest. Then globally we all pay for your tariffs. In the end, you lose.
1127725124147236864 2019-05-12 19:59:56 -0400 <richiedg> @realDonaldTrump What’s our tab now for those national security plagued Mar A Lago jaunts? And don’t even got me started on those “beautiful” steel slats your ego thinks of as your own Great Wall, #DeranagedDonald. I think an investigation w 34 CRIMINALs indicted is already worth it.
1127725123031711744 2019-05-12 19:59:56 -0400 <Basquerading> @realDonaldTrump 👇🏻🖕🏻  https://t.co/OS3bcZF1Wm
1127725122700189696 2019-05-12 19:59:56 -0400 <skkhemkaji> @realDonaldTrump @realDonaldTrump 2020 Election is far away. Before that, China will have to wait for passing of 7.5 months of 2019 and major part of 2020, and that won't be easy. Your firmness on the matter which is in interest of US public will make U win the battle on tariff front.
1127725122406608896 2019-05-12 19:59:55 -0400 <JFiguer1> @realDonaldTrump #TraitorTrump #Trumplies #ImpeachTheMF
1127725121651625984 2019-05-12 19:59:55 -0400 <Mileskarlee> @VickiSerreino @realDonaldTrump More Sodimites are Democrates! Some just pretend to be Republicans. Ooops!
1127725120905203713 2019-05-12 19:59:55 -0400 <lwitt3023> @realDonaldTrump @POTUS 🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄
1127725120225710080 2019-05-12 19:59:55 -0400 <susan_block> @realDonaldTrump Two words #BillionDollarLoserDonald and it is not Happy Birthday
1127725118048727040 2019-05-12 19:59:54 -0400 <DonXQuixote> @realDonaldTrump Using those BILLIONS in TARIFFS (paid by American CONSUMERS) for farmer/rancher .@POTUS handouts (to buy votes?) while they LOSE the MARKET for their products long term? HOW STUPID of our childish #PIN_Head_POTUS !
1127725117532803072 2019-05-12 19:59:54 -0400 <RitaMagazine> @realDonaldTrump Deranged Don is at it again           B-O-R-I-N-G
1127725117063098368 2019-05-12 19:59:54 -0400 <bec_pett> @realDonaldTrump Before tweeting, let’s take it back to elementary school (did you even go?)  https://t.co/46s80HvKlh
1127725112827023361 2019-05-12 19:59:53 -0400 <Steinbeckfan1> @EdKrassen @realDonaldTrump It's not remotely funny.
1127725109727432704 2019-05-12 19:59:52 -0400 <Kimistry_D> @realDonaldTrump From your constant tweeting and whining about this it’s clear it’s all *you* care about. Well, that and money.
1127725107927973888 2019-05-12 19:59:52 -0400 <russelltim151> @realDonaldTrump Your guilty #Brokeahontas  https://t.co/wBpBGQq6Wx
1127725107533582336 2019-05-12 19:59:52 -0400 <Wadesworld2> @realDonaldTrump Wah wah wah wah wah....wah wah wah....#SOS
1127725106820567040 2019-05-12 19:59:52 -0400 <JasonLo34776171> @nooneyouknow987 @ChatByCC @realDonaldTrump You voted him in for being this awesome billionaire that’s AND! The jokes on you
1127725106074128384 2019-05-12 19:59:52 -0400 <pol1tically> @realDonaldTrump Then why did everyone connected to your inner circle and the campaign lied about Russia?
1127725103809167360 2019-05-12 19:59:51 -0400 <Bellami25984672> @realDonaldTrump Forgot to add is loosing whatever mind he had left on twitter rants because he's getting attacked and subpoenaed, finally . And his hand picked AG who has destroyed his own reputation will be charged as well. Good Job Trump supporters , good job
1127725103767347201 2019-05-12 19:59:51 -0400 <StevenM51045107> @realDonaldTrump Trump Greatest President Ever.  Trump 2020
1127725102722879490 2019-05-12 19:59:51 -0400 <wbrown9444> @brithume In total agreement..smarten-up @realDonaldTrump cease firing from the hip with off-the-cuff reactions - want you too succeed...
1127725101057753090 2019-05-12 19:59:50 -0400 <cegriff3> @LesterDent @hughhewitt @washingtonpost @DonaldJTrumpJr @realDonaldTrump @WhiteHouse Agree to disagree, given the reality of Russian interference in 2016 &amp; the quite clear evidence of @POTUS obstruction. There’s no way the Founders, w/their #Whig bias, intended for Congress to be stymied by a powerful, unaccountable executive.
1127725099379904512 2019-05-12 19:59:50 -0400 <Lawrenc67916456> @LJBL64 @realDonaldTrump Go talk to George Sore Ass.  Maybe he will cough up more money next time.
1127725098696421376 2019-05-12 19:59:50 -0400 <alba_ks> @LindseyGrahamSC @MariaBartiromo @FoxNews @realDonaldTrump SHUT THE BORDER DOWN NOW!!!  THIS IS A SILENT  INVASION. Worse than most Americans know!  Our border patrol are not babysitters! DO IT...NOW!
1127725098654420993 2019-05-12 19:59:50 -0400 <CarteMagnum> @realDonaldTrump Wet Foot Dry Foot  policy back in force now for Central American scaping  Socialism. They’ll leave once Burney wins. A solution isn’t it?
1127725097261912067 2019-05-12 19:59:49 -0400 <KingDaddyLeeds> @DonnaDDuVall @realDonaldTrump Because they killed Democracy &amp; now it is just a rotting corpse decaying in the House the People Built! @GOP is the murderer or paid assassin bought&amp; paid for by Putin who stands by like a Slumlord hoping to pick up the property cheap!  #DemocracyDied #SenateNotAdhereConstitution
1127725096750276608 2019-05-12 19:59:49 -0400 <altucker> @realDonaldTrump Can you please have one of your staff read the Mueller report to you? Maybe Barron would be willing. Maybe I read a different version.
1127725093491224576 2019-05-12 19:59:49 -0400 <urbanmodernism> @realDonaldTrump Today is mother’s day not trump’s day
1127725091616378881 2019-05-12 19:59:48 -0400 <daniel79lobo> @AdaEliGUERRERO @DrWilfredoBello @realDonaldTrump así es lo mismo opino, totalmente de acuerdo
1127725089150132224 2019-05-12 19:59:48 -0400 <southernfemale5> @realDonaldTrump I think the next Potus should not be allowed to tweet.
1127725088504262657 2019-05-12 19:59:47 -0400 <lking81> @sabsanders2355 @CaptainDoodah @TyGod4PresTrump @GuillenDave @realDonaldTrump If the #Left hates @POTUS so much instead of wasting so much time and energy on trying to find dirt on him why don't you focus on finding a decent candidate to run against him in #2020 The candidates now don't stand a chance!
1127725087090778117 2019-05-12 19:59:47 -0400 <MargaretReid13> @realDonaldTrump The report found obstruction. You should really read it.
1127725086163779589 2019-05-12 19:59:47 -0400 <exinkygal> @realDonaldTrump #Clueless This was we get conned by you and pay higher prices for goods.  https://t.co/d1b0jihMSG
1127725085194891264 2019-05-12 19:59:47 -0400 <miss_hawkins> @GOPChairwoman @realDonaldTrump  https://t.co/A8qozuR5gv
1127725084481921024 2019-05-12 19:59:46 -0400 <lance_bukowski> @realDonaldTrump Boy you must be running scared as much as you tweet about the Mueller 𝚁𝚎𝚙𝚘𝚛𝚝.
1127725084381143040 2019-05-12 19:59:46 -0400 <donhoosely47> @Grillocracy @realDonaldTrump Lov a nice ribey  wiht some a that blucheese melted   on it  2 . Dennis hasbeen takig  charcol frm  me 4 years pal .
1127725084037324801 2019-05-12 19:59:46 -0400 <adrian_tidd> @FrankDangelo23 @realDonaldTrump Demonrat!
1127725084020432896 2019-05-12 19:59:46 -0400 <rmsturm> @realDonaldTrump I know how you cheated on your US income tax and your New York State income tax returns
1127725083756130304 2019-05-12 19:59:46 -0400 <chelsadler> Lies from the Liar 🤥 @realDonaldTrump
1127725083169046528 2019-05-12 19:59:46 -0400 <MRCHOWakaLeslie> @realDonaldTrump @BrandonGuilbau1 #Brokeahontas
1127725083160662016 2019-05-12 19:59:46 -0400 <LHPace2> @realDonaldTrump  https://t.co/bfaLNYnZeQ
1127725083068391424 2019-05-12 19:59:46 -0400 <ThisIsCrazy2016> @EsterPhd @realDonaldTrump Tariffs on China are the best thing this country could do. Where do you think China’s wealth has come from?  The US has exported our middle and low income family wealth to China with near zero returns from China. But how is Trump lying?
1127725080090255360 2019-05-12 19:59:45 -0400 <logdeb> @realDonaldTrump  https://t.co/WW3rFAxD3i
1127725079511621632 2019-05-12 19:59:45 -0400 <TheKaufmann> @realDonaldTrump "Why would I call China a currency manipulator when they are working with us on the North Korean problem?"- Donald Trump tweet 4/16/2017
1127725079087976448 2019-05-12 19:59:45 -0400 <habfather> @realDonaldTrump If that’s what it shows why are you stopping anyone from seeing it or interviewing witnesses? Not the act of an innocent man.
1127725078639251457 2019-05-12 19:59:45 -0400 <Jewelz0107> @magicalgrey @GregShugar @realDonaldTrump And you stick to eating your prunes and rescuing greyhounds
1127725078530134016 2019-05-12 19:59:45 -0400 <brookscat72> @krassenstein @realDonaldTrump It’s Mother’s Day and all he can think about is himself. That is his entire life no one else matters 😥
1127725077410217984 2019-05-12 19:59:45 -0400 <AbdouramaneZid1> @realDonaldTrump President XI have nothing to do in the USA policies. He no have time his busy to make the world great and also to become the number one .
1127725074788696064 2019-05-12 19:59:44 -0400 <prof_smartass> @GotJanie @realDonaldTrump If some special effects house could do a CGI of Fox News hosts saying Trump is about to be arrested, and someone figured out how to broadcast that into the White House instead of the real Fox News, he'd be out by the end of the sentence.
1127725073077391361 2019-05-12 19:59:44 -0400 <DestinysFreedom> @KellySa06050509 @DeepStateExpose @realDonaldTrump I am sorry to hear that, and, I completely understand where you're coming from, lol, I'm a gay Christian so,...there's that. Either way, I'm pretty sure the 'sty in my own eye' is big enough to pay attention to before I point out the log in my brother's eye right! Theirs is too!
1127725072481902592 2019-05-12 19:59:44 -0400 <Pr0ud2bAmerican> @krassenstein @realDonaldTrump How about you stop spinning the truth.  Oh wait, you get paid to be a troll.  https://t.co/VjEDCK24R2
1127725070988787714 2019-05-12 19:59:43 -0400 <BreTho89> @fox @seanhannity @realDonaldTrump @GOP @senatemajldr @LindseyGrahamSC
1127725070401646592 2019-05-12 19:59:43 -0400 <deewells214> @realDonaldTrump Think of it, had the russians not helped to elect you, you would never have set foot in the White House.
1127725070250418178 2019-05-12 19:59:43 -0400 <RAStine> @realDonaldTrump Millions of Americans share that dream!
1127725070216916992 2019-05-12 19:59:43 -0400 <perf_tenn> @realDonaldTrump @SenCoryGardner @RepTipton @RepDLamborn @RepKenBuck   Why are you Congressional Representatives not calling for Trump's removal under Article 25?  How can you possibly tolerate these statements by Trump?  Have you no ethics?
1127725069189492738 2019-05-12 19:59:43 -0400 <maybsomaybnot> @rickrick312 @TheRightMelissa @realDonaldTrump Yea &amp; God thinks @rickrick312 is a rude burnt out hippie ! In other words, worthless to society.
1127725069113921536 2019-05-12 19:59:43 -0400 <GrilledcheeseT> @realDonaldTrump Salem Witch trials has it beat for sure, maybe top 5 though
