1050536523475640320 2018-10-11 19:59:59 -0400 <Jonjimama> @NRA @realDonaldTrump  https://t.co/Igu8IgTMiW
1050536523278536704 2018-10-11 19:59:59 -0400 <MAFIA420> @NRA @BrittanyUSABoom @realDonaldTrump Love how you're trying to get hits from a mad man who was just rambling and illegal guns yeah sure but even then there just guns but mentally unstable people are to blame that's the problem
1050536522318061569 2018-10-11 19:59:59 -0400 <ANDREYEVSKY> @SethAbramson @realDonaldTrump That would be wrong, wouldn’t it?   What if we throw in @DonaldJTrumpJr, @EricTrump, and @IvankaTrump?
1050536517666570241 2018-10-11 19:59:58 -0400 <THEFIGHTINGJAKE> @DailyCaller @KIR_bigg50 @MSNBC @CNN @realDonaldTrump @BarackObama @HillaryClinton This playbook seems familiar
1050536516613627904 2018-10-11 19:59:58 -0400 <liamsamwilliams> @MissesThe90s @Political_Dad40 @NRA @realDonaldTrump Wait, what?  Most gun deaths are from hand guns in the US not rifles.
1050536511458947072 2018-10-11 19:59:57 -0400 <deepvard> @SissyScullen @KnixTix4294 @WillyGlen @FredGruntbuggly @BillKristol @FoxNews @FoxFriendsFirst @realDonaldTrump @VP @ChuckGrassley @senatemajldr @LindseyGrahamSC @marcorubio @tedcruz @seanhannity @IngrahamAngle @TuckerCarlson @SpeakerRyan @DRUDGE_REPORT @Goldwaterghost @Crazzy_Ron @Balaram_Dass @BreitbartNews @RandPaul @RickSantorum Then why won't @tedcruz defend himself, wife &amp; father vs IDidNotFuKKKPayHerInChief
1050536511173742592 2018-10-11 19:59:56 -0400 <PressSec45> Never a dull moment in the @realDonaldTrump White House. Thank you Kanye West!  https://t.co/BS4rzZVlZJ
1050536501438832640 2018-10-11 19:59:54 -0400 <LaurieLleclair> Murder and dismemberment of a journalist, under an illegitimate, incompetent president who actively attacks journalists.    What is a bone saw, @realDonaldTrump ? @pressfreedom
1050536497890373633 2018-10-11 19:59:53 -0400 <RRspunkypete> @RandPaul @realDonaldTrump  https://t.co/yJ9m25FCxf
1050536496481128448 2018-10-11 19:59:53 -0400 <restore_US_now> Democrats want us warring against each other as they work behind the scenes setting us up! Case in point: Google and it's Sisters !!!  @realDonaldTrump  @SebGorka  @MarkSteynOnline
1050536495361200130 2018-10-11 19:59:53 -0400 <ladymudd> @FoxNewsInsider @TheJuanWilliams @realDonaldTrump That’s SO not fair .  I mean really really not fair.  To Kanya nor Trump
1050536492617986049 2018-10-11 19:59:52 -0400 <BlueNovember3> @AbpositiveJack @KitterleCathy @realDonaldTrump 😂😂😂
1050536488595836930 2018-10-11 19:59:51 -0400 <JustAGirlHere23> @scottystroll @WhiteHouse @realDonaldTrump I’m not triggered just stating a fact. Remember those...
1050536487177998336 2018-10-11 19:59:51 -0400 <bfballantyne> The President on the United States is an idiot. @realdonaldtrump
1050536481385795585 2018-10-11 19:59:49 -0400 <BillSadowski> @loudobbs do you think HRC gave any thought to her statement saying that a party not in power should not be civil to the party in power? She is essentially saying that there should never be civility in politics. @realDonaldTrump @seanhannity
1050536479825514496 2018-10-11 19:59:49 -0400 <krejcci> I can’t believe this is what our president is talking about with Kanye.  @realDonaldTrump  https://t.co/1urOtSsYoq
1050536477451411457 2018-10-11 19:59:48 -0400 <BorisDurjava> @jarheadrn2gmail @real_farmacist @realDonaldTrump I like your thoughts. Finally some clarity.
1050536472753844224 2018-10-11 19:59:47 -0400 <mptrotter> @robby4handicap @Navy2TheCore @realDonaldTrump  https://t.co/AjlsnTUqwc
