1184982422066089984 2019-10-17 19:59:59 -0400 <APPROVEMAN> @realDonaldTrump
1184982422057713664 2019-10-17 19:59:59 -0400 <noahjacobmama> @BeaudoinCharlie @realDonaldTrump Parody account
1184982421562892290 2019-10-17 19:59:59 -0400 <JackRIC60809912> @w_terrence @realDonaldTrump @AVoiceNews Hope Trump calls you up on stage!😀
1184982421541969921 2019-10-17 19:59:59 -0400 <DJMaurice71> @w_terrence @realDonaldTrump Very sorry to here about that. I hope you can forget it and enjoy President Trump’s rally!
1184982421328089088 2019-10-17 19:59:59 -0400 <yeatesgreats> @realDonaldTrump sold his soul a long time ago. Now, he's selling America's soul to the highest bidder because tRump is ONLY loyal to money, NOT the U.S. of A.
1184982421248204800 2019-10-17 19:59:59 -0400 <Oaguabonita> @Fahrenthold @realDonaldTrump Kudos for doing that research IN ADVANCE, so it's ready to debunk the no-profit claim IMMEDIATELY.
1184982419511926784 2019-10-17 19:59:59 -0400 <tattoomatthew> @WhiteHouse @realDonaldTrump #ImpeachTrump
1184982419121803265 2019-10-17 19:59:59 -0400 <realoldschool1> @Berniegifford @StewardshipAmer @realDonaldTrump Don't know Bernie? Ask one of your 23 followers!  https://t.co/Cp1uHCPZSd
1184982418043727872 2019-10-17 19:59:59 -0400 <ChefRyanSpragg> @realDonaldTrump 😂😂😂😂😂😂😂😂😂😂😂😂 You shal go down as the Freud you are little man
1184982417582379008 2019-10-17 19:59:58 -0400 <ANotables> @Upcyclecouture @realDonaldTrump @seanhannity @FoxNews ”...My father... You can’t kill him again, but, whatever...”   - Meghan McCain...  https://t.co/r9JkLhez6k
1184982416965943297 2019-10-17 19:59:58 -0400 <thunderchester> @Aug1405 @realDonaldTrump @thunderchester
1184982416953368577 2019-10-17 19:59:58 -0400 <mundanemajority> @BreitbartNews Kind of like @realDonaldTrump saying he’s the least racist person. Anyone buying this? @NAACP @ACLU @NunesAlt @lister_lester @DevinCow @EBONYMag @IDF
