1087137696047337472 2019-01-20 18:59:59 -0400 <brakkie42> @ThatOneDana @realDonaldTrump  https://t.co/iDLXSkmKj8
1087137695955070976 2019-01-20 18:59:59 -0400 <HealthyConserv1> @HileyAnticipatd @logicrules2 @MommaBear2201 @tonyposnanski @GOPChairwoman @realDonaldTrump I didn't stretch facts my statement was you mean all the other countries that we give billions of dollars to. The 181 million dollars this year alone was just to Honduras, perhaps you should check out all the other countries on that site and add them up.
1087137694893989888 2019-01-20 18:59:59 -0400 <TammySp7772777> @deanbelair1 @TrumpOnly2020 @IlhanMN @realDonaldTrump Send a pound of bacon or bacon grease to Omar. To show she IS a defiled being.
1087137694612946944 2019-01-20 18:59:59 -0400 <JulierNolan> @irritatedwoman @realDonaldTrump How are they in bad shape.  They dont have a deficit
1087137694017306624 2019-01-20 18:59:58 -0400 <dingman_vicki> @realDonaldTrump AGAIN YOU ARE SOOOOOO FULL OF CRAP!!!!!!!
1087137693258018816 2019-01-20 18:59:58 -0400 <uhmrunn> @sonsoforegon @patrick_stupfel @KateBrownForOR @realDonaldTrump @POTUS My husband is a prospectors for a mining company. This season we had to fight a gold company whos representitives where from Perkins Coie law firm. The gold company tried to post claims over our company and then file as if they had theirs done first. We cought them in the act. 📸
1087137693119770624 2019-01-20 18:59:58 -0400 <QQQQDJT> @senrobportman @realDonaldTrump @POTUS You went along with an insane felon.  How come you did think this was important for two years?
1087137691840450561 2019-01-20 18:59:58 -0400 <charlottesix6> @SenThomTillis @realDonaldTrump Only 3 years for DACA? Not good enough
1087137691370549249 2019-01-20 18:59:58 -0400 <theRockLizard> @Terry50445587 @SpeakerPelosi @realDonaldTrump @BarackObama Terry, I have enjoyed our conversation and appreciated your views and I think these types of real conversations are the only way to understand and move forward.
1087137691026755584 2019-01-20 18:59:58 -0400 <jakeindagrass> @realDonaldTrump  https://t.co/TGHu2RC1sa
1087137690326351873 2019-01-20 18:59:58 -0400 <OsmonRon> @aonorat @SenSchumer @senatemajldr @SpeakerPelosi @SenSchumer  #BuildTheWall #FundTheWall  ** DEMOCRATS ARE SAYING TAKE THE DEAL PELOSI...  YOUR WRONG PELOSI... PRESIDENT TRUMP IS RIGHT @realDonaldTrump  EVEN LATINOS ARE SAYING =TAKE THE DEAL!!! GET ON BOARD &amp; RE-OPEN THE GOVERNMENT == PELOSI &amp; SCHUMER!!!
1087137689843884032 2019-01-20 18:59:57 -0400 <Shanks62705315> @GOP @realDonaldTrump @senatemajldr Idiot
1087137687759314944 2019-01-20 18:59:57 -0400 <ButterEmailss> @HealthyConserv1 @logicrules2 @MommaBear2201 @tonyposnanski @GOPChairwoman @realDonaldTrump He had a deal twice and backed out of them both times because he's an idiot, now when Republicans lost power he thinks he's gonna get it? Maybe he should've prioritized it over a tax cut for the rich
1087137687339974656 2019-01-20 18:59:57 -0400 <Shane08879862> @marcorubio @realDonaldTrump @POTUS I am from northern Michigan and I want my wall built! Anything that makes it increasingly difficult to enter my country is a good idea.  It is astounding how many idiots think leaving the front door open is a good idea. Silly kids.
1087137686912204805 2019-01-20 18:59:57 -0400 <MarkHutton2> @Lawrence @realDonaldTrump Fraud
1087137686320689153 2019-01-20 18:59:57 -0400 <100_gray> INHUMANE APPROACH ONCE AGAIN @realDonaldTrump
1087137685385269248 2019-01-20 18:59:56 -0400 <Doyouhaveaflag> @RepSwalwell @realDonaldTrump And we appreciate every second!
1087137682839478272 2019-01-20 18:59:56 -0400 <GlueTheComic> @ThatOneDana @realDonaldTrump WE THE PEOPLE actually voted for Clinton in higher numbers.
1087137682457673728 2019-01-20 18:59:56 -0400 <Bem41453645> @Kilianoka @WeAreOne_Q @realDonaldTrump We need to find out. Traitor!!!!!
1087137682051006464 2019-01-20 18:59:56 -0400 <FatheroftheFear> @AOC talking about N64 games to help raise money for the trans community is how 2019 needs to start shaping up. Not @realDonaldTrump shut downs and MAGA jerks harassing Elderly Native Veterans. You are a bright spot, Congresswoman!
1087137681748971521 2019-01-20 18:59:56 -0400 <Nunzio318> @SenJohnThune @realDonaldTrump @POTUS How about putting a corporate tax to pay for the wall
1087137680570413056 2019-01-20 18:59:55 -0400 <duucellier_toby> @EdKrassen @realDonaldTrump His personal life is none of your business. The use of "cages" OBAMA BUILT to separate children from adults is just a safety measure. And there's never been ANY proof of "collusion" w/Russia. The only "irrational" one here is YOU!
1087137680486326272 2019-01-20 18:59:55 -0400 <dianakat13> @realDonaldTrump You are an A$$!
1087137679450374144 2019-01-20 18:59:55 -0400 <rs6w> @realDonaldTrump Source or this is #FakeNews..
1087137678984794112 2019-01-20 18:59:55 -0400 <alexc773> @realDonaldTrump Predictable. That is all you are now, painfully predictable. At some point maybe you will learn that this roughly translates to, "instead of it being cold, I wish millions of people and animals would die."
1087137677776891904 2019-01-20 18:59:55 -0400 <Leeelsb> @SpeakerPelosi @realDonaldTrump It’s time to stop the baby shit and make a deal
1087137677273690112 2019-01-20 18:59:54 -0400 <skrappi41> @senrobportman @realDonaldTrump @POTUS This was in No way Bipartisan,  it's cruel, a temporary 3 year plan for DACA recipients,  for a permanent fixture? Republicans had 2 years, Control of all 3 Branches, offered Wall/Border Security funding, Trump turned it down, not once,  but twice.
1087137675411447808 2019-01-20 18:59:54 -0400 <Char74able> @Christo57778622 @realDonaldTrump  https://t.co/O7MvbQj65x
1087137675063296000 2019-01-20 18:59:54 -0400 <_osamaru> Dear @realDonaldTrump &amp; @IRStaxpros  https://t.co/szKejdkPLZ
1087137674920632320 2019-01-20 18:59:54 -0400 <Michellenonumbr> @realDonaldTrump And you are riding a wave someone else made.
1087137671892357125 2019-01-20 18:59:53 -0400 <Ditzzeechick> @realDonaldTrump @senategop we're coming for you....
1087137671745626112 2019-01-20 18:59:53 -0400 <trumpenough> @IDF Israel has always taken illegal actions with complicity of the US and US Tax Payer’s $3.5 Billion annually that we donate to Israel; @realDonaldTrump could build his fucking wall by withholding 2 years of Contributions to Israel
1087137670080409600 2019-01-20 18:59:53 -0400 <samchheouy> @TomiLahren, can you try to have @realDonaldTrump crab you by the #P*SSY then you would know what is like. #Shutthehellup
1087137669912489985 2019-01-20 18:59:53 -0400 <Jazzziered> @realDonaldTrump You only have the radical right on your side.  You are projecting.
1087137669593755649 2019-01-20 18:59:53 -0400 <Proznick2> @marklevinshow @realDonaldTrump Palosi and Mueller are doing what all elected  Congressional and Senate leaders should be doing. Protecting the US from a Russian compromised POTUS.  Connect the Russian / POTUS Conspiracy dots and vote for America first to protect her.
1087137669480497152 2019-01-20 18:59:53 -0400 <mizelaineous> @realDonaldTrump That’s because NK hasn’t done anything. There is nothing to give credit for.
1087137668050374661 2019-01-20 18:59:52 -0400 <glamoury> @realDonaldTrump Yeah right and N. Korea doesn't have nuclear weapons either
1087137667572219905 2019-01-20 18:59:52 -0400 <evangelistbell> @RenoNVSparky @TheRightMelissa @realDonaldTrump Giving examples of major cities. Again its Dem and Rep but for some its truth and not politics.
