922975994129944576 2017-10-24 19:59:59 -0400 <bobroge72708383> @ericbolling @realDonaldTrump That's 14 months to long
922975993110855680 2017-10-24 19:59:59 -0400 <booker1225> @realDonaldTrump You have done nothing but hurt America! Sad so sad.
922975990959263746 2017-10-24 19:59:58 -0400 <cindyann1228> @realDonaldTrump The GOP is using you to get their agenda through
922975987222052864 2017-10-24 19:59:58 -0400 <reedjasonf> @realDonaldTrump, put down the phone! You're an embarrassment. #ImpeachTrump  https://t.co/O7AdZmcOHR
922975986274263040 2017-10-24 19:59:57 -0400 <bfowler7> @IngrahamAngle @realDonaldTrump @HillaryClinton The rats are coming out the wood work!   Great work!
922975986190254083 2017-10-24 19:59:57 -0400 <Pattidbedwell> @realDonaldTrump used Russian flag at one of his hotels during a meeting.  https://t.co/2qHKMhbNZi
922975985934331904 2017-10-24 19:59:57 -0400 <marilynrite1> @IngrahamAngle @realDonaldTrump @HillaryClinton America wants justice! Hillary wants the White House. We must send her to the Big House!
922975985548562432 2017-10-24 19:59:57 -0400 <Educator1028> @realDonaldTrump The staff at the #adultdaycarecenter must be exhausted!
922975983237394432 2017-10-24 19:59:57 -0400 <Bill5Maria> @AgentPX7 @tharon_pleiades @RealJamesWoods @CNN @realDonaldTrump The socialist left is trying hard to denigrate our culture!! STOP IT!  We are PROUD of our melting pot of cultures.  Can’t shame our kids!!
922975981022994432 2017-10-24 19:59:56 -0400 <embie> @bradripka @realDonaldTrump “Indictment” is too big a word for them. You need to dumb it down.
922975980989440002 2017-10-24 19:59:56 -0400 <LeeRobinlee> @IngrahamAngle @realDonaldTrump @HillaryClinton In the words of Hillary what difference does it make,  let's not forget why Trump Jr met with the Russians
922975979647025152 2017-10-24 19:59:56 -0400 <JoeFullerSr1> @realDonaldTrump Your team is being destroyed from within by poor leadership and poor followers.'
922975978787426305 2017-10-24 19:59:56 -0400 <cam294cam> @Aundria_Hamby @HeyTammyBruce @realDonaldTrump Why do I put up with you?
922975978548326400 2017-10-24 19:59:56 -0400 <Taylornator25> @realDonaldTrump @USUN @UN @WhiteHouse @nikkihaley Does he even know what the UN is?  He was against it not too long ago!
