1118303053952643073 2019-04-16 19:59:59 -0400 <TomalesBayHome> @realDonaldTrump @FoxNews @BretBaier @donnabrazile ‘WE’
1118303053826985985 2019-04-16 19:59:59 -0400 <justblegit> Wow @realDonaldTrump you’re just another Hillary
1118303043194380293 2019-04-16 19:59:57 -0400 <norco1964> @BernieSanders @realDonaldTrump Don't care reparations now
1118303043160645632 2019-04-16 19:59:57 -0400 <rogman5204> @realDonaldTrump Fake news ! Fake President !
1118303040459563008 2019-04-16 19:59:56 -0400 <HellerNorm> @realDonaldTrump You can read?????
1118303040241586176 2019-04-16 19:59:56 -0400 <poet_economist> This is @realDonaldTrump’s second veto &amp; the second time he used the veto power to 1) carry out an unconstitutional power-grab from Congress, 2) in order to support deliberate &amp; unnecessary harm against innocent people. Both vetoes might also be technically unconstitutional.
1118303036449808384 2019-04-16 19:59:55 -0400 <yellowdoorhouse> This is nice. But did you know @realDonaldTrump @GOP that 3 black churches in Louisiana were burned down by a white supremacist? Perhaps you could find a few spare dollars to support them?Oh wait: these are *black* churches so that’ll never happen.
1118303035611127808 2019-04-16 19:59:55 -0400 <ReppatrickRami1> @LouDobbs @gen_jackkeane @realDonaldTrump @POTUS Lou Dobbs America, FOX NEWS NOW AMERICA..
1118303035049095168 2019-04-16 19:59:55 -0400 <PLevonowich> @TomFitton @realDonaldTrump @JudicialWatch Yes!  #LockUpTheDeepStateCoupPlotters !!!
1118303033442619392 2019-04-16 19:59:54 -0400 <CavalloAnita> @realDonaldTrump @SenMcSallyAZ Climate change is real
1118303033417437185 2019-04-16 19:59:54 -0400 <santana76cm> @seanhannity WATCH: @OMAROSA @realDonaldTrump @GOP @HardballChris  https://t.co/4yi5rUMVaD
1118303028870885376 2019-04-16 19:59:53 -0400 <shop_instant> @krassenstein @realDonaldTrump Because people like you need to get it through your heads that theres no collusion and obstruction, theyre investigating the origins of the evidence so like do some research bud
1118303027482505217 2019-04-16 19:59:53 -0400 <edysells> @RobMcGr24812569 @TomFitton @realDonaldTrump @JudicialWatch Please, let me see justice in this world before Lord calls me home!!!
1118303021451153408 2019-04-16 19:59:52 -0400 <thaisbmartini> @LAMBARITO @DickYoungsGhost @NYCMayor @AMNH @NYCTSubway @realDonaldTrump "He's not a racist! He took a picture with a black guy!"
1118303018749964289 2019-04-16 19:59:51 -0400 <wolverines_dad> @ITiedrich @cblfailure @Rlets @itsJeffTiedrich @realDonaldTrump @SenMcSallyAZ My daughter's housecat is smarter than you, and that's one stupid cat...  You really should get a life that doesn't involve other people's children ...  WE KNOW ABOUT YOU TIEDRICH
1118303012848590848 2019-04-16 19:59:49 -0400 <Melissawycoff1> @xenamaddness @realDonaldTrump @POTUS You except the fact that Omar is the hateful one and dies not gI've a rats butt about our people! Apparently you don't either
1118303007060393984 2019-04-16 19:59:48 -0400 <BillDerlago> @cranium243 @globalnews @realDonaldTrump If he's racist, he'd be racist in 1985 too, wouldn't he be? Give it up with the insane U.S. president is a secret Russian agent nonsense.  Even Andy Weissmann couldn't fabricate anything.  Surely Putin would have released the pee-pee tape by now  https://t.co/IFsYswFOsR
1118303005739106305 2019-04-16 19:59:48 -0400 <Dugoutprez> @GOPChairwoman @steph93065 @realDonaldTrump And, you are doing what?   You are an embarrassment to every Californian. And soon to every American when they catch on to you, too.
1118303004854226946 2019-04-16 19:59:48 -0400 <Scorpianwoman3> @realDonaldTrump @SenMcSallyAZ So let me guess.  Your idea of a contingency plan is a hoard of water balloons.
